,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,1.0,0.0013762622221492296,0.002748465280117933,0.7828458447274433,0.2,0.001526806526806527,0.0030304769557481493,0.7828604886758009,Normal,KFold
1,SGDClassifier,0.14812262647266974,0.1778396845254257,0.09355060308241132,0.6982885407072217,0.19083820847432464,0.167858036562713,0.08783229575915023,0.7041452687115088,Normal,KFold
2,RidgeClassifier,0.8,0.0006491040909297327,0.001297155561582663,0.7826874652803649,0.0,0.0,0.0,0.7825437822223115,Normal,KFold
3,RandomForestClassifier,0.8700746780577205,0.9775004461243315,0.9206553170706518,0.9633619024560739,0.3084571405669604,0.08214112133418812,0.128850865011086,0.7592682400850568,Normal,KFold
4,KNeighborsClassifier,0.6016717801337662,0.19066750364465102,0.2893945646775405,0.7965192042589461,0.18632981893734352,0.05803141377718183,0.08786892556397484,0.7407365243033963,Normal,KFold
5,MLPClassifier,0.37288427755819054,0.007427755402445163,0.014499426329751621,0.781068502904511,0.31666666666666665,0.006213381944257958,0.012168784480732131,0.7808020221067624,Normal,KFold
6,LinearSVC,0.3503741615889301,0.20170661205554147,0.07476464285836584,0.668399215553802,0.12586244057052298,0.2020977220811734,0.07985312978893341,0.6741444161367329,Normal,KFold
0,LogisticRegression,1.0,0.0012948259371355947,0.002585989818261516,0.782828285549763,0.1,0.0007246376811594203,0.0014388489208633092,0.7827052699151438,Normal,StratifiedKFold
1,SGDClassifier,0.260427669682837,0.47362243360454903,0.18544637026645744,0.5280574445865489,0.16286573870682095,0.4795726224479001,0.18505632173559436,0.527336305643042,Normal,StratifiedKFold
2,RidgeClassifier,0.7,0.0005665395752263408,0.0011321628430826223,0.7826699091995412,0.0,0.0,0.0,0.7825470420670424,Normal,StratifiedKFold
3,RandomForestClassifier,0.8670562261607723,0.97944440077041,0.9198237524873079,0.962869130612596,0.3050923420219178,0.08450227441024014,0.13187026328931453,0.7579956468534975,Normal,StratifiedKFold
