,labeller,modelAppr,scalingAppr,selectionAppr,accuracy,precision,recall,f1,auc_roc
76,KMeans_undersampling_2_bestScoreByClosestToMean,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
78,KMeans_undersampling_2_bestScoreByClosestToMean,MLPC,FT,FT,0.552901023890785,0.401,0.8774617067833698,0.5504461221688401,0.641607837518669
73,KMeans_undersampling_2_bestScoreByClosestToMean,RFC,MMS,FT,0.4709897610921502,0.36902800658978585,0.9803063457330415,0.5362058647516457,0.6101928554062033
84,KMeans_undersampling_2_bestScoreByClosestToMedian,LSVC,FT,FT,0.6245733788395904,0.44404332129963897,0.8074398249452954,0.5729813664596274,0.6745532458059811
87,KMeans_undersampling_2_bestScoreByClosestToMedian,MLPC,FT,FT,0.5651877133105802,0.4090909090909091,0.8862144420131292,0.5597788527988943,0.6529286495779931
82,KMeans_undersampling_2_bestScoreByClosestToMedian,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
58,KMeans_undersampling_2_highestScoreIndex,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
60,KMeans_undersampling_2_highestScoreIndex,MLPC,FT,FT,0.5651877133105802,0.40816326530612246,0.87527352297593,0.5567153792623522,0.6499383487895523
55,KMeans_undersampling_2_highestScoreIndex,RFC,MMS,FT,0.47167235494880544,0.36933223413025557,0.9803063457330415,0.5365269461077845,0.6106888871522351
66,KMeans_undersampling_2_lowestScoreIndex,LSVC,FT,FT,0.5686006825938567,0.41098677517802645,0.8840262582056893,0.5611111111111111,0.6548107481504637
69,KMeans_undersampling_2_lowestScoreIndex,MLPC,FT,FT,0.5610921501706485,0.40606060606060607,0.8796498905908097,0.5556323427781618,0.6481582786287381
64,KMeans_undersampling_2_lowestScoreIndex,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
148,KMeans_undersampling_3_bestScoreByClosestToMean,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
150,KMeans_undersampling_3_bestScoreByClosestToMean,MLPC,FT,FT,0.5706484641638225,0.4107883817427386,0.8665207877461707,0.5573539760731878,0.6515143621270536
145,KMeans_undersampling_3_bestScoreByClosestToMean,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
157,KMeans_undersampling_3_bestScoreByClosestToMedian,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
160,KMeans_undersampling_3_bestScoreByClosestToMedian,MLPC,MMS,FT,0.47986348122866895,0.37281067556296915,0.9781181619256017,0.5398550724637682,0.6160432079469278
154,KMeans_undersampling_3_bestScoreByClosestToMedian,RFC,MMS,FT,0.47167235494880544,0.36933223413025557,0.9803063457330415,0.5365269461077845,0.6106888871522351
129,KMeans_undersampling_3_highestScoreIndex,LSVC,FT,FT,0.6764505119453925,0.48721804511278194,0.7089715536105032,0.5775401069518716,0.6853389514084262
132,KMeans_undersampling_3_highestScoreIndex,MLPC,FT,FT,0.5406143344709897,0.3937007874015748,0.87527352297593,0.5431093007467752,0.6320812059324095
127,KMeans_undersampling_3_highestScoreIndex,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
138,KMeans_undersampling_3_lowestScoreIndex,LSVC,FT,FT,0.6627986348122867,0.47516778523489933,0.774617067833698,0.589018302828619,0.6933601212184363
142,KMeans_undersampling_3_lowestScoreIndex,MLPC,MMS,FT,0.4853242320819113,0.37531486146095716,0.9781181619256017,0.5424757281553398,0.6200114619151817
136,KMeans_undersampling_3_lowestScoreIndex,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
219,KMeans_undersampling_4_bestScoreByClosestToMean,LSVC,FT,FT,0.5563139931740614,0.4043607532210109,0.8927789934354485,0.5566166439290586,0.6482744173526449
222,KMeans_undersampling_4_bestScoreByClosestToMean,MLPC,FT,FT,0.557679180887372,0.4047856430707876,0.888402625820569,0.5561643835616439,0.6480703605293321
217,KMeans_undersampling_4_bestScoreByClosestToMean,RFC,MMS,FT,0.4737201365187713,0.3702479338842975,0.9803063457330415,0.5374925014997,0.6121769823903302
229,KMeans_undersampling_4_bestScoreByClosestToMedian,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
231,KMeans_undersampling_4_bestScoreByClosestToMedian,MLPC,FT,FT,0.5692832764505119,0.4104938271604938,0.8730853391684902,0.5584324702589223,0.6523164791080547
226,KMeans_undersampling_4_bestScoreByClosestToMedian,RFC,MMS,FT,0.47167235494880544,0.36933223413025557,0.9803063457330415,0.5365269461077845,0.6106888871522351
202,KMeans_undersampling_4_highestScoreIndex,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
204,KMeans_undersampling_4_highestScoreIndex,MLPC,FT,FT,0.5733788395904437,0.4119496855345912,0.8599562363238512,0.5570517363571935,0.651704308638116
