,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normal,KFold
1,SGDClassifier,0.0052409862470573654,0.1,0.00995997174476101,0.8585898389674996,0.004799107142857143,0.1,0.009158679446219384,0.8578124854435863,Normal,KFold
2,RidgeClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normal,KFold
3,RandomForestClassifier,0.07067031671653577,0.6820467010279136,0.12806901328405965,0.5176495212653492,0.06971028308667954,0.6729914911818151,0.1262897331899637,0.5168031476012583,Normal,KFold
4,KNeighborsClassifier,0.008051235132662397,0.010653753026634382,0.009171443460135487,0.9423855046021746,0.006716417910447761,0.008490566037735849,0.007499999999999998,0.941600786279241,Normal,KFold
5,MLPClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normal,KFold
6,LinearSVC,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normal,KFold
0,LogisticRegression,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normal,StratifiedKFold
1,SGDClassifier,0.005338838268792711,0.08939213349225268,0.010075905152146169,0.8702926345462989,0.10553766902768835,0.09462365591397849,0.014660101042399436,0.8712391040391525,Normal,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normal,StratifiedKFold
3,RandomForestClassifier,0.07074192497969813,0.6794223148935685,0.12814072880117772,0.5198167276973715,0.06987464903071783,0.6705902539464654,0.12655036808323358,0.5185279001810429,Normal,StratifiedKFold
4,KNeighborsClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normal,StratifiedKFold
5,MLPClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normal,StratifiedKFold
