,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,Normal,StratifiedKFold
1,SGDClassifier,0.02929170186450053,0.10969886223101658,0.04100032023301957,0.8915649569604642,0.026561940441214814,0.1165546218487395,0.0397540083461454,0.8918194244299398,Normal,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,Normal,StratifiedKFold
3,RandomForestClassifier,1.0,0.9980728007255338,0.9990327733302371,0.9999114303986264,0.0,0.0,0.0,0.9535012432539347,Normal,StratifiedKFold
4,KNeighborsClassifier,0.4376190476190476,0.010912894715145519,0.021260755486176897,0.953899291517273,0.0,0.0,0.0,0.9528363496369134,Normal,StratifiedKFold
5,MLPClassifier,0.7914215686274509,0.014443688680023086,0.02809656178828439,0.9544749982840838,0.025,0.0029411764705882353,0.005263157894736842,0.9531024836822922,Normal,StratifiedKFold
6,LinearSVC,0.01037143037557748,0.10321543408360127,0.012911342202418099,0.8609409256360057,0.010536608260325406,0.10285714285714284,0.012740690059622717,0.8614693707439744,Normal,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,Normal,BalancedKFold
1,SGDClassifier,0.2333333333333333,0.0062109929078014185,0.012009803921568628,0.9203581363901462,0.1,0.014285714285714285,0.025,0.9218426501035196,Normal,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,Normal,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.2,0.02857142857142857,0.05,0.9218426501035196,Normal,BalancedKFold
4,KNeighborsClassifier,1.0,1.0,1.0,1.0,0.23333333333333334,0.05714285714285714,0.08944444444444444,0.9218426501035196,Normal,BalancedKFold
5,MLPClassifier,0.5814285714285714,0.09157956259426847,0.15522880069399264,0.9261374017434569,0.25,0.04857142857142857,0.07857142857142858,0.9203933747412008,Normal,BalancedKFold
6,LinearSVC,0.015409309791332263,0.2,0.028614008941877787,0.7513372696164705,0.02028985507246377,0.2,0.0368421052631579,0.7609730848861282,Normal,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,MinMaxScaler,StratifiedKFold
1,SGDClassifier,0.004772405103165853,0.09711538461538462,0.009097733073112145,0.8692646269598214,0.004913294797687861,0.1,0.009366391184573004,0.8710537283490153,MinMaxScaler,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,MinMaxScaler,StratifiedKFold
3,RandomForestClassifier,1.0,0.9980728007255338,0.9990327733302371,0.9999114303986264,0.0,0.0,0.0,0.9535012432539347,MinMaxScaler,StratifiedKFold
