,Y
RIDSTATR,0.17005466406655467
RIDAGEEX,0.10519272840105828
DMDEDUC3,0.19078295371047027
LBXSBU,0.10536622251919028
LBDSBUSI,0.10554848845013758
BPXDB,0.2593782374519772
BPXSAR,0.1175468308791335
BMAEXCMT,0.30948077000684276
BMALLEXT,0.5
WTIREP01,0.10842152732983587
WTIREP02,0.11201315831370363
WTIREP03,0.1133056365088963
WTIREP04,0.11421310365870435
WTIREP05,0.10612579702074088
WTIREP06,0.11516950913966205
WTIREP07,0.10915780718285313
WTIREP08,0.11124198260088067
WTIREP09,0.10234276172339288
WTIREP10,0.11258647265032475
WTIREP11,0.11480169692118332
WTIREP12,0.11390080266623494
WTIREP13,0.11649287662511693
WTIREP14,0.11241501308809349
WTIREP15,0.10803866125197542
WTIREP16,0.10965170175997824
WTIREP17,0.10587410761216448
WTIREP18,0.11504333497702371
WTIREP19,0.1062737581612848
WTIREP20,0.11717132898875761
WTIREP21,0.10397254696717656
WTIREP22,0.1143787441382124
WTIREP23,0.11127299819819578
WTIREP24,0.11844580804996077
WTIREP25,0.11639236290307127
WTIREP26,0.10783748442953463
WTIREP27,0.10346246961064973
WTIREP29,0.11171356206996615
WTIREP30,0.1160845192727273
WTIREP31,0.1129496707681357
WTIREP32,0.11926343498267125
WTIREP33,0.10856722044507475
WTIREP34,0.11111581997222478
WTIREP35,0.1090258696633578
WTIREP36,0.1092409001873753
WTIREP37,0.1128203343476525
WTIREP38,0.10792105580540036
WTIREP39,0.11791941664130645
WTIREP40,0.11142601052771367
WTIREP41,0.11315784914189161
WTIREP42,0.11934712253180434
WTIREP43,0.11988112514429075
WTIREP44,0.11651162058060428
WTIREP45,0.11610206817121037
WTIREP46,0.10851198096060043
WTIREP48,0.11247717959871817
WTIREP49,0.10830779976992393
WTIREP50,0.10983700625747086
WTIREP52,0.10936158376371402
DIQ040Q,0.11226276782873146
BPQ059,0.10663744522897368
LB2DAY,0.17972845252423095
LB2GH,0.2053358216783679
LB2GLU,0.22045598911874217
LB2GLUSI,0.22040919679186005
LB2CP,0.35995716997872723
LB2CPSI,0.35995716997872723
LB2IN,0.13097902878412426
LB2INSI,0.1309790287841242
BMXSAD1,0.10203748510594464
BMXSAD2,0.1004482348766369
BMXSAD3,0.5766473207009888
BMXSAD4,0.5592661976862516
AIALANGA,0.14658708140302687
DIQ172,0.10160502514459438
DIQ291,0.12041219654556358
LBXAPB,0.10646072034101939
LBDAPBSI,0.10646072034101949
