,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.16357142857142856,0.006649028786757699,0.01267034782111488,0.802819213871172,0.6339331501831502,0.010513391012226786,0.020678824895862764,0.8060324809985071
1,LogisticRegression,None,StratifiedKFold,0.3875,0.006490134994807892,0.012602857410671391,0.8039042048295807,0.6479965201637029,0.009895102296495269,0.01946395765898621,0.8060525532537864
2,LogisticRegression,None,BalancedKFold,0.23690476190476187,0.014617751803106493,0.026771708683473387,0.8098621877691645,0.6654441338600379,0.03600247946920122,0.06816836270986767,0.8186974776526075
3,LogisticRegression,MinMaxScaler,KFold,0.1,0.00078125,0.0015503875968992248,0.8053492273845974,0.9,0.00092553943172369,0.0018491771363716464,0.8053497137777864
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.1,0.0009259259259259259,0.0018348623853211006,0.8051687219694348,0.9,0.001133808275027339,0.002264011512143388,0.8053898784533595
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.0,0.0,0.0,0.8154242032730405,0.0,0.0,0.0,0.81539919905246
6,LogisticRegression,Normalizer,KFold,0.0,0.0,0.0,0.8051683955581959,0.0,0.0,0.0,0.8051689787872116
7,LogisticRegression,Normalizer,StratifiedKFold,0.0,0.0,0.0,0.8051690483806737,0.0,0.0,0.0,0.8051689868532174
8,LogisticRegression,Normalizer,BalancedKFold,0.0,0.0,0.0,0.8154242032730405,0.0,0.0,0.0,0.81539919905246
9,LogisticRegression,StandardScaler,KFold,0.365,0.007400569933519433,0.014407220096583606,0.8049882165542723,0.7215328054298642,0.011131043626537126,0.021916234942148175,0.8064943566190852
10,LogisticRegression,StandardScaler,StratifiedKFold,0.42000000000000004,0.007416060920733818,0.014498394783366775,0.8046265529014693,0.6949401209759267,0.011132003355027764,0.021894044848242835,0.8063939348476452
11,LogisticRegression,StandardScaler,BalancedKFold,0.35,0.012345024530379221,0.023777650648360033,0.8149590869939706,0.8206565656565656,0.020646917031245812,0.04024394372278986,0.8183366794669554
12,LogisticRegression,RobustScaler,KFold,0.31976190476190475,0.0110814040095741,0.021138889287922142,0.8033620357616155,0.6612589585449324,0.014430669824394546,0.028237846540067762,0.8065345212946584
13,LogisticRegression,RobustScaler,StratifiedKFold,0.38095238095238093,0.010202492211838006,0.019681907660514926,0.8039038784183417,0.6611473173428709,0.014121057046089163,0.027614619750155427,0.8065144248413618
14,LogisticRegression,RobustScaler,BalancedKFold,0.23690476190476187,0.014617751803106493,0.026771708683473387,0.8098621877691645,0.6563049397208436,0.03600247946920122,0.06813335608692166,0.8185943848691023
15,SGDClassifier,None,KFold,0.27785374046243616,0.12542036382330712,0.07877053866977438,0.7418798676076015,0.2687926960863624,0.12483238717573897,0.07363348388131231,0.735811242560118
16,SGDClassifier,None,StratifiedKFold,0.26266546902359156,0.16777431637244722,0.13444886888473825,0.718664847468028,0.247106121821053,0.1665719260619831,0.1309420878596565,0.7184896041285044
17,SGDClassifier,None,BalancedKFold,0.21456551909793245,0.28324913227659226,0.20713690735977144,0.6545198105081826,0.252987839483379,0.3283166966731471,0.24365771100453187,0.6733074140760686
