,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.41500000000000004,0.00946739877958897,0.01830016626952666,0.7144439338235294,0.5813402457757296,0.00944333640687592,0.0184758980556429,0.7147580773802285
1,LogisticRegression,None,StratifiedKFold,0.36666666666666664,0.008257229832572297,0.016073968705547653,0.7140594362745099,0.5788292263292263,0.009298548464936704,0.01828431692406266,0.7153239950849729
2,LogisticRegression,None,BalancedKFold,0.3301897757242117,0.6594702881659404,0.43787724382267684,0.5301747756258857,0.33254487160469437,0.6720483473463968,0.4448999049424217,0.5318544735571118
3,LogisticRegression,MinMaxScaler,KFold,0.34008903597520485,0.6857998524219417,0.45310865224830704,0.5291819852941175,0.3406216447181432,0.6861761950494376,0.455238131042521,0.5310964314523845
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.3414241291099691,0.6914764079147642,0.4569117518759412,0.5307552083333335,0.3404340110502638,0.6822149831087352,0.4542065674596857,0.5318361862239052
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.3284826814972165,0.6829234050973183,0.4419275106504103,0.5205904581955597,0.32837253196020116,0.677872146805156,0.4424081028384146,0.5230145194397489
6,LogisticRegression,Normalizer,KFold,0.36666666666666664,0.009283946202080253,0.01794781727184652,0.7124862132352942,0.5393264722893206,0.016901713996664812,0.03275486684947032,0.7151498359573714
7,LogisticRegression,Normalizer,StratifiedKFold,0.33203909048691577,0.6777016742770167,0.44544076796747945,0.5182107843137255,0.3376624955084941,0.6867851375431562,0.45272790515925143,0.5258736089340431
8,LogisticRegression,Normalizer,BalancedKFold,0.31295227117115487,0.6557940127505345,0.4214885867383633,0.5000047236655645,0.3171405561177256,0.6687720012839583,0.4302225377373368,0.5056393151041183
9,LogisticRegression,StandardScaler,KFold,0.35,0.009283946202080253,0.017908693641173593,0.711703431372549,0.5137366310160427,0.015373633879862786,0.029828771707005645,0.7146275669668652
10,LogisticRegression,StandardScaler,StratifiedKFold,0.33628222423500925,0.6886986301369864,0.4516866924366954,0.5225214460784314,0.33872424472394846,0.6896840312581208,0.45430572098243244,0.5269181848045641
11,LogisticRegression,StandardScaler,BalancedKFold,0.3254736414485634,0.6539830218091088,0.4324462274940225,0.5240340103920642,0.3335035108754421,0.6734930994957217,0.44607407292119045,0.5330737535526535
12,LogisticRegression,RobustScaler,KFold,0.34695294819842687,0.18073281250566342,0.23568356959655629,0.6713465073529412,0.3540065572187421,0.17873936403471002,0.23747274404448349,0.6723242334099837
13,LogisticRegression,RobustScaler,StratifiedKFold,0.3460831260433984,0.18525494672754944,0.2405695913131499,0.6674417892156864,0.35163803827780465,0.1885422467238371,0.24499736966356425,0.6687557426286908
14,LogisticRegression,RobustScaler,BalancedKFold,0.33230749323140624,0.08014029448812057,0.12067652471933057,0.6892867264997637,0.40970096488386787,0.10991036876034026,0.16824828567597522,0.7052287281964594
15,SGDClassifier,None,KFold,0.29915905015419175,0.32759564327413565,0.1812712253354705,0.5883624387254902,0.27536181042244207,0.32742140322742147,0.1820265422129621,0.5839289943025545
16,SGDClassifier,None,StratifiedKFold,0.21587301587301586,0.11373668188736681,0.06960355966485214,0.6630821078431373,0.22920965175373711,0.11615691242528865,0.07373966376687383,0.6656714797709806
17,SGDClassifier,None,BalancedKFold,0.25944991789819377,0.17597513597513598,0.11478694142023305,0.6564950401511573,0.2608448153201376,0.17607463982088015,0.10136881224878566,0.6535494027826798
18,SGDClassifier,MinMaxScaler,KFold,0.26244437779801993,0.46247394634790207,0.2558062645379592,0.5325980392156862,0.3896811485361641,0.4697518435035306,0.2710533732705344,0.544556527926652
19,SGDClassifier,MinMaxScaler,StratifiedKFold,0.3666806966359396,0.3510654490106545,0.2512597045923342,0.6119010416666668,0.5358810382388445,0.3388403961094405,0.24042634339776794,0.6112996177327449
20,SGDClassifier,MinMaxScaler,BalancedKFold,0.2711846076458752,0.40326847065977506,0.19430365335538557,0.5485923476617856,0.5430904907544252,0.3980447132508115,0.19517394455453757,0.5635657960730407
21,SGDClassifier,Normalizer,KFold,0.14307239476134473,0.3799302880205467,0.19113753485213444,0.5765441176470588,0.24466401931309562,0.3776907175782738,0.18065237559781433,0.5610402072101461
22,SGDClassifier,Normalizer,StratifiedKFold,0.19450525399884874,0.38767123287671235,0.2281972603339138,0.5699019607843138,0.28739072689442513,0.3852134146341463,0.223929137140154,0.5687884033853517
23,SGDClassifier,Normalizer,BalancedKFold,0.15510094479390651,0.36259050128615344,0.1968287114536039,0.5485356636750118,0.1741321674034112,0.3782457587858469,0.2140951225300402,0.5600681157468467
24,SGDClassifier,StandardScaler,KFold,0.3166754227884259,0.3361840245901518,0.2961555864372042,0.6055070465686276,0.31489439208261694,0.3422534891928216,0.3063026923049941,0.6061311856044115
25,SGDClassifier,StandardScaler,StratifiedKFold,0.28817593085082127,0.2757990867579908,0.2420440782975064,0.6176348039215686,0.35168556798517947,0.28196277425103017,0.24916848946469666,0.6209318129031207
26,SGDClassifier,StandardScaler,BalancedKFold,0.38587301587301587,0.08188637449507012,0.10600492126675232,0.6941615493623052,0.4318728413467148,0.10063175115143386,0.13012929041872617,0.6997388335221889
27,SGDClassifier,RobustScaler,KFold,0.31629258905362595,0.2668924399886238,0.2581920930312703,0.6161657475490196,0.3325910596757636,0.3006697508166089,0.29027858840349796,0.6303673804671246
28,SGDClassifier,RobustScaler,StratifiedKFold,0.3267173370121014,0.2247716894977169,0.2439329195441406,0.6427696078431373,0.3255028376959325,0.21050645951664998,0.23603962864388248,0.6440779455398933
29,SGDClassifier,RobustScaler,BalancedKFold,0.32355771359272334,0.24887045321827933,0.27010601830519637,0.6434010392064241,0.3337637389134728,0.23499085222362498,0.2653801593315786,0.6536316014340646
30,RidgeClassifier,None,KFold,0.4833333333333333,0.008064434006958304,0.015806974870508174,0.7136642156862745,0.6383797003649946,0.015074046711353251,0.029435527467424893,0.7162813871955437
31,RidgeClassifier,None,StratifiedKFold,0.35,0.009627092846270929,0.018667614983404458,0.7136703431372549,0.6378046218487395,0.014784729182908268,0.028880949893252506,0.7162814629745614
32,RidgeClassifier,None,BalancedKFold,0.25,0.014628125497690714,0.02749646518204312,0.7215635333018422,0.6962780275280276,0.023211520426807332,0.04485909731566192,0.7243564008136273
33,RidgeClassifier,MinMaxScaler,KFold,0.15,0.00275797373358349,0.005411255411255411,0.7128783700980392,0.6478335553335554,0.010347714574371291,0.020356114162152363,0.7158026911402583
34,RidgeClassifier,MinMaxScaler,StratifiedKFold,0.25,0.00410958904109589,0.008072072072072072,0.7136703431372549,0.6159343434343436,0.00914494932620559,0.017993078451180873,0.7154980594888023
35,RidgeClassifier,MinMaxScaler,BalancedKFold,0.3,0.007118967988533206,0.013906481939633845,0.7222484648086915,0.7803571428571429,0.013641123334108163,0.02676391521097123,0.7233657213047759
36,RidgeClassifier,Normalizer,KFold,0.0,0.0,0.0,0.7144424019607843,0.0,0.0,0.0,0.7144534457287725
37,RidgeClassifier,Normalizer,StratifiedKFold,0.0,0.0,0.0,0.714453125,0.0,0.0,0.0,0.7144535783420537
38,RidgeClassifier,Normalizer,BalancedKFold,0.0,0.0,0.0,0.7208786017949929,0.0,0.0,0.0,0.7208508257017072
39,RidgeClassifier,StandardScaler,KFold,0.4833333333333333,0.008064434006958304,0.015806974870508174,0.7136642156862745,0.6158544723250605,0.014920200557507096,0.029119212581131138,0.7160202905897995
40,RidgeClassifier,StandardScaler,StratifiedKFold,0.35,0.009627092846270929,0.018667614983404458,0.7136703431372549,0.6207483121453711,0.014784729182908268,0.02886364863256417,0.7161073796259775
41,RidgeClassifier,StandardScaler,BalancedKFold,0.215,0.01719222806179328,0.03150884211711984,0.7215635333018422,0.6592707034967097,0.025128844156287217,0.04833865949309253,0.724127858376832
42,RidgeClassifier,RobustScaler,KFold,0.4833333333333333,0.008064434006958304,0.015806974870508174,0.7136642156862745,0.6420561709532298,0.015074046711353251,0.029439897600189523,0.7163249032965011
43,RidgeClassifier,RobustScaler,StratifiedKFold,0.35,0.009627092846270929,0.018667614983404458,0.7136703431372549,0.6378046218487395,0.014784729182908268,0.028880949893252506,0.7162814629745614
44,RidgeClassifier,RobustScaler,BalancedKFold,0.25,0.014628125497690714,0.02749646518204312,0.7222484648086915,0.7099532412032412,0.022944140747662947,0.044408219290033066,0.7245850593502128
45,RandomForestClassifier,None,KFold,0.35364854717694666,0.3680302638468878,0.3593666222631563,0.6286749387254902,0.7368228289546741,0.9271666963533332,0.8210725983281415,0.8846236984480079
46,RandomForestClassifier,None,StratifiedKFold,0.35186609028714294,0.22355403348554032,0.27100149265196655,0.6592279411764707,0.9078431359619792,0.7520190629988491,0.8224941168681756,0.9073419259161589
47,RandomForestClassifier,None,BalancedKFold,0.3623052534671725,0.34156712852365023,0.3489232830311665,0.6475011809163911,0.7813732891475473,0.9566091805673104,0.8598541217317299,0.9128948553861015
48,RandomForestClassifier,MinMaxScaler,KFold,0.352746734104955,0.3695587424379327,0.3599356515169295,0.6271063112745097,0.7366086353894611,0.9274589711866268,0.8210631788048941,0.8845801823470506
49,RandomForestClassifier,MinMaxScaler,StratifiedKFold,0.3529619377769594,0.22355403348554032,0.2714716656357573,0.6604013480392157,0.90888621222602,0.7509522218509856,0.822288243137337,0.9073419259161589
50,RandomForestClassifier,MinMaxScaler,BalancedKFold,0.3666403633569427,0.34697838393490565,0.35365811147179665,0.649555975436939,0.7812512653380236,0.956885423661233,0.8598893951003367,0.9128948553861015
51,RandomForestClassifier,Normalizer,KFold,0.35992960557580994,0.36812377270227203,0.36303250569929074,0.6329779411764705,0.7374071297779642,0.9268601059675957,0.8213060229405993,0.8848413168423035
52,RandomForestClassifier,Normalizer,StratifiedKFold,0.3526940053548284,0.3457001522070015,0.34755549401427477,0.6298498774509804,0.7386459015136383,0.9250118331662769,0.8213599123802622,0.8851023566137842
53,RandomForestClassifier,Normalizer,BalancedKFold,0.37180624862693407,0.3371626923800837,0.3502380181692027,0.6537080774681152,0.7747269221356834,0.9612624246658994,0.8579374902431294,0.9111418066056137
54,RandomForestClassifier,StandardScaler,KFold,0.35302669964183586,0.3650493849688618,0.357730341923291,0.6286749387254902,0.736819666229433,0.9271682864673669,0.8210721543117747,0.8846236984480079
55,RandomForestClassifier,StandardScaler,StratifiedKFold,0.34822124170646235,0.35391933028919326,0.34939422134637343,0.6232046568627452,0.7378720648860323,0.9263835523629208,0.8214113476538056,0.884971846200421
56,RandomForestClassifier,StandardScaler,BalancedKFold,0.3616404639230726,0.3445974315539533,0.3503115768509693,0.6468162494095419,0.7814972970840552,0.9563352079645707,0.8598194097281683,0.9128948553861015
57,RandomForestClassifier,RobustScaler,KFold,0.35547709767962926,0.37520187224454443,0.3638738939915794,0.6282858455882352,0.7365821608049148,0.9277646070076434,0.8211667298203791,0.8846236984480079
58,RandomForestClassifier,RobustScaler,StratifiedKFold,0.3506319147161146,0.35802891933028913,0.3526474742873523,0.6247717524509803,0.7376760627307084,0.9271455154620041,0.8215940471515136,0.8850153433566239
59,RandomForestClassifier,RobustScaler,BalancedKFold,0.36812532245512053,0.3468679629549195,0.3540131670934627,0.6495701464336325,0.7812477691533184,0.9568765602464546,0.859886927701836,0.9128948553861015
60,KNeighborsClassifier,None,KFold,0.3767772806903241,0.08560013489195457,0.13671850690462542,0.6948682598039216,0.5785156298398385,0.1519440232669245,0.23961501969467927,0.725856236594218
61,KNeighborsClassifier,None,StratifiedKFold,0.37456745052333285,0.08911719939117198,0.1429966652915644,0.6976118259803922,0.5854491861140405,0.15684374651965696,0.2459766635440676,0.7269011155808102
62,KNeighborsClassifier,None,BalancedKFold,0.4027544351073763,0.06291751726534336,0.10170950341865637,0.7051346244685875,0.5898457092314497,0.12244820311461432,0.2012473717544107,0.7306818076272918
63,KNeighborsClassifier,MinMaxScaler,KFold,0.3620713109965057,0.10032583746187831,0.15228481514361444,0.6932996323529412,0.5806883502019603,0.15665399629346843,0.24500271584779726,0.7260736276514603
64,KNeighborsClassifier,MinMaxScaler,StratifiedKFold,0.41234307513079893,0.1042427701674277,0.16386958724188952,0.6991881127450981,0.5791654544502721,0.15181465085198798,0.23912188177864127,0.7255517565007977
65,KNeighborsClassifier,MinMaxScaler,BalancedKFold,0.5286904761904763,0.08878816835338574,0.14718988972072072,0.7208738781294284,0.6595406539210369,0.134613032099315,0.22234641051603524,0.738454572474133
66,KNeighborsClassifier,Normalizer,KFold,0.36990278896457385,0.08739649069526974,0.13870797050023276,0.6940793504901961,0.5805243625870316,0.1534824143965315,0.2417203493562695,0.7262043275123682
67,KNeighborsClassifier,Normalizer,StratifiedKFold,0.37433982683982686,0.08637747336377473,0.1393470559844589,0.6980024509803922,0.5803279541968289,0.15577667334892525,0.24425761541190236,0.7261177310398056
68,KNeighborsClassifier,Normalizer,BalancedKFold,0.40634920634920635,0.06548161982944592,0.10484233549885684,0.7058195559754369,0.585332895072174,0.12192662960351622,0.20046935733197468,0.7302246647038062
69,KNeighborsClassifier,StandardScaler,KFold,0.36722683414233537,0.09907832336619896,0.15111533565246624,0.6929105392156863,0.5816142349978275,0.152732717017744,0.24040575162668643,0.7260301304952576
70,KNeighborsClassifier,StandardScaler,StratifiedKFold,0.39748876123876126,0.10013318112633181,0.15808501885461945,0.6983992034313726,0.5848321692970428,0.14724078405167612,0.23394014837245863,0.7259868038418447
71,KNeighborsClassifier,StandardScaler,BalancedKFold,0.49264069264069266,0.08128571911180607,0.13406280686731814,0.7160651865847897,0.6367154042079632,0.13596097913967292,0.2227352389216711,0.7364735617558005
72,KNeighborsClassifier,RobustScaler,KFold,0.36754225656113526,0.09189156297767685,0.141834316971803,0.6909497549019609,0.5751698534714274,0.14876547091700704,0.2348781556929454,0.724811565999925
73,KNeighborsClassifier,RobustScaler,StratifiedKFold,0.3858639814291988,0.08911719939117199,0.14222962997544175,0.6972319240196079,0.5802726794826187,0.1440421167910309,0.22887321492144347,0.7248120017292772
74,KNeighborsClassifier,RobustScaler,BalancedKFold,0.4229120879120879,0.06914568523264175,0.11307827755158144,0.7078507321681625,0.6215919100622573,0.12502094588099502,0.2070165386901291,0.7341867441903666
75,MLPClassifier,None,KFold,0.3284357142857143,0.20740795460121694,0.1264190710891326,0.6383792892156863,0.32133808689773213,0.20823579874000084,0.1123509229973632,0.6281163836888696
76,MLPClassifier,None,StratifiedKFold,0.3057600902094141,0.34383561643835614,0.20317907184819944,0.570045955882353,0.2802739511033187,0.3535054014923711,0.200792430036511,0.5691637179156375
77,MLPClassifier,None,BalancedKFold,0.21725211908163225,0.2311044028435333,0.14076318131530852,0.6297779877184696,0.2514667319513217,0.21770677500889835,0.13702674181506264,0.6312931310720191
78,MLPClassifier,MinMaxScaler,KFold,0.21428571428571427,0.003899201717778663,0.007549088359046283,0.712483149509804,0.02911111111111111,0.001390317073107131,0.0026086205588472734,0.7115374122905231
79,MLPClassifier,MinMaxScaler,StratifiedKFold,0.2,0.0027397260273972603,0.005405405405405405,0.7136703431372549,0.6406654456654457,0.0074685841036492544,0.014741143387437242,0.7153239950849729
80,MLPClassifier,MinMaxScaler,BalancedKFold,0.21666666666666665,0.009499920369485586,0.018055555555555557,0.7215635333018422,0.7055952380952382,0.015016329565377282,0.029378338884677592,0.7232133403302806
81,MLPClassifier,Normalizer,KFold,0.05934048694779117,0.19855072463768114,0.09128800565665587,0.6318397671568629,0.08265462886881283,0.20015151515151514,0.09110969276081408,0.6281855320425893
82,MLPClassifier,Normalizer,StratifiedKFold,0.05748120592110362,0.2,0.08929747119557085,0.6281786151960784,0.10714956841723747,0.20137195121951218,0.09396210764144,0.6278130213359614
83,MLPClassifier,Normalizer,BalancedKFold,0.2539552985632846,0.3039350021958718,0.15008532829504698,0.5962163438828532,0.19612142948336073,0.3021456051989534,0.13884016197527016,0.5857907208403768
84,MLPClassifier,StandardScaler,KFold,0.46412698412698417,0.038857929072318206,0.07078498113646914,0.7109237132352941,0.7798904207740084,0.07875431978592207,0.14280782015468496,0.7304260523716369
85,MLPClassifier,StandardScaler,StratifiedKFold,0.35083333333333333,0.024714611872146117,0.04587104667484414,0.7070113357843137,0.7364161624385793,0.06005262278650184,0.11070404960673179,0.7253775973731961
86,MLPClassifier,StandardScaler,BalancedKFold,0.49000000000000005,0.022237183106748323,0.04175122291357131,0.7215682569674067,0.5815238095238096,0.025652883623871487,0.048913741740130176,0.7228323008192001
87,MLPClassifier,RobustScaler,KFold,0.4766666666666667,0.014846204258935411,0.028036512946693126,0.7113097426470588,0.6537990689166501,0.02317036034584844,0.04382780052357146,0.7156286077916744
88,MLPClassifier,RobustScaler,StratifiedKFold,0.4666666666666666,0.012385844748858446,0.02400189663347558,0.714453125,0.5634505135387489,0.014022766083825222,0.027284103429623247,0.7151064903592038
89,MLPClassifier,RobustScaler,BalancedKFold,0.66,0.030029921769052205,0.05649368257941474,0.7229239489844119,0.686090208810797,0.0390679308772113,0.07271158443862995,0.7252716154589193
90,LinearSVC,None,KFold,0.19007390049644593,0.29692353622521095,0.14245126183708376,0.5971308210784313,0.12988058444115813,0.29863156911825556,0.1372753096267646,0.5855222292065216
91,LinearSVC,None,StratifiedKFold,0.11473307432472177,0.3958523592085236,0.17790279744114101,0.5466099877450981,0.1147786948398046,0.3955808924527601,0.17793044470178582,0.5466990091514531
92,LinearSVC,None,BalancedKFold,0.05988095238095239,0.19347826086956524,0.0913978494623656,0.6425129900803024,0.07653525784982237,0.19831764985914196,0.08863973114387567,0.6324693380454368
93,LinearSVC,MinMaxScaler,KFold,0.3833333333333333,0.006615158644639463,0.012949832013365314,0.7136626838235294,0.6291711066711067,0.012634010932154374,0.024761189120277794,0.7159332394431304
94,LinearSVC,MinMaxScaler,StratifiedKFold,0.36666666666666664,0.008257229832572297,0.01607207207207207,0.7136703431372549,0.6189996114996115,0.012498375839922781,0.024491170197307614,0.7158463019649878
