,Y
SMQ078,0.10066633054371246
SMD100TR,0.11566231910980239
SMD100NI,0.10649667179644656
SMQ930,0.12441523488796898
CDQ009A,0.41299736908561896
DIQ010,0.10834783518777853
DIQ175A,0.14059173052284338
CBQ585,0.1326993515242946
BMDSADCM,0.12183504805300963
LBXSBU,0.11027482200151237
LBDSBUSI,0.11027343769949204
LBXGLU,0.13072582011627906
LBDGLUSI,0.13071725183927502
LBXGH,0.11546371955249111
DBQ850,0.10276033346152169
PAQ050U,0.10419632074588688
SMD070,0.16108341312180174
BPQ100B,0.11507986966976468
DMDHRAGZ,0.15111503564056786
DMDHSEDZ,0.25969223657442897
DBQ925A,0.3779644730092272
CBQ600,0.10053315939357758
