,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.5242151117423745,0.07186789516829331,0.12553526212378774,0.6673289183222958,0.5414863802523299,0.074972809850946,0.13166312995073373,0.6696100073583517
1,LogisticRegression,None,StratifiedKFold,0.5460513955715194,0.073967410247473,0.12885697697032863,0.667991169977925,0.5405542324573931,0.0750764110867989,0.13180167997168146,0.6695364238410597
2,LogisticRegression,MinMaxScaler,KFold,0.5995881895881896,0.03282901850994341,0.06193779185433481,0.6686534216335541,0.5963937583264196,0.03176196322570303,0.06027118823096187,0.6691439784155017
3,LogisticRegression,MinMaxScaler,StratifiedKFold,0.5858585858585859,0.03300801673056814,0.06200408656500822,0.6675496688741721,0.5736984646330621,0.03302456466958198,0.06240877954634623,0.6685798381162619
4,LogisticRegression,Normalizer,KFold,0.5880952380952381,0.025844715855985696,0.049142365476447916,0.6675496688741722,0.5757745556979171,0.026481953682400992,0.05057764679683063,0.6681383370125092
5,LogisticRegression,Normalizer,StratifiedKFold,0.5598154133448251,0.046244336005576855,0.084892050952423,0.6677704194260486,0.5828076040977876,0.04865697482124061,0.0897705639267582,0.6703703703703704
6,LogisticRegression,StandardScaler,KFold,0.5109650938562009,0.07656857920808882,0.13227479134108205,0.6664459161147903,0.5301006254862826,0.0792306626066306,0.13781094738104335,0.668776060829041
7,LogisticRegression,StandardScaler,StratifiedKFold,0.526805709770106,0.07131404670616939,0.12449825976101217,0.6664459161147904,0.5445888748152258,0.07595714515036042,0.13326077453406462,0.6699288692666177
8,LogisticRegression,RobustScaler,KFold,0.5308133277858678,0.07242038135613861,0.1265308173522553,0.6677704194260485,0.5418834319686127,0.07519469787748059,0.1320200750873117,0.6696590630365465
9,LogisticRegression,RobustScaler,StratifiedKFold,0.5460513955715194,0.073967410247473,0.12885697697032863,0.667991169977925,0.5408754608656013,0.07537004297551289,0.132265640502461,0.6695854795192543
10,SGDClassifier,None,KFold,0.3284925144300145,0.17451098797379744,0.15009637219367644,0.62317880794702,0.3023384804185576,0.17026608161656126,0.1485088377390376,0.6274466519499632
11,SGDClassifier,None,StratifiedKFold,0.31561757594870177,0.20793830602997562,0.11553848120928163,0.597130242825607,0.28502320790344216,0.20682442310572147,0.11339245749891833,0.5961981849399068
12,SGDClassifier,MinMaxScaler,KFold,0.562125292610094,0.11735836368394463,0.1579069848775264,0.6607064017660045,0.5584530239099585,0.11916634609087003,0.16282389791268326,0.6633063527103262
13,SGDClassifier,MinMaxScaler,StratifiedKFold,0.5296583193066134,0.3480393865458348,0.21700064212612805,0.567991169977925,0.5288437990003744,0.34581460090088056,0.21555185428672896,0.5691194505764041
14,SGDClassifier,Normalizer,KFold,0.5153215577609322,0.2273827175049415,0.15301619510309492,0.6041942604856512,0.37340998935559405,0.22390352622492965,0.14958672186052877,0.6025754231052245
15,SGDClassifier,Normalizer,StratifiedKFold,0.3375373125567384,0.30591669571279195,0.1826836522259815,0.570419426048565,0.4353064179698255,0.31203696820630833,0.1854200756434097,0.5718420407162129
16,SGDClassifier,StandardScaler,KFold,0.4556189096187583,0.2128281686989914,0.28334967162784064,0.6507726269315673,0.41945068709614475,0.19673421719483547,0.2599092751969537,0.640176600441501
17,SGDClassifier,StandardScaler,StratifiedKFold,0.4320974340694724,0.13147438131753225,0.19383937956839722,0.6525386313465784,0.4753411564439919,0.13378312718230817,0.1972048021381688,0.6572970321314693
18,SGDClassifier,RobustScaler,KFold,0.5054858179847513,0.21210839102968868,0.2522358559911233,0.6463576158940397,0.44687252280892686,0.19698983456564678,0.24103211167473448,0.6429482462595046
19,SGDClassifier,RobustScaler,StratifiedKFold,0.3530051575485545,0.20411728825374692,0.24210431260205686,0.6181015452538631,0.39564839245016215,0.22632678411942217,0.2690479533584975,0.63102771645818
20,RidgeClassifier,None,KFold,0.595923520923521,0.02883755285726019,0.05462181094381232,0.6673289183222958,0.5622777627347555,0.029123544507452036,0.055365408661859725,0.6679666421388276
21,RidgeClassifier,None,StratifiedKFold,0.543611111111111,0.027086964098989197,0.05115263979938438,0.6671081677704194,0.563675253554285,0.029208750671997397,0.05552279118034176,0.6680156978170222
22,RidgeClassifier,MinMaxScaler,KFold,0.5284523302074453,0.05125751623129583,0.09298840263203245,0.6664459161147904,0.5259632131454957,0.052666701400112946,0.09571702988512806,0.6675251410350749
23,RidgeClassifier,MinMaxScaler,StratifiedKFold,0.5365978918435519,0.06403799233182293,0.11344945860092344,0.6666666666666667,0.5517030554899754,0.07023242760473733,0.12454948136782155,0.6701741476575914
24,RidgeClassifier,Normalizer,KFold,0.0,0.0,0.0,0.6657836644591612,0.0,0.0,0.0,0.6657836644591612
25,RidgeClassifier,Normalizer,StratifiedKFold,0.0,0.0,0.0,0.6657836644591612,0.0,0.0,0.0,0.6657836644591612
