,0
ARQ023GE,0.5707789631418891
LBXHIV1,0.557086014531155
LBXAPB,0.41145936295742874
LBDAPBSI,0.41145936295742863
LBXOTT,0.4011107614052861
LBXPM1,0.3962538465371919
LBXHDT,0.3729518585806213
LBXOL1,0.36087400228480954
LBXOD9,0.35997848622651163
LBXLNA,0.3489272602266998
LBXST1,0.34832075830446163
LBXOD1,0.3304245499295682
LBXDTA,0.32575939534856485
LBXED1,0.3235555887084293
LBXVC1,0.3209369349200672
LBDLDLM,0.30402475654419053
LBDLDMSI,0.3040216853102315
LBXMRG,0.30351304564993997
LBXEN1,0.30350080640250215
LBXHGL,0.30206130056188274
LBXMR1,0.3006571538253907
LBXDP6,0.2938133523962254
LBXDP3,0.28352926702219683
LBXPEN,0.2737977381840443
LBXGLA,0.26826793025968865
LBXPL1,0.26636219713018283
LBDLDLN,0.26568051955476607
LBDLDNSI,0.265680422299141
LBXALN,0.26432479693090366
LBXAR1,0.2600109716611288
DS1TFIBE,0.25744789564039317
LBXARA,0.24138009498817883
DEQ057,0.23909126739875194
LBXSD1,0.2365380460828533
ARQ022AC,0.21798592855444945
LBXML1,0.21655552912083695
WTANA2YR,0.20767150959533603
DSQTFIBE,0.20756095266428368
LBXDA1,0.20365658678210127
ARQ135C,0.19802950859533483
ARQ023GC,0.1961161351381839
DS1TPROT,0.1867092368437088
LBXGLT,0.18470635292508877
LBDGLTSI,0.18468603585595955
LBXLG1,0.18210497980214857
OSQ120J,0.18002057495577412
LBXTSA,0.17734078674881218
ARQ023QD,0.17690720453594883
DS2TPROT,0.1764522888318908
ARQ023QC,0.17539418444948798
RHQ360,0.1700494087479148
RHQ380,0.16917359348744773
LBXET1,0.1661903634123256
LBXGTC,0.16573266350064145
LBDGTCSI,0.1657305181643782
LBXLAR,0.16419420464248094
LBDVIESI,0.16364831688616208
LBXVIE,0.16364816666387264
SMD070,0.15791524433138845
FSQ865,0.15478470411022444
FSD860,0.154783980526619
LBXGH,0.15343304372878186
PHAANTMN,0.1531288400610165
RHQ596,0.1465103365169976
DUQ320,0.1463095010158825
ARQ023QE,0.14462496949294457
PHDSESN,0.1441993755966971
MCQ240O,0.14404790229920458
ARQ023GB,0.1410190187044415
LBXCAP,0.13905466024153362
ARQ025E,0.1352342969628989
ARQ022AE,0.13373888796923086
OHAROCCI,0.13359612227977427
CFDCRNC,0.1328682599967469
LBXDHA,0.13277561934535653
PSASCST1,0.13250859756292674
PHAGUMHR,0.12754617656508332
AUXR2KR,0.12734872812480202
CSXEXCMT,0.12715508837155753
ARQ024C,0.12546483976353162
LUARXND,0.12472611828842226
PHAFSTHR,0.11898479364752389
ARD026C,0.11727449691510439
KIQ301,0.11699665110097926
VTQ281F,0.11686926454270315
DUQ420,0.1140514825376884
DXXAGRAT,0.11367522680741432
LUXCAPM,0.1111689739056722
HCASCST1,0.11080466109767456
DXXVFATV,0.11058611894907996
DXXVFATM,0.11058603121781843
DXXVFATA,0.11058554534598865
OSQ020C,0.10749642879627706
IMD080,0.10634690368443203
RDD040,0.10627052222361542
SDNPFOSL,0.10604202449821953
ARD026F,0.10212216182324356
OSQ090J,0.10206207261596575
KIQ221,0.10146746218397018
OSQ090C,0.10127257731754266
CFDDRNC,0.10124503606295226
ARXCCEX,0.10072254134655031
OSQ120H,0.10050378152592104
DS1TCAFF,0.10033475731593983
SMQ840,0.10007859023539976
BPXDB,0.10002755959815307
OSQ100C,0.09953060496592804
PSASCCT1,0.0975900072948533
ARXCCIN,0.09751809893743564
LBXNR1,0.09730836922336926
CFDARNC,0.09719007016111167
RHQ550,0.09710454468060853
LBDCAPLC,0.09704372052880254
ARQ118BA,0.09641316829938941
CSQ120A,0.0963738849304854
LBXHCG,0.0962305025882884
PHACOFMN,0.09524412863021846
ARQ025B,0.09514808437646308
ARQ022E,0.09449054558419115
ARQ022AB,0.09444715474374203
DS2TSUGR,0.09398421532387172
SMQ815,0.09321921539120681
ARQ023QA,0.09235855582288512
AUXR6KR,0.09184427463283132
OSQ040BB,0.09140632535637233
DS2TCAFF,0.0902614328046557
FSD650,0.08858233390878872
OSQ120C,0.08797718959160099
VIQ211,0.08751120142278025
AUQ040,0.08739521294358672
RHD080,0.08704407005050044
