,0
ACD011A,float64
ACD011B,float64
ACD011C,float64
ACD040,float64
ACD110,float64
ALQ111,float64
ALQ121,float64
ALQ130,float64
ALQ142,float64
ALQ270,float64
ALQ280,float64
ALQ290,float64
ALQ151,float64
ALQ170,float64
AUQ054,float64
AUQ060,float64
AUQ070,float64
AUQ080,float64
AUQ090,float64
AUQ400,float64
AUQ410A,float64
AUQ410B,float64
AUQ410C,float64
AUQ410D,float64
AUQ410E,float64
AUQ410F,float64
AUQ410G,float64
AUQ410H,float64
AUQ410I,float64
AUQ410J,float64
AUQ156,float64
AUQ420,float64
AUQ430,float64
AUQ139,float64
AUQ144,float64
AUQ147,float64
AUQ149A,float64
AUQ149B,float64
AUQ149C,float64
AUQ153,float64
AUQ630,float64
AUQ440,float64
AUQ450A,float64
AUQ450B,float64
AUQ450C,float64
AUQ450D,float64
AUQ450E,float64
AUQ450F,float64
AUQ460,float64
AUQ470,float64
AUQ101,float64
AUQ110,float64
AUQ480,float64
AUQ490,float64
AUQ191,float64
AUQ250,float64
AUQ255,float64
AUQ260,float64
AUQ270,float64
AUQ280,float64
AUQ500,float64
AUQ300,float64
AUQ310,float64
AUQ320,float64
AUQ330,float64
AUQ340,float64
AUQ350,float64
AUQ360,float64
AUQ370,float64
AUQ510,float64
AUQ380,float64
BPQ020,float64
BPQ030,float64
BPD035,float64
BPQ040A,float64
BPQ050A,float64
BPQ080,float64
BPQ060,float64
BPQ070,float64
BPQ090D,float64
BPQ100D,float64
CDQ001,float64
CDQ002,float64
CDQ003,float64
CDQ004,float64
CDQ005,float64
CDQ006,float64
CDQ009A,float64
CDQ009B,float64
CDQ009C,float64
CDQ009D,float64
CDQ009E,float64
CDQ009F,float64
CDQ009G,float64
CDQ009H,float64
CDQ008,float64
CDQ010,float64
CBD071,float64
CBD091,float64
CBD111,float64
CBD121,float64
CBD131,float64
CBQ502,float64
CBQ503,float64
CBQ506,float64
CBQ536,float64
CBQ541,float64
CBQ551,float64
CBQ581,float64
CBQ586,float64
CBQ830,float64
CBQ835,float64
CBQ840,float64
CBQ845,float64
CBQ850,float64
CBQ855,float64
CBQ860,float64
CBQ865,float64
CBQ870,float64
CBQ875,float64
CBQ880,float64
CBQ885,float64
CBQ890,float64
CBQ895,float64
CBQ900,float64
CBQ645,float64
CBQ700,float64
DBQ780,float64
DBQ750,float64
DBQ760,float64
DBQ770,float64
CBQ905,float64
CBQ910,float64
CBQ685,float64
CBQ915,float64
CBQ925,float64
CBQ930,float64
CBQ935,float64
CBQ945,float64
CBQ950,float64
CBQ738A,float64
CBQ738B,float64
CBQ738C,float64
CBQ738D,float64
CBQ738E,float64
CBQ738F,float64
CBQ738G,float64
CBQ738H,float64
CBQ738I,float64
CBQ738J,float64
CBQ738K,float64
CBQ738CD,float64
CBQ698A,float64
CBQ698B,float64
CBQ698C,float64
CBQ698D,float64
CBQ698E,float64
CBQ698F,float64
CBQ698G,float64
CBQ698H,float64
CBQ698I,float64
CBQ698CD,float64
CBQ695A,float64
CBQ695B,float64
CBQ695C,float64
CBQ785,float64
WTDRD1,float64
DBD930,float64
DBD935,float64
DBD940,float64
DBD945,float64
CBD760,float64
CBD765,float64
CBD770,float64
HSD010,float64
HSQ500,float64
HSQ510,float64
HSQ520,float64
HSQ571,float64
HSQ580,float64
HSQ590,float64
HSAQUEX,float64
DED031,float64
DEQ034A,float64
DEQ034C,float64
DEQ034D,float64
DEQ038G,float64
DEQ038Q,float64
DED120,float64
DED125,float64
DIQ010,float64
DID040,float64
DIQ160,float64
DIQ170,float64
DIQ172,float64
DIQ175A,float64
DIQ175B,float64
DIQ175C,float64
DIQ175D,float64
DIQ175E,float64
DIQ175F,float64
DIQ175G,float64
DIQ175H,float64
DIQ175I,float64
DIQ175J,float64
DIQ175K,float64
DIQ175L,float64
DIQ175M,float64
DIQ175N,float64
DIQ175O,float64
DIQ175P,float64
DIQ175Q,float64
DIQ175R,float64
DIQ175S,float64
DIQ175T,float64
DIQ175U,float64
DIQ175V,float64
DIQ175W,float64
DIQ175X,float64
DIQ180,float64
DIQ050,float64
DID060,float64
DIQ060U,float64
DIQ070,float64
DIQ230,float64
DIQ240,float64
DID250,float64
DID260,float64
DIQ260U,float64
DIQ275,float64
DIQ280,float64
DIQ291,float64
DIQ300S,float64
DIQ300D,float64
DID310S,float64
DID310D,float64
DID320,float64
DID330,float64
DID341,float64
DID350,float64
DIQ350U,float64
DIQ360,float64
DIQ080,float64
DBQ010,float64
DBD030,float64
DBD041,float64
DBD050,float64
DBD055,float64
DBD061,float64
DBQ073A,float64
DBQ073B,float64
DBQ073C,float64
DBQ073D,float64
DBQ073E,float64
DBQ073U,float64
DBQ700,float64
DBQ197,float64
DBQ223A,float64
DBQ223B,float64
DBQ223C,float64
DBQ223D,float64
DBQ223E,float64
DBQ223U,float64
DBQ229,float64
DBQ235A,float64
DBQ235B,float64
DBQ235C,float64
DBQ301,float64
DBQ330,float64
DBQ360,float64
DBQ370,float64
DBD381,float64
DBQ390,float64
DBQ400,float64
DBD411,float64
DBQ421,float64
DBQ424,float64
DBD895,float64
DBD900,float64
DBD905,float64
DBD910,float64
CBQ596,float64
CBQ606,float64
CBQ611,float64
DBQ930,float64
DBQ935,float64
DBQ940,float64
DBQ945,float64
DLQ010,float64
DLQ020,float64
DLQ040,float64
DLQ050,float64
DLQ060,float64
DLQ080,float64
DLQ100,float64
DLQ110,float64
DLQ130,float64
DLQ140,float64
DLQ150,float64
DLQ170,float64
DUQ200,float64
DUQ210,float64
DUQ211,float64
DUQ213,float64
DUQ215Q,float64
DUQ215U,float64
DUQ217,float64
DUQ219,float64
DUQ220Q,float64
DUQ220U,float64
DUQ230,float64
DUQ240,float64
DUQ250,float64
DUQ260,float64
DUQ270Q,float64
DUQ270U,float64
DUQ272,float64
DUQ280,float64
DUQ290,float64
DUQ300,float64
DUQ310Q,float64
DUQ310U,float64
DUQ320,float64
DUQ330,float64
DUQ340,float64
DUQ350Q,float64
DUQ350U,float64
DUQ352,float64
DUQ360,float64
DUQ370,float64
DUQ380A,float64
DUQ380B,float64
DUQ380C,float64
DUD380F,float64
DUQ390,float64
DUQ400Q,float64
DUQ400U,float64
DUQ410,float64
DUQ420,float64
DUQ430,float64
ECD010,float64
ECQ020,float64
ECD070A,float64
ECD070B,float64
ECQ080,float64
ECQ090,float64
WHQ030E,float64
MCQ080E,float64
ECQ150,float64
FSD032A,float64
FSD032B,float64
FSD032C,float64
FSD041,float64
FSD052,float64
FSD061,float64
FSD071,float64
FSD081,float64
FSD092,float64
FSD102,float64
FSD032D,float64
FSD032E,float64
FSD032F,float64
FSD111,float64
FSD122,float64
FSD132,float64
FSD141,float64
FSD146,float64
FSDHH,float64
FSDAD,float64
FSDCH,float64
FSD151,float64
FSQ165,float64
FSD165N,float64
FSQ012,float64
FSD012N,float64
FSD230,float64
FSD230N,float64
FSD795,float64
FSD225,float64
FSD235,float64
FSD855,float64
FSD860,float64
FSQ865,float64
FSQ162,float64
FSQ760,float64
FSD760N,float64
FSQ653,float64
FSD660ZC,float64
FSD675,float64
FSD680,float64
FSD670ZC,float64
FSQ690,float64
FSQ695,float64
FSD652ZW,float64
FSD672ZW,float64
FSD652CW,float64
FSD660ZW,float64
HIQ011,float64
HIQ031A,float64
HIQ031B,float64
