,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.4416666666666666,0.01070816676185037,0.020777334142402515,0.6967907339927122,0.5519773945860902,0.013752327484721851,0.0267897394442504,0.6986884147780358,0.3076923076923077,0.011695906432748537,0.022535211267605635,0.6937334510150044,None
1,LogisticRegression,BalancedKFold,0.27,0.010266187395692624,0.019630942337821703,0.7056381719156997,0.6300895857016547,0.020530835252581637,0.03963392008550113,0.7097139163329482,0.4,0.011695906432748537,0.022727272727272728,0.6963812886142984,None
2,SGDClassifier,StratifiedKFold,0.22043729906839635,0.20874738244812488,0.1086410188303697,0.6169772687836196,0.47309100072411664,0.20953389333671027,0.1116483617440907,0.6190476755895667,0.3176710929519918,0.9093567251461988,0.4708554125662377,0.383053839364519,None
3,SGDClassifier,BalancedKFold,0.1355301109765035,0.21099936870834704,0.13918451964956072,0.6353942694766753,0.5640088059887892,0.21744073212437026,0.1469136416281396,0.6330488490897072,0.29411764705882354,0.014619883040935672,0.027855153203342614,0.6919682259488085,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.6970865868471282,0.5666666666666667,0.001840999376210644,0.0036682154226943342,0.6980342320844011,0.0,0.0,0.0,0.6981465136804943,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.7066090457021075,0.5,0.0016637624813485648,0.0033159585677185266,0.7071689266832515,0.0,0.0,0.0,0.6981465136804943,None
6,RandomForestClassifier,StratifiedKFold,0.29980796959447276,0.1510946126023225,0.20002938274358445,0.6361478396668402,0.933240603080469,0.6300627775979889,0.752194976684952,0.8746279700300782,0.365,0.2134502923976608,0.2693726937269373,0.6504854368932039,None
7,RandomForestClassifier,BalancedKFold,0.3504183347930055,0.1780865772804229,0.23428508414458354,0.6608003788775751,0.937654271735717,0.6620333942545698,0.7758826612263586,0.8880226257800855,0.36363636363636365,0.21052631578947367,0.26666666666666666,0.6504854368932039,None
8,KNeighborsClassifier,StratifiedKFold,0.3481235827664399,0.0506091757091186,0.08265299863583254,0.6841376019434322,0.6538449591801676,0.087400744795111,0.14802547536567703,0.7068979770238586,0.509090909090909,0.08187134502923976,0.14105793450881612,0.6990291262135923,None
9,KNeighborsClassifier,BalancedKFold,0.3279278711810472,0.09400177690813458,0.13050862417284698,0.6802794222116978,0.5871877717857867,0.12110585470535536,0.18190755014726231,0.7060835966613893,0.509090909090909,0.08187134502923976,0.14105793450881612,0.6990291262135923,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6979698073919833,0.0,0.0,0.0,0.697936096657512,0.0,0.0,0.0,0.6981465136804943,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.7070968505801563,0.0,0.0,0.0,0.7071147848316001,0.0,0.0,0.0,0.6981465136804943,None
12,LinearSVC,StratifiedKFold,0.13008849557522123,0.10098039215686275,0.04820025097417608,0.6575594308519868,0.525473697332336,0.10238259393188971,0.05117100823659444,0.6586294458054754,0.30123674911660775,0.9970760233918129,0.462686567164179,0.30097087378640774,None
13,LinearSVC,BalancedKFold,0.2578780487804878,0.20357206094015395,0.09912919696203322,0.6241700213118635,0.6004995425364512,0.2023973170131347,0.09568528483507269,0.6252523637933554,0.30123674911660775,0.9970760233918129,0.462686567164179,0.30097087378640774,None
0,LogisticRegression,StratifiedKFold,0.1,0.000980392156862745,0.0019417475728155341,0.6982647926427208,0.9,0.001840999376210644,0.003674274706672114,0.6985248557332204,0.0,0.0,0.0,0.6981465136804943,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.3,0.0048342248656467034,0.0095144523326572,0.7085602652143026,1.0,0.006464954329983209,0.012841242093061209,0.7090099549443594,0.2,0.0029239766081871343,0.005763688760806916,0.6954986760812003,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.2995199721567787,0.046659051970302685,0.07364312080762402,0.6903236161721326,0.6350696676703235,0.06359016570284176,0.09539921659722507,0.695384425798642,0.14285714285714285,0.0029239766081871343,0.0057306590257879654,0.6937334510150044,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.265,0.02154121740947673,0.03909988630024906,0.7022188017996684,0.6653871292662964,0.03697359630729087,0.06847029584406222,0.7107426115143236,0.14285714285714285,0.0029239766081871343,0.0057306590257879654,0.6937334510150044,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.2733333333333333,0.006815153245764325,0.013246173812211548,0.6962024986985945,0.547388776140627,0.010828959772621747,0.021224520604745726,0.6985248450360955,0.25,0.005847953216374269,0.011428571428571429,0.6946160635481023,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.4333333333333333,0.013044863673745086,0.025166316003100996,0.7066090457021075,0.6854644293614882,0.019966625975974497,0.03877186101328543,0.7102012223270907,0.25,0.011695906432748537,0.022346368715083796,0.6910856134157105,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.3012799838019614,0.15207500475918526,0.2011098816481774,0.6364419573138991,0.9326913416035888,0.6304960297918044,0.7523243340109904,0.8746279700300782,0.3686868686868687,0.2134502923976608,0.27037037037037037,0.6522506619593998,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.34271798385250896,0.1734753218168501,0.228443216820285,0.6593298602888941,0.937654271735717,0.6620333942545698,0.7758826612263586,0.8880226257800855,0.3604060913705584,0.20760233918128654,0.2634508348794063,0.649602824360106,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.37537878787878787,0.05842375785265563,0.09684404597981686,0.6850225576956446,0.6412971528639935,0.0915157612340711,0.1538738124438755,0.707159714284064,0.3333333333333333,0.06432748538011696,0.10784313725490197,0.678729037952339,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.4351946048092093,0.1180394745324282,0.16534960863551992,0.6910040255742362,0.6016238951821842,0.14582548984349938,0.21634414560707554,0.7112280404345191,0.3333333333333333,0.06432748538011696,0.10784313725490197,0.678729037952339,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6979698073919833,0.0,0.0,0.0,0.6979688084664751,0.0,0.0,0.0,0.6981465136804943,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.7070968505801563,0.0,0.0,0.0,0.7071147848316001,0.0,0.0,0.0,0.6981465136804943,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.6979698073919833,0.0,0.0,0.0,0.6979688084664751,0.0,0.0,0.0,0.6981465136804943,MinMaxScaler
13,LinearSVC,BalancedKFold,0.1,0.0015873015873015873,0.003125,0.707584655458205,0.9,0.003877250279424696,0.007717194762144402,0.7082518810333995,0.0,0.0,0.0,0.6981465136804943,MinMaxScaler
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.6979698073919833,0.0,0.0,0.0,0.6979688084664751,0.0,0.0,0.0,0.6981465136804943,Normalizer
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.7070968505801563,0.0,0.0,0.0,0.7071147848316001,0.0,0.0,0.0,0.6981465136804943,Normalizer
2,SGDClassifier,StratifiedKFold,0.08333333333333333,0.001941747572815534,0.003791554357592093,0.6970874544508068,0.5236956521739131,0.00454955842279786,0.008949675361601983,0.6985248878245962,1.0,0.0029239766081871343,0.005830903790087463,0.6990291262135923,Normalizer
3,SGDClassifier,BalancedKFold,0.03333333333333333,0.0018867924528301887,0.0035714285714285713,0.7061236088089036,0.5944444444444443,0.004965891022476064,0.009758102653823045,0.7078187755494694,1.0,0.0029239766081871343,0.005830903790087463,0.6990291262135923,Normalizer
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.6976756897449244,0.1,0.00010822510822510823,0.00021621621621621621,0.6980015202754382,0.0,0.0,0.0,0.6981465136804943,Normalizer
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.7066090457021075,0.3,0.0009253989330280963,0.001844663339517222,0.7071689266832515,1.0,0.0029239766081871343,0.005830903790087463,0.6990291262135923,Normalizer
6,RandomForestClassifier,StratifiedKFold,0.29856793797970266,0.07701313535122786,0.12126241786280137,0.6688209266007288,0.9818530327149653,0.45516631256067874,0.6219117746416046,0.8328918843692108,0.32407407407407407,0.1023391812865497,0.15555555555555553,0.6646072374227714,Normalizer
7,RandomForestClassifier,BalancedKFold,0.3081142403911167,0.07733820767496594,0.12147751212570834,0.6768789959744257,0.9868422191945448,0.4835848085328438,0.6489520353439489,0.8468698912059672,0.32407407407407407,0.1023391812865497,0.15555555555555553,0.6646072374227714,Normalizer
8,KNeighborsClassifier,StratifiedKFold,0.3465068529023473,0.051589567865981345,0.08474847326109343,0.6853158077390249,0.6517197605274403,0.08880802296295254,0.15033735298139095,0.7071268955038486,0.5094339622641509,0.07894736842105263,0.13670886075949368,0.6990291262135923,Normalizer
9,KNeighborsClassifier,BalancedKFold,0.3282070975619363,0.0960180115245263,0.13320039039264278,0.6817357328913094,0.573685679678253,0.12165533022093382,0.1823226509617255,0.7055421781448762,0.5094339622641509,0.07894736842105263,0.13670886075949368,0.6990291262135923,Normalizer
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6979698073919833,0.0,0.0,0.0,0.6979688084664751,0.0,0.0,0.0,0.6981465136804943,Normalizer
