,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.29,0.007058823529411765,0.013666577563931212,0.7106069628950984,0.6543288667928593,0.012925647195344631,0.025213633040683747,0.7131292684863749,0.3333333333333333,0.0035211267605633804,0.006968641114982579,0.7103658536585366,None
1,LogisticRegression,BalancedKFold,0.35,0.01007092301025567,0.01954347926468249,0.7238458892328861,0.8230952380952381,0.010565272772925752,0.020855831442829632,0.7243764634456225,0.25,0.007042253521126761,0.013698630136986302,0.7073170731707317,None
2,SGDClassifier,StratifiedKFold,0.4184642418726314,0.3,0.15951639652621669,0.595014887769125,0.3659485991264154,0.29947814809126433,0.15772344457499643,0.5940026773761714,1.0,0.0035211267605633804,0.007017543859649122,0.7123983739837398,None
3,SGDClassifier,BalancedKFold,0.2165185272045028,0.1638255813953488,0.10480623614644233,0.6438493292053664,0.5974831799450675,0.17498538345407672,0.12973394339259736,0.6612561031971117,0.25,0.007042253521126761,0.013698630136986302,0.7073170731707317,None
4,RidgeClassifier,StratifiedKFold,0.15,0.002352941176470588,0.004624431970061481,0.7116239120476407,0.8933333333333335,0.0056144302803802105,0.011155371388968393,0.713016316679146,0.0,0.0,0.0,0.7103658536585366,None
5,RidgeClassifier,BalancedKFold,0.35,0.01007092301025567,0.01954347926468249,0.7238458892328861,0.7540476190476191,0.010565272772925752,0.020831341065449892,0.7240500074184861,0.0,0.0,0.0,0.7103658536585366,None
6,RandomForestClassifier,StratifiedKFold,0.32988808226563754,0.20793433652530782,0.2538949742819715,0.6489349519010535,0.9281707427360015,0.7634190003242376,0.8375202570443356,0.9146052430059219,0.3392857142857143,0.2007042253521127,0.25221238938053103,0.6565040650406504,None
7,RandomForestClassifier,BalancedKFold,0.36282352144911856,0.2317327550431397,0.27913799339385403,0.6733161334709323,0.9418964970135695,0.8072448267664081,0.8691856382875226,0.9324977446096598,0.3392857142857143,0.2007042253521127,0.25221238938053103,0.6565040650406504,None
8,KNeighborsClassifier,StratifiedKFold,0.28947865043453275,0.044651162790697675,0.07649196072551873,0.6940048098946404,0.6192229973932448,0.11137357292786568,0.18836530212698216,0.7238601723277289,0.20454545454545456,0.03169014084507042,0.05487804878048781,0.6849593495934959,None
9,KNeighborsClassifier,BalancedKFold,0.40000582750582747,0.0784053627750276,0.12841278549839508,0.7085655314757482,0.5932413220513819,0.12077338767475347,0.199007288421498,0.7322104701273763,0.20454545454545456,0.03169014084507042,0.05487804878048781,0.6849593495934959,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.7116239120476407,0.0,0.0,0.0,0.711623187665918,0.0,0.0,0.0,0.7113821138211383,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.7220846233230134,0.0,0.0,0.0,0.7220915697005148,0.0,0.0,0.0,0.7113821138211383,None
12,LinearSVC,StratifiedKFold,0.1861985472154964,0.3,0.13612644238687777,0.5841662849289968,0.6199363536275577,0.3016972985887131,0.1380303941659101,0.5854560331722369,0.28891149542217703,1.0,0.44830307813733233,0.2896341463414634,None
