,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.35,0.00811739820200952,0.015823412698412698,0.6935323383084576,0.6112354312354311,0.007742238641519218,0.015249557217085197,0.6938640132669983,0.5,0.0048543689320388345,0.009615384615384614,0.6929955290611028,None
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.7033569367951744,0.425,0.003958323009820413,0.007832272544549356,0.7051139708565451,0.0,0.0,0.0,0.6929955290611028,None
2,SGDClassifier,StratifiedKFold,0.0639344262295082,0.09341618191433104,0.048978562421185375,0.6562189054726367,0.19736161474079691,0.0971336444358027,0.058460109904220924,0.6594250967385294,0.18518518518518517,0.024271844660194174,0.04291845493562232,0.6676602086438153,None
3,SGDClassifier,BalancedKFold,0.07987698833510073,0.175,0.10449106412248141,0.6228625753999475,0.2666685450717627,0.17941837975541408,0.12502230405728804,0.6403070847625304,0.3684210526315789,0.33980582524271846,0.35353535353535354,0.6184798807749627,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.6930348258706467,0.0,0.0,0.0,0.6930348258706467,0.0,0.0,0.0,0.6929955290611028,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.7041633884080776,0.0,0.0,0.0,0.7042133132232143,0.0,0.0,0.0,0.6929955290611028,None
6,RandomForestClassifier,StratifiedKFold,0.3138615656054989,0.22355896351136964,0.2603950656776175,0.6104477611940299,0.9003244876987393,0.7251934668481431,0.8032815012557114,0.8909894969596464,0.4224137931034483,0.23786407766990292,0.30434782608695654,0.6661698956780924,None
7,RandomForestClassifier,BalancedKFold,0.2624912440396343,0.18061894299308484,0.21066453421445624,0.6102019407290847,0.9218070213775515,0.7937033073171686,0.8524316135382708,0.9187828512580987,0.4224137931034483,0.23786407766990292,0.30434782608695654,0.6661698956780924,None
8,KNeighborsClassifier,StratifiedKFold,0.4175955988455988,0.09722369116869381,0.15696607149822817,0.6825870646766169,0.5464576391757376,0.12803843411757082,0.20733677749224166,0.6996130458817026,0.475,0.09223300970873786,0.15447154471544716,0.6900149031296572,None
9,KNeighborsClassifier,BalancedKFold,0.3438095238095238,0.058467644600367706,0.09695291457567282,0.683916863362182,0.5608570475353205,0.10020916407448321,0.16947504790881535,0.7106961506961507,0.475,0.09223300970873786,0.15447154471544716,0.6900149031296572,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6930348258706467,0.0,0.0,0.0,0.6930348258706467,0.0,0.0,0.0,0.6929955290611028,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.7041633884080776,0.0,0.0,0.0,0.7042133132232143,0.0,0.0,0.0,0.6929955290611028,None
