,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.35,0.018121693121693122,0.034269293924466336,0.6904239019407559,0.6131150793650793,0.02554392547974063,0.048748620621980224,0.6927808742583684,0.0,0.0,0.0,0.6858108108108109,None
1,LogisticRegression,BalancedKFold,0.4833333333333333,0.05255718954248366,0.09310334660179861,0.6915151515151516,0.6512942612942613,0.06087996323213488,0.11067026046813995,0.7011373808213778,0.5,0.01098901098901099,0.021505376344086023,0.6925675675675675,None
2,SGDClassifier,StratifiedKFold,0.17173955108359132,0.2556878306878307,0.1930190387882934,0.6194458631256385,0.26020488850784507,0.2578799249530957,0.20601788264128157,0.620312036972819,0.36792452830188677,0.42857142857142855,0.3959390862944162,0.597972972972973,None
3,SGDClassifier,BalancedKFold,0.17196969696969697,0.1743790849673203,0.13485706870044115,0.6076767676767676,0.415897558609449,0.20614586967177537,0.1884050901717934,0.6476069836003646,0.36792452830188677,0.42857142857142855,0.3959390862944162,0.597972972972973,None
4,RidgeClassifier,StratifiedKFold,0.5,0.018121693121693122,0.03497536945812807,0.6938074565883555,0.7239538239538239,0.021492050952898193,0.04127330106294496,0.6939110546458768,0.0,0.0,0.0,0.6824324324324325,None
5,RidgeClassifier,BalancedKFold,0.31666666666666665,0.03441176470588235,0.06125465178096756,0.6988888888888889,0.7237079587079587,0.050292016959302466,0.09324618929581036,0.702555616690345,0.0,0.0,0.0,0.6858108108108109,None
6,RandomForestClassifier,StratifiedKFold,0.74,0.051058201058201046,0.09242125690401552,0.6960546475995913,1.0,1.0,1.0,1.0,0.16666666666666666,0.01098901098901099,0.02061855670103093,0.6790540540540541,None
7,RandomForestClassifier,BalancedKFold,0.18333333333333332,0.022320261437908495,0.039748283752860415,0.6824242424242424,1.0,1.0,1.0,1.0,0.16666666666666666,0.01098901098901099,0.02061855670103093,0.6790540540540541,None
8,KNeighborsClassifier,StratifiedKFold,0.3322222222222222,0.058465608465608464,0.09537705441303176,0.6679136874361593,0.6422331141064033,0.11678845330963432,0.19744707058213595,0.706467090786429,0.4090909090909091,0.0989010989010989,0.1592920353982301,0.6790540540540541,None
9,KNeighborsClassifier,BalancedKFold,0.41916666666666663,0.0966019356460533,0.15422648670932426,0.6842424242424243,0.7380420920076092,0.14690272101650387,0.24469797304386187,0.7224232370597269,0.4090909090909091,0.0989010989010989,0.1592920353982301,0.6790540540540541,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6904111338100103,0.0,0.0,0.0,0.6903956734740201,0.0,0.0,0.0,0.6925675675675675,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6934006734006735,0.0,0.0,0.0,0.6934302912844602,0.0,0.0,0.0,0.6925675675675675,None
12,LinearSVC,StratifiedKFold,0.2621424923391215,0.210978835978836,0.11550942477479209,0.616956077630235,0.21522907301038866,0.20405352029228796,0.10239509197461227,0.6139363694255467,0.0,0.0,0.0,0.6891891891891891,None
13,LinearSVC,BalancedKFold,0.0623905723905724,0.2,0.09510954616588418,0.6181818181818182,0.10286227153153597,0.20337837837837838,0.09996611536424478,0.6150101419878296,0.0,0.0,0.0,0.6891891891891891,None
0,LogisticRegression,StratifiedKFold,0.3,0.010978835978835979,0.021182266009852214,0.6938074565883555,0.5714285714285714,0.008921694480102696,0.01751477422795483,0.692906502399072,0.0,0.0,0.0,0.6925675675675675,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.15,0.01213235294117647,0.02222222222222222,0.6952188552188552,0.8566666666666667,0.014554526744649455,0.028517751511246043,0.6968765141125555,0.0,0.0,0.0,0.6925675675675675,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.24691521961184879,0.1296296296296296,0.09446844620392715,0.6488125638406539,0.5645572155263572,0.1392844211842928,0.11082861018222818,0.6525790811018707,0.3103448275862069,0.989010989010989,0.4724409448818898,0.32094594594594594,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.10454545454545454,0.20555555555555555,0.09545751633986928,0.6024915824915824,0.271705329153605,0.2200236742391008,0.12793287210405938,0.61553982475302,0.0,0.0,0.0,0.6925675675675675,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.21666666666666665,0.014417989417989418,0.026712749615975417,0.691547497446374,0.7214393939393939,0.017838451663868864,0.03463129851915524,0.6936597983644699,0.0,0.0,0.0,0.6790540540540541,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.19999999999999998,0.023014705882352944,0.04046035805626598,0.6952188552188552,0.4461111111111111,0.019931825834815196,0.03795562384587187,0.6970814069031214,0.0,0.0,0.0,0.6925675675675675,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.64,0.04748677248677248,0.08552470517987759,0.6949310520939734,1.0,1.0,1.0,1.0,0.2857142857142857,0.02197802197802198,0.040816326530612256,0.6824324324324325,MinMaxScaler
