,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.5973526473526473,0.04484104321340186,0.08217776044377204,0.7006159986118341,0.6152202979080199,0.047649768072303283,0.0883350786059236,0.7032347464877593,0.3333333333333333,0.02046783625730994,0.03856749311294766,0.6919682259488085,None
1,LogisticRegression,BalancedKFold,0.49228715728715733,0.062485252369271035,0.1093389865846744,0.7075775515036703,0.5953373647639693,0.06930091235886812,0.1239600413971645,0.7135582224344359,0.3125,0.014619883040935672,0.02793296089385475,0.6928508384819064,None
2,SGDClassifier,StratifiedKFold,0.4136656604082324,0.29381305920426426,0.20799075342639556,0.6045436404650356,0.46802732611269376,0.30046151032066526,0.2099249885666453,0.6151298427757927,0.45454545454545453,0.014619883040935672,0.028328611898016994,0.6972639011473963,None
3,SGDClassifier,BalancedKFold,0.0884937376400791,0.20026315789473684,0.10449097030116394,0.6345820506748756,0.2681509170346071,0.20088655925784432,0.10517863373001216,0.6292398847711231,0.3085399449035813,0.9824561403508771,0.469601677148847,0.3300970873786408,None
4,RidgeClassifier,StratifiedKFold,0.5733333333333334,0.01754235674852465,0.03396495117179299,0.699735380878015,0.5885557757137072,0.01689413872512464,0.03279440417058693,0.6993424691061675,0.0,0.0,0.0,0.6954986760812003,None
5,RidgeClassifier,BalancedKFold,0.4652380952380952,0.05327820966416643,0.0941256601427295,0.7066043097324177,0.5864849095283575,0.06503464135057749,0.11691605253959418,0.7126917768323322,0.3333333333333333,0.014619883040935672,0.028011204481792715,0.6937334510150044,None
6,RandomForestClassifier,StratifiedKFold,0.5531235431235431,0.04093851132686084,0.07534418500056791,0.69914541037654,0.9974064508246041,0.9989172799031956,0.9981603473925864,0.9988879054665091,0.3939393939393939,0.038011695906432746,0.06933333333333333,0.6919682259488085,None
7,RandomForestClassifier,BalancedKFold,0.6211111111111111,0.059935290439358635,0.10831061224915206,0.7119843713000236,0.9954028484759707,0.9996268604764491,0.9975098805096932,0.9985380526882924,0.4,0.03508771929824561,0.06451612903225806,0.6928508384819064,None
8,KNeighborsClassifier,StratifiedKFold,0.3600847283091865,0.06822767942128308,0.11444370400474693,0.6809023078257852,0.6560622490596628,0.1361253769704474,0.225389941183544,0.7175613314326681,0.37662337662337664,0.0847953216374269,0.13842482100238665,0.6813768755516328,None
9,KNeighborsClassifier,BalancedKFold,0.3644441669441669,0.05691401090473808,0.09708692647040423,0.6934430499644801,0.6719084645065404,0.12752928210410414,0.21399109444344383,0.7263366966196831,0.37662337662337664,0.0847953216374269,0.13842482100238665,0.6813768755516328,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6979698073919833,0.0,0.0,0.0,0.6979688084664751,0.0,0.0,0.0,0.6981465136804943,None
