,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.3333333333333333,0.019153225806451613,0.03601827094474153,0.6906237623762376,0.5262558356676004,0.01353329944077275,0.026229160947216584,0.6888448656457102,0.0,0.0,0.0,0.6826347305389222,None
1,LogisticRegression,BalancedKFold,0.3833333333333333,0.04142328861369109,0.07249817726133514,0.6908858166922682,0.5237402874902874,0.042802004287569036,0.07894482405016849,0.6937348151813298,0.25,0.009615384615384616,0.018518518518518517,0.6826347305389222,None
2,SGDClassifier,StratifiedKFold,0.23977821695213,0.17731854838709676,0.13241998311765754,0.6116633663366337,0.3487253507281384,0.21569395017793594,0.17977229400500766,0.6295318579257834,0.36129032258064514,0.5384615384615384,0.43243243243243246,0.5598802395209581,None
3,SGDClassifier,BalancedKFold,0.29281975430379226,0.27257936507936503,0.18490630265204575,0.5958781362007168,0.3063745132824257,0.283299391080934,0.19146233114971356,0.6038673314683363,0.3181818181818182,0.1346153846153846,0.18918918918918917,0.6407185628742516,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.6876336633663366,0.32916666666666666,0.0035625317742755463,0.006998841805236149,0.6892884476720864,0.0,0.0,0.0,0.688622754491018,None
5,RidgeClassifier,BalancedKFold,0.4,0.026197501329080275,0.04888345864661654,0.6908602150537635,0.5959412736386421,0.036331458525587994,0.06796367029829696,0.6960489339702234,0.0,0.0,0.0,0.6826347305389222,None
6,RandomForestClassifier,StratifiedKFold,0.4666666666666667,0.06098790322580645,0.10704806410688764,0.6856435643564357,1.0,1.0,1.0,1.0,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.6766467065868264,None
7,RandomForestClassifier,BalancedKFold,0.43833333333333335,0.07552464047820086,0.12568900380665088,0.6908858166922683,1.0,1.0,1.0,1.0,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.6766467065868264,None
8,KNeighborsClassifier,StratifiedKFold,0.4852380952380952,0.07399193548387095,0.12355796251524184,0.6767326732673267,0.7101801892049682,0.13853457041179462,0.23160101871398792,0.713905589010486,0.15,0.028846153846153848,0.04838709677419355,0.6467065868263473,None
9,KNeighborsClassifier,BalancedKFold,0.23166666666666663,0.03792891319207108,0.06397250092902267,0.6748847926267281,0.6007913491432169,0.08706062171035614,0.15139713773211588,0.7013895496729912,0.15,0.028846153846153848,0.04838709677419355,0.6467065868263473,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6886336633663366,0.0,0.0,0.0,0.6886228900630244,0.6666666666666666,0.019230769230769232,0.037383177570093455,0.6916167664670658,None
11,MLPClassifier,BalancedKFold,0.1,0.004545454545454545,0.008695652173913045,0.6941116231438811,0.6095238095238095,0.008112096099372485,0.01587386576024464,0.6928448182896582,0.0,0.0,0.0,0.6856287425149701,None
12,LinearSVC,StratifiedKFold,0.09284098639455782,0.2935483870967742,0.1410595511172678,0.5766336633663366,0.095127645142111,0.298220640569395,0.144227296096119,0.5811949521472816,0.0,0.0,0.0,0.6706586826347305,None
13,LinearSVC,BalancedKFold,0.18609082673598804,0.2632756132756133,0.1576914094174347,0.5932411674347159,0.3496389967114271,0.2582943386014572,0.15431080810635675,0.6038089710164234,0.0,0.0,0.0,0.6766467065868264,None
0,LogisticRegression,StratifiedKFold,0.2,0.00967741935483871,0.01837121212121212,0.6886435643564355,0.6287987012987013,0.01353075749872903,0.026402926337846862,0.6906185785195558,0.0,0.0,0.0,0.6826347305389222,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.6924987199180748,0.0,0.0,0.0,0.6917756167494497,0.0,0.0,0.0,0.688622754491018,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.17678571428571427,0.1129032258064516,0.09538270637408568,0.6656336633663366,0.17676910299003323,0.12241992882562278,0.09425147750238441,0.6638999288792202,0.3888888888888889,0.47115384615384615,0.42608695652173906,0.6047904191616766,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.1793452380952381,0.17974025974025976,0.15402020895668808,0.659037378392217,0.397595177584546,0.18212838662879155,0.14339111252711428,0.6386802925634828,0.38144329896907214,0.7115384615384616,0.4966442953020133,0.5508982035928144,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.6866336633663366,0.23214285714285712,0.0046301474326385355,0.008949832431734805,0.6890665951357324,0.0,0.0,0.0,0.688622754491018,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.45,0.030364167995746944,0.056744264507422405,0.6940348182283667,0.6490476190476191,0.03348904438867751,0.06329316620751435,0.6967609949188345,0.0,0.0,0.0,0.6826347305389222,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.4666666666666667,0.06098790322580645,0.10704806410688764,0.6856435643564357,1.0,1.0,1.0,1.0,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.6766467065868264,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.3933333333333333,0.07729231724587761,0.12822362822362823,0.6909114183307732,1.0,1.0,1.0,1.0,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.6766467065868264,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.35892857142857143,0.07076612903225805,0.11670782986572459,0.6716633663366336,0.7415567021993031,0.14421072699542453,0.2409180853889122,0.7177852398542147,0.5,0.08653846153846154,0.14754098360655737,0.688622754491018,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.3054761904761905,0.06771679197994987,0.10767044616889818,0.6749359959037379,0.7171224195498791,0.17985299322700377,0.2864070165667093,0.7254299325683039,0.5,0.08653846153846154,0.14754098360655737,0.688622754491018,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.2,0.006350806451612903,0.01231060606060606,0.6906237623762376,0.75,0.005341891204880529,0.01059827123026861,0.689620795814456,1.0,0.009615384615384616,0.01904761904761905,0.6916167664670658,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6924987199180748,0.0,0.0,0.0,0.6923100589313693,0.0,0.0,0.0,0.688622754491018,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.6886336633663366,0.0,0.0,0.0,0.6886228900630244,0.0,0.0,0.0,0.688622754491018,MinMaxScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.6924987199180748,0.0,0.0,0.0,0.6923100589313693,0.0,0.0,0.0,0.688622754491018,MinMaxScaler
