,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.5122846215780998,0.08897686694612637,0.15091524968519301,0.6664679854242582,0.5710690731066844,0.10249544305398758,0.17378015589410506,0.6743857871147994,0.49333333333333335,0.09762532981530343,0.16299559471365638,0.6646072374227714,None
1,LogisticRegression,BalancedKFold,0.25,0.003737725688945201,0.007354693499271814,0.6656387665198238,0.7158333333333334,0.006010444817447407,0.011913882482579638,0.6672050905531082,0.4,0.010554089709762533,0.02056555269922879,0.6637246248896734,None
2,SGDClassifier,StratifiedKFold,0.4561943783593268,0.40003881384878126,0.27437333424102733,0.558427902134305,0.44861538189430183,0.39372684390998425,0.26772586454867675,0.5585649421403194,0.3357142857142857,0.9920844327176781,0.5016677785190127,0.3406884377758164,None
3,SGDClassifier,BalancedKFold,0.14289074960127593,0.102063161094563,0.062152014652014656,0.6299559471365639,0.4995421834328586,0.10167904807057848,0.06456605987403896,0.6372980910425844,0.3375912408759124,0.9762532981530343,0.5016949152542373,0.35127978817299205,None
4,RidgeClassifier,StratifiedKFold,0.43809523809523815,0.017683589504735288,0.03340958344357233,0.666762103071317,0.6854994461631267,0.02055005357166816,0.03888636455560477,0.6681056867415337,0.75,0.0079155672823219,0.01566579634464752,0.6672550750220653,None
5,RidgeClassifier,BalancedKFold,0.15,0.00251821349382325,0.004945054945054946,0.6656387665198238,0.9550000000000001,0.003221932551271118,0.006417881898876342,0.6670582476749877,0.75,0.0079155672823219,0.01566579634464752,0.6672550750220653,None
6,RandomForestClassifier,StratifiedKFold,0.41797913520826013,0.25288775034932465,0.31448645225308774,0.632318237029325,0.9835390617247928,0.9104245291155786,0.945546369385941,0.9649690114979121,0.3832599118942731,0.22955145118733508,0.2871287128712871,0.6187113857016769,None
7,RandomForestClassifier,BalancedKFold,0.4310595860628223,0.25461824496167546,0.31861622430131487,0.6400881057268724,0.9868911956544262,0.9237860074311864,0.9542622378890495,0.9704356338717572,0.3832599118942731,0.22955145118733508,0.2871287128712871,0.6187113857016769,None
8,KNeighborsClassifier,StratifiedKFold,0.4206488050842889,0.13737773637633907,0.20637649434732103,0.6499791775117127,0.6556019270880926,0.21096005412751015,0.31901119984636506,0.6993422123751619,0.3504273504273504,0.10817941952506596,0.16532258064516128,0.6345984112974404,None
9,KNeighborsClassifier,BalancedKFold,0.41969768170426064,0.13649486855729237,0.20415628072672082,0.6484581497797357,0.6402675212151155,0.21021046147075334,0.3162997522307887,0.6967205090553108,0.3504273504273504,0.10817941952506596,0.16532258064516128,0.6345984112974404,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6658823529411765,0.0,0.0,0.0,0.6658816688285556,0.5,0.002638522427440633,0.0052493438320209964,0.6654898499558694,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6660792951541851,0.0,0.0,0.0,0.6657856093979443,0.5,0.002638522427440633,0.0052493438320209964,0.6654898499558694,None
12,LinearSVC,StratifiedKFold,0.4004907761921336,0.3026471044868809,0.15579929574397947,0.5672549019607842,0.5281407987090708,0.30166398009702317,0.15363273174317274,0.5666775456430289,0.75,0.0079155672823219,0.01566579634464752,0.6672550750220653,None
13,LinearSVC,BalancedKFold,0.31401504814627107,0.5024390243902439,0.25144079644542544,0.49383259911894273,0.5175158995494328,0.5010262168587103,0.2529951191463442,0.5014684287812041,0.75,0.0079155672823219,0.01566579634464752,0.6672550750220653,None
0,LogisticRegression,StratifiedKFold,0.5621690809190809,0.06783884489986027,0.12063583091293624,0.670883220544855,0.5861205382370914,0.07195269209611851,0.12811953538481072,0.672946670765805,0.5714285714285714,0.07387862796833773,0.1308411214953271,0.6716681376875552,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.553030303030303,0.05534644294878268,0.09927609130855439,0.670044052863436,0.6022649520587263,0.057906804176356005,0.1055743064672529,0.6727361722956436,0.5476190476190477,0.06068601583113457,0.10926365795724466,0.6690203000882613,MinMaxScaler
