,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.5221032188423492,0.1,0.16677310603146211,0.6691339031339031,0.5813414287524113,0.10699588477366255,0.1806580854907861,0.6769793917142797,0.4861111111111111,0.09722222222222222,0.16203703703703703,0.6651248843663274,None
1,LogisticRegression,BalancedKFold,0.2,0.005169842584921293,0.01007715320421981,0.6754629629629629,0.6472619047619048,0.0071270923815124395,0.014095048918861014,0.6764917695473252,0.5,0.005555555555555556,0.01098901098901099,0.6669750231267345,None
2,SGDClassifier,StratifiedKFold,0.2,0.10462962962962963,0.05885240624497022,0.6321035137701804,0.5980341647358138,0.10545267489711933,0.06075116082826152,0.6336759985920987,0.34652278177458035,0.8027777777777778,0.4840871021775544,0.4301572617946346,None
3,SGDClassifier,BalancedKFold,0.3549450549450549,0.04860911702792796,0.07789391958156261,0.6717592592592594,0.4855577862824239,0.04878136867575284,0.07736732731725901,0.6726851851851852,0.33302238805970147,0.9916666666666667,0.49860335195530725,0.33580018501387604,None
4,RidgeClassifier,StratifiedKFold,0.5295919913419913,0.1074074074074074,0.17737170722576362,0.6697511870845203,0.6009159396664691,0.11594650205761317,0.19430460415218265,0.6799259818621162,0.4634146341463415,0.10555555555555556,0.17194570135746606,0.6614246068455134,None
5,RidgeClassifier,BalancedKFold,0.6411111111111111,0.037338844690020016,0.06967952499188852,0.6791666666666666,0.6405991230232889,0.0418430136037853,0.0785410076249902,0.6814300411522634,0.5,0.005555555555555556,0.01098901098901099,0.6669750231267345,None
6,RandomForestClassifier,StratifiedKFold,0.4108008805997386,0.25277777777777777,0.3125198185038326,0.6305887939221273,0.981975774464147,0.9496913580246915,0.9655357135641147,0.9774214976398398,0.37751004016064255,0.2611111111111111,0.30870279146141216,0.61054579093432,None
7,RandomForestClassifier,BalancedKFold,0.40551737576360747,0.2509308406347395,0.3074700435365604,0.6402777777777777,0.9710243920755929,0.9775061814807827,0.9742464506701802,0.9832304526748971,0.37786259541984735,0.275,0.31832797427652737,0.6077705827937095,None
8,KNeighborsClassifier,StratifiedKFold,0.43102683339525444,0.13611111111111113,0.20538808233530115,0.6506429249762583,0.6482752269695473,0.2123456790123457,0.3196888274646899,0.6992840624200922,0.45454545454545453,0.16666666666666666,0.2439024390243902,0.6558741905642923,None
9,KNeighborsClassifier,BalancedKFold,0.37116938591538134,0.12654459622609973,0.18825067471644463,0.6467592592592593,0.6427273033400906,0.21601506795003442,0.32312282198631165,0.7066358024691358,0.45454545454545453,0.16666666666666666,0.2439024390243902,0.6558741905642923,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6666657169990503,0.0,0.0,0.0,0.6666666549263283,0.5,0.002777777777777778,0.005524861878453039,0.6669750231267345,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.675,0.5,0.002777777777777778,0.005524861878453039,0.6669750231267345,None
