,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.4963888888888889,0.0741046277665996,0.12832425170450096,0.6674573012608422,0.5442485151013158,0.08277748801380169,0.1435050905813734,0.6719300740001664,0.3023255813953488,0.05555555555555555,0.09386281588447652,0.6434659090909091,None
1,LogisticRegression,BalancedKFold,0.525,0.030266028933764684,0.05621542183306889,0.688758865248227,0.5649000999000999,0.029067671042388034,0.055137551705986255,0.6893798796315784,0.37037037037037035,0.042735042735042736,0.07662835249042146,0.6576704545454546,None
2,SGDClassifier,StratifiedKFold,0.13512891074590122,0.31714285714285717,0.17464591906786847,0.5669833676115533,0.14488770914686605,0.3197782302553712,0.1804453192917496,0.568403564202766,0.0,0.0,0.0,0.6676136363636364,None
3,SGDClassifier,BalancedKFold,0.20066573484495526,0.3231993006993007,0.17591208014466708,0.567193515704154,0.17146877306070535,0.32498863683593243,0.17895219795629602,0.5731018922196498,0.2857142857142857,0.008547008547008548,0.016597510373443983,0.6633522727272727,None
4,RidgeClassifier,StratifiedKFold,0.5127417027417028,0.07130784708249496,0.12467110083560903,0.6698336761155325,0.5580984801592116,0.08056179662580995,0.14059744523718415,0.6730354203043152,0.3076923076923077,0.05128205128205128,0.08791208791208792,0.6463068181818182,None
5,RidgeClassifier,BalancedKFold,0.25,0.007054655870445345,0.013663694795770268,0.688743667679838,0.8397619047619047,0.008100247562868573,0.016019593681904816,0.6892211506659851,0.16666666666666666,0.004273504273504274,0.008333333333333333,0.6619318181818182,None
6,RandomForestClassifier,StratifiedKFold,0.3827893312817688,0.23070422535211269,0.2866479013251646,0.6215058571045337,0.9797716529302795,0.9257663142690926,0.9519882457053213,0.9689457332113853,0.37777777777777777,0.21794871794871795,0.2764227642276423,0.6207386363636364,None
7,RandomForestClassifier,BalancedKFold,0.395935545935546,0.21332688085695067,0.27215585839715917,0.6431712259371833,0.9480544853264365,0.9766691618052157,0.962115894517628,0.975941537127795,0.363013698630137,0.2264957264957265,0.27894736842105267,0.6107954545454546,None
8,KNeighborsClassifier,StratifiedKFold,0.37491969383273727,0.09977867203219316,0.15576370802664408,0.6418939461682912,0.6516072673610525,0.17901086280567316,0.2805076337072684,0.6950891327845681,0.43636363636363634,0.10256410256410256,0.16608996539792384,0.6576704545454546,None
9,KNeighborsClassifier,BalancedKFold,0.33846792096792094,0.0870273509075239,0.13691855255682642,0.6624113475177305,0.6587711041170543,0.17769925382422022,0.2791136219988564,0.7140706901390101,0.43636363636363634,0.10256410256410256,0.16608996539792384,0.6576704545454546,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6674573012608425,0.0,0.0,0.0,0.6674561957817133,0.0,0.0,0.0,0.6676136363636364,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6873201621073962,0.0,0.0,0.0,0.687321915371278,0.0,0.0,0.0,0.6676136363636364,None
12,LinearSVC,StratifiedKFold,0.16619198783868372,0.5,0.24946493467298766,0.49984127693820984,0.16628064632354983,0.5,0.24956546715870848,0.5000174884288129,0.0,0.0,0.0,0.6676136363636364,None
13,LinearSVC,BalancedKFold,0.1514437689969605,0.5,0.23166835463480262,0.4902077001013171,0.156877649658739,0.5,0.23881406847255696,0.5010772146887559,0.0,0.0,0.0,0.6676136363636364,None
0,LogisticRegression,StratifiedKFold,0.5711080586080586,0.06987927565392354,0.1228709947344361,0.6721966377537333,0.5685993093960086,0.07264789664787658,0.12872330362057519,0.6732459743355228,0.3142857142857143,0.04700854700854701,0.08178438661710037,0.6491477272727273,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.5889682539682539,0.06330695739308004,0.11143036255450575,0.6880547112462005,0.5646612907983706,0.06811880400871395,0.12092403889471515,0.6927829685197993,0.3684210526315789,0.05982905982905983,0.10294117647058823,0.6534090909090909,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.4694937176644494,0.05096579476861167,0.07923200724843918,0.6651032817669676,0.6229177348733398,0.060821179963489735,0.09326188098554464,0.6702984119065436,0.0,0.0,0.0,0.6633522727272727,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.29334064327485376,0.18820419813907027,0.18839525920345107,0.645937183383992,0.6062016288091694,0.20174754768481834,0.205169345914861,0.6628750864427674,0.0,0.0,0.0,0.6661931818181818,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.44499999999999995,0.03277665995975855,0.06048106655821147,0.6698269695072879,0.5727781571468802,0.030072819916146763,0.05687248400902721,0.6698247831268536,0.36363636363636365,0.017094017094017096,0.0326530612244898,0.6633522727272727,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.36,0.018586517968539423,0.03488452378696281,0.6866312056737589,0.5908738320503025,0.02074043580447358,0.03995752361307759,0.689379942271265,0.36363636363636365,0.017094017094017096,0.0326530612244898,0.6633522727272727,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.3874837757763445,0.23356136820925552,0.28997815832534,0.6233993561656085,0.9797717875249248,0.9257665650263798,0.9519874263747484,0.9689457332113853,0.3805970149253731,0.21794871794871795,0.27717391304347827,0.6221590909090909,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.3775397989987077,0.19525128098692487,0.25367258667646364,0.6431864235055725,0.9791552227940926,0.9468298494205639,0.9626885976888907,0.9770493199835633,0.3722627737226277,0.21794871794871795,0.2749326145552561,0.6178977272727273,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.3969850898865571,0.08832997987927566,0.14347941179212415,0.6499172851649826,0.6562662040141655,0.16239292663844812,0.26030937509647056,0.6931414872093346,0.38596491228070173,0.09401709401709402,0.1512027491408935,0.6491477272727273,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.435050505050505,0.10568696128297364,0.16811293527707655,0.6780851063829788,0.7010458088602051,0.17144581987332425,0.2746328781618617,0.7176329464706295,0.38596491228070173,0.09401709401709402,0.1512027491408935,0.6491477272727273,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6674573012608425,0.0,0.0,0.0,0.6674561957817133,0.0,0.0,0.0,0.6676136363636364,MinMaxScaler
