,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.5333333333333334,0.0232258064516129,0.04416544477028348,0.6587844739530132,0.5044323695236473,0.02529896574014221,0.047756205381622875,0.6578776883161102,0.5714285714285714,0.0392156862745098,0.07339449541284403,0.6587837837837838,None
1,LogisticRegression,BalancedKFold,0.3583333333333333,0.02387866074937013,0.04324844720496894,0.6583879781420766,0.6052079138611647,0.0466979225451186,0.0856065104443353,0.6686823268474645,0.5,0.0392156862745098,0.07272727272727272,0.6554054054054054,None
2,SGDClassifier,StratifiedKFold,0.1791747259832366,0.30182795698924736,0.19403560152874708,0.5670326864147089,0.298284725476916,0.3005575307045895,0.19769291535625838,0.5717889951640259,0.425,0.16666666666666666,0.23943661971830985,0.6351351351351351,None
3,SGDClassifier,BalancedKFold,0.19693724566288284,0.17556254767353163,0.1189643255295429,0.6070491803278688,0.35439996651035566,0.19039969871167708,0.12659164005315077,0.6122105723023156,0.425,0.16666666666666666,0.23943661971830985,0.6351351351351351,None
4,RidgeClassifier,StratifiedKFold,0.2333333333333333,0.016451612903225804,0.03068181818181818,0.6542517875383044,0.5550270562770563,0.02126831501831502,0.040594327858383766,0.6597616375478397,0.5,0.0196078431372549,0.03773584905660377,0.6554054054054054,None
5,RidgeClassifier,BalancedKFold,0.08333333333333333,0.010818713450292398,0.019090909090909092,0.6550819672131147,0.5546986346986347,0.030916006640135163,0.05812495013116671,0.6679497261148638,0.5,0.0196078431372549,0.03773584905660377,0.6554054054054054,None
6,RandomForestClassifier,StratifiedKFold,0.4723809523809524,0.08225806451612902,0.13700310026529539,0.6497318692543412,1.0,1.0,1.0,1.0,0.29411764705882354,0.049019607843137254,0.08403361344537814,0.6317567567567568,None
7,RandomForestClassifier,BalancedKFold,0.425,0.08310941219980121,0.13558107032619776,0.6517486338797813,1.0,1.0,1.0,1.0,0.35714285714285715,0.049019607843137254,0.08620689655172414,0.6418918918918919,None
8,KNeighborsClassifier,StratifiedKFold,0.4452472527472528,0.12526881720430108,0.19329389691466894,0.6451608784473952,0.6852155503229365,0.19434254471019177,0.3025469071872321,0.6936571187178048,0.3333333333333333,0.11764705882352941,0.1739130434782609,0.6148648648648649,None
9,KNeighborsClassifier,BalancedKFold,0.4644444444444444,0.12553206550632182,0.19351688896321823,0.6551912568306012,0.6667653876924948,0.20793079723973448,0.3164917985089905,0.6982041200389825,0.3333333333333333,0.11764705882352941,0.1739130434782609,0.6148648648648649,None
10,MLPClassifier,StratifiedKFold,0.25,0.009892473118279569,0.018963831867057673,0.6587844739530133,0.28500000000000003,0.008804675716440422,0.01694168042025713,0.6582550456170438,0.0,0.0,0.0,0.6554054054054054,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.663360655737705,0.0,0.0,0.0,0.6633662667607622,0.0,0.0,0.0,0.6554054054054054,None
12,LinearSVC,StratifiedKFold,0.17191011235955056,0.5,0.2558403361344538,0.5014555669050051,0.17106565573459237,0.49963235294117647,0.2548684803481728,0.4997128049280278,0.3436426116838488,0.9803921568627451,0.5089058524173028,0.34797297297297297,None
13,LinearSVC,BalancedKFold,0.11991228070175439,0.2,0.11231391732342906,0.6050273224043716,0.3475025806614554,0.20805363970772345,0.11633251524610241,0.5998141613737944,0.3436426116838488,0.9803921568627451,0.5089058524173028,0.34797297297297297,None
0,LogisticRegression,StratifiedKFold,0.4,0.016451612903225804,0.031451612903225803,0.6610061287027579,0.8167063492063491,0.01870017237664296,0.03644600234254709,0.6625237227542985,1.0,0.029411764705882353,0.05714285714285715,0.6655405405405406,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.1,0.005555555555555555,0.010526315789473684,0.665,0.3625,0.01036608916844169,0.019901765760702433,0.6641002117148908,1.0,0.029411764705882353,0.05714285714285715,0.6655405405405406,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.3263890890686972,0.40387096774193554,0.3415971309612918,0.5806690500510726,0.33863878541337894,0.43000969618616675,0.35975502767211126,0.5982546042634755,0.41711229946524064,0.7647058823529411,0.5397923875432526,0.5506756756756757,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.15193685488767456,0.215590689503733,0.16726938703409291,0.6073224043715847,0.24111528024888926,0.24709160805231595,0.18878130779080507,0.6162257620055785,1.0,0.0196078431372549,0.038461538461538464,0.6621621621621622,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.3219047619047619,0.03634408602150537,0.06416133283780343,0.6542262512768131,0.3555379828882551,0.03923588666235726,0.07047818827653236,0.6583805161314731,0.4444444444444444,0.0392156862745098,0.07207207207207207,0.652027027027027,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.075,0.01111111111111111,0.01909090909090909,0.6567486338797814,0.20976851851851852,0.026518437881831215,0.04681440288025799,0.6642840340088048,0.4444444444444444,0.0392156862745098,0.07207207207207207,0.652027027027027,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.4628571428571429,0.08225806451612902,0.13643411022262114,0.6486082737487231,1.0,1.0,1.0,1.0,0.3125,0.049019607843137254,0.0847457627118644,0.6351351351351351,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.3892857142857143,0.07846918845202597,0.12701217223556055,0.6517486338797814,1.0,1.0,1.0,1.0,0.3076923076923077,0.0392156862745098,0.06956521739130435,0.6385135135135135,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.4416269841269841,0.10236559139784947,0.16516857806331492,0.6485699693564863,0.7578266949410845,0.1840794009911657,0.2956430230124061,0.7001889939030157,0.43478260869565216,0.09803921568627451,0.16,0.6452702702702703,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.38333333333333336,0.07745229757529529,0.12497013084498287,0.6467759562841531,0.6532234188524815,0.15307785207495883,0.24731356245123087,0.687566959034849,0.43478260869565216,0.09803921568627451,0.16,0.6452702702702703,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6576353421859039,0.0,0.0,0.0,0.6576272201660751,0.0,0.0,0.0,0.6554054054054054,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.663360655737705,0.0,0.0,0.0,0.6633662667607622,0.0,0.0,0.0,0.6554054054054054,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.6576353421859039,0.0,0.0,0.0,0.6576272201660751,0.0,0.0,0.0,0.6554054054054054,MinMaxScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.663360655737705,0.0,0.0,0.0,0.6633662667607622,0.0,0.0,0.0,0.6554054054054054,MinMaxScaler
0,LogisticRegression,StratifiedKFold,0.5499999999999999,0.039569892473118276,0.0722975724991854,0.65988253319714,0.607221691352126,0.04546837965955613,0.08420269259617781,0.6631515482052672,0.6,0.029411764705882353,0.056074766355140186,0.6587837837837838,Normalizer
1,LogisticRegression,BalancedKFold,0.5383333333333333,0.12431754617109307,0.19806961237995718,0.6649453551912569,0.6016257625601302,0.144679288514138,0.23201699268885104,0.6804153644520617,0.5555555555555556,0.09803921568627451,0.16666666666666669,0.6621621621621622,Normalizer
2,SGDClassifier,StratifiedKFold,0.39163043478260867,0.14526881720430107,0.1816515441902439,0.6305924412665985,0.48228583228163063,0.17670491273432448,0.2235584288768367,0.6456961722035522,0.5483870967741935,0.16666666666666666,0.2556390977443609,0.6655405405405406,Normalizer
3,SGDClassifier,BalancedKFold,0.3595440213436818,0.33466241360978205,0.2971930136847952,0.5854371584699454,0.38481309345055603,0.360018135109028,0.29992942617117135,0.5997745068387269,0.3604060913705584,0.696078431372549,0.4749163879598662,0.46959459459459457,Normalizer
4,RidgeClassifier,StratifiedKFold,0.13333333333333333,0.006666666666666666,0.012512218963831867,0.6553626149131767,0.2452005772005772,0.01502235509588451,0.027832511066530473,0.6576270625398006,0.0,0.0,0.0,0.6554054054054054,Normalizer
5,RidgeClassifier,BalancedKFold,0.19166666666666665,0.026096491228070173,0.045354645354645354,0.6600546448087433,0.3110803412274,0.033021945241805926,0.05857892355080603,0.6672174614376449,0.0,0.0,0.0,0.6554054054054054,Normalizer
6,RandomForestClassifier,StratifiedKFold,0.4530952380952381,0.09193548387096774,0.1503617881107876,0.6519024514811033,1.0,1.0,1.0,1.0,0.5185185185185185,0.13725490196078433,0.21705426356589144,0.6587837837837838,Normalizer
7,RandomForestClassifier,BalancedKFold,0.4533333333333333,0.10499112983380718,0.16615662470449508,0.6518306010928961,1.0,1.0,1.0,1.0,0.4594594594594595,0.16666666666666666,0.24460431654676257,0.6452702702702703,Normalizer
8,KNeighborsClassifier,StratifiedKFold,0.4610858585858585,0.11258064516129032,0.1771631832992552,0.6474591419816138,0.7148542524210868,0.17527472527472526,0.2810247979060698,0.6934098030932581,0.34782608695652173,0.0784313725490196,0.128,0.6317567567567568,Normalizer
9,KNeighborsClassifier,BalancedKFold,0.34095238095238095,0.05299722048863925,0.08844047057390385,0.6369672131147541,0.6903085167375145,0.16834218133821496,0.2696255221872984,0.6945377558221596,0.34782608695652173,0.0784313725490196,0.128,0.6317567567567568,Normalizer
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6576353421859039,0.0,0.0,0.0,0.6576272201660751,0.0,0.0,0.0,0.6554054054054054,Normalizer
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.663360655737705,0.0,0.0,0.0,0.6633662667607622,0.0,0.0,0.0,0.6554054054054054,Normalizer
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.6576353421859039,0.0,0.0,0.0,0.6576272201660751,0.0,0.0,0.0,0.6554054054054054,Normalizer
