,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.5260957980256717,0.11449309113491693,0.18710710339791228,0.6691159118514662,0.564810518073007,0.12256363911670956,0.20131335653529217,0.6752688454999227,0.45454545454545453,0.09234828496042216,0.15350877192982454,0.6593115622241836,None
1,LogisticRegression,BalancedKFold,0.4484371184371184,0.050724567862649436,0.09022465123921328,0.6616740088105727,0.4929307374280304,0.058317417678690385,0.10421411711751705,0.6655898188937837,0.4186046511627907,0.047493403693931395,0.08530805687203792,0.6593115622241836,None
2,SGDClassifier,StratifiedKFold,0.38422047698482986,0.2509392951405061,0.1940419982288817,0.6099175776505292,0.42255322586441285,0.25836570953230686,0.20129970656882074,0.6121775966683162,0.38267148014440433,0.2796833773087071,0.323170731707317,0.6081200353045013,None
3,SGDClassifier,BalancedKFold,0.45411773711564346,0.25602566946020333,0.24211266714771812,0.6233480176211454,0.4792252651981861,0.2645065821115453,0.25429256875938133,0.6298091042584435,0.48,0.0316622691292876,0.05940594059405941,0.6646072374227714,None
4,RidgeClassifier,StratifiedKFold,0.5214577742277602,0.12684365781710913,0.20340980338107775,0.6691176470588236,0.5751697755425196,0.13764046989732254,0.22204972811604015,0.677885672548588,0.4642857142857143,0.10290237467018469,0.16846652267818574,0.6601941747572816,None
5,RidgeClassifier,BalancedKFold,0.5266358641358642,0.05686283373003089,0.10110190383250459,0.6665198237885462,0.5636057907185694,0.06532803211548108,0.11692370121698978,0.671071953010279,0.4146341463414634,0.044854881266490766,0.08095238095238094,0.6593115622241836,None
6,RandomForestClassifier,StratifiedKFold,0.5128734228734229,0.12328054649899083,0.19834216210016203,0.6676427208051363,0.9997067448680351,0.9986293703076873,0.9991673143856559,0.9994439420361294,0.425531914893617,0.10554089709762533,0.16913319238900634,0.6531332744924978,None
7,RandomForestClassifier,BalancedKFold,0.4545680841346476,0.10088636920287533,0.16451294919373077,0.6612334801762115,0.9988296801671297,0.9998520710059171,0.9993403924779829,0.9995594713656386,0.43373493975903615,0.09498680738786279,0.15584415584415584,0.6557811120917917,None
8,KNeighborsClassifier,StratifiedKFold,0.39429887076541253,0.11449309113491693,0.17690933762146502,0.644968766267569,0.6389161060134573,0.18051975059944683,0.28144513354164197,0.692081335377768,0.3645833333333333,0.09234828496042216,0.14736842105263157,0.6425419240953222,None
9,KNeighborsClassifier,BalancedKFold,0.40394710037124903,0.10571796682690411,0.16671877031320032,0.6484581497797357,0.6638065984377595,0.19391494440279283,0.30008238032369006,0.6979931473323544,0.3645833333333333,0.09234828496042216,0.14736842105263157,0.6425419240953222,None
