,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.5262789987789989,0.10126984126984126,0.16611613474439144,0.6466831683168317,0.6067588010494236,0.11548286604361371,0.1933864168405695,0.6593470915538537,0.43478260869565216,0.0847457627118644,0.14184397163120568,0.6377245508982036,None
1,LogisticRegression,BalancedKFold,0.517567155067155,0.1725412811964536,0.24615617777038964,0.6430555555555556,0.6153616041664922,0.2033807663227027,0.30528752241099355,0.671658785101404,0.4827586206896552,0.11864406779661017,0.1904761904761905,0.6437125748502994,None
2,SGDClassifier,StratifiedKFold,0.20876785714285714,0.2115079365079365,0.15806617647058824,0.5998316831683168,0.3811261342653117,0.22964466510903425,0.17677409616386022,0.599240804132388,1.0,0.01694915254237288,0.03333333333333333,0.6526946107784432,None
3,SGDClassifier,BalancedKFold,0.25200137607252715,0.2784672224327397,0.19804098350305524,0.57466744913928,0.31854979696597485,0.28327692053304,0.19795914533077905,0.5753478451638065,1.0,0.00847457627118644,0.01680672268907563,0.6497005988023952,None
4,RidgeClassifier,StratifiedKFold,0.4979395604395605,0.09833333333333334,0.16145081939101874,0.6466633663366336,0.6102842650221231,0.11172994548286605,0.1885681295882547,0.6591261003418227,0.5,0.0847457627118644,0.14492753623188406,0.6467065868263473,None
5,RidgeClassifier,BalancedKFold,0.5186507936507937,0.15798189422327352,0.23173214877330559,0.6416275430359937,0.6287780360411477,0.1967697285721487,0.29928632890270074,0.6730643038221529,0.5185185185185185,0.11864406779661017,0.19310344827586207,0.6497005988023952,None
6,RandomForestClassifier,StratifiedKFold,0.5032708665603403,0.14912698412698414,0.22571797629234616,0.6417128712871287,1.0,1.0,1.0,1.0,0.4166666666666667,0.1271186440677966,0.19480519480519481,0.6287425149700598,None
7,RandomForestClassifier,BalancedKFold,0.5761111111111111,0.15769153643291572,0.23846310897217132,0.6586854460093897,1.0,1.0,1.0,1.0,0.4074074074074074,0.09322033898305085,0.15172413793103448,0.6317365269461078,None
8,KNeighborsClassifier,StratifiedKFold,0.4818568033273916,0.16849206349206347,0.24513731614404777,0.6426930693069307,0.666959551130781,0.2412636292834891,0.3541837133598833,0.6876251073579247,0.5,0.17796610169491525,0.2625,0.6467065868263473,None
9,KNeighborsClassifier,BalancedKFold,0.3728787878787879,0.11039126837402699,0.16649346753618516,0.6249804381846635,0.6442866170510015,0.20456276884478747,0.30999086541135296,0.6771192472698908,0.5,0.17796610169491525,0.2625,0.6467065868263473,None
10,MLPClassifier,StratifiedKFold,0.16666666666666666,0.01111111111111111,0.02078272604588394,0.6456930693069307,0.48016539016539017,0.01592095015576324,0.03046906351315002,0.644821472077096,0.42105263157894735,0.06779661016949153,0.11678832116788321,0.6377245508982036,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6446009389671361,0.0,0.0,0.0,0.6446621489859594,0.3076923076923077,0.2033898305084746,0.24489795918367346,0.5568862275449101,None
12,LinearSVC,StratifiedKFold,0.2596363636363636,0.30007936507936506,0.17044254881067022,0.5677029702970298,0.37461519192388104,0.29499415887850466,0.16516315858438024,0.5668840485196296,0.0,0.0,0.0,0.6437125748502994,None
13,LinearSVC,BalancedKFold,0.161189358372457,0.4033333333333333,0.20842637082585114,0.512754303599374,0.3439822671374322,0.41254033628712483,0.2327779774131597,0.5313582293291732,0.0,0.0,0.0,0.6437125748502994,None
0,LogisticRegression,StratifiedKFold,0.49362193362193363,0.12634920634920635,0.19817610292016496,0.6476435643564357,0.6057474165126652,0.14076323987538938,0.2278393556288123,0.6620082145731154,0.5,0.11016949152542373,0.18055555555555555,0.6467065868263473,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.6763961038961039,0.12977204659963282,0.20535162259954515,0.6571596244131456,0.6861527543892452,0.14269455131336992,0.23506094271273498,0.6721246099843994,0.5454545454545454,0.1016949152542373,0.17142857142857146,0.6526946107784432,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.10671428571428572,0.24285714285714283,0.14375406728347903,0.5747128712871287,0.1681387696372128,0.25545268691588785,0.15627724043365415,0.5844001860460539,0.75,0.025423728813559324,0.04918032786885246,0.6526946107784432,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.4389103039288361,0.272430965586138,0.2656269265609101,0.614906103286385,0.5202716472296938,0.29422261434376895,0.2786711903846223,0.6129960510920437,0.3567073170731707,0.9915254237288136,0.5246636771300448,0.3652694610778443,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.4754551004551004,0.10674603174603174,0.17137488564687758,0.6556633663366337,0.46984820859509024,0.1001888629283489,0.1649101355574524,0.6552442346641205,0.5263157894736842,0.0847457627118644,0.145985401459854,0.6497005988023952,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.6252380952380953,0.16071157195295124,0.24258455615871716,0.6528951486697966,0.620622793390274,0.17345579093695462,0.27022191261235495,0.6683802164586584,0.5,0.1016949152542373,0.16901408450704228,0.6467065868263473,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.4858585858585859,0.15476190476190474,0.23036448430703443,0.6426732673267327,1.0,1.0,1.0,1.0,0.4444444444444444,0.1016949152542373,0.16551724137931037,0.6377245508982036,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.5471464646464645,0.20739807638083502,0.2946526894234874,0.655868544600939,1.0,1.0,1.0,1.0,0.4230769230769231,0.09322033898305085,0.15277777777777776,0.6347305389221557,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.4147008547008547,0.1123015873015873,0.17483890253101578,0.6247326732673267,0.6780821748031893,0.18789038161993768,0.2936814008024139,0.6795296430918099,0.3333333333333333,0.059322033898305086,0.10071942446043165,0.625748502994012,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.3684126984126984,0.07623238064617374,0.12139603446529443,0.6221439749608764,0.6595786041689402,0.14259082148586757,0.23391012384904036,0.6694756727769111,0.3333333333333333,0.059322033898305086,0.10071942446043165,0.625748502994012,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6447128712871286,0.0,0.0,0.0,0.644710607332085,0.0,0.0,0.0,0.6467065868263473,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6446009389671361,0.0,0.0,0.0,0.6446621489859594,0.0,0.0,0.0,0.6467065868263473,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.6447128712871286,0.0,0.0,0.0,0.644710607332085,0.0,0.0,0.0,0.6467065868263473,MinMaxScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.6446009389671361,0.0,0.0,0.0,0.6446621489859594,0.0,0.0,0.0,0.6467065868263473,MinMaxScaler
0,LogisticRegression,StratifiedKFold,0.5183333333333333,0.06436507936507936,0.11060367068390173,0.6447029702970297,0.5700247110703592,0.07677959501557632,0.13427877652329126,0.6515854519860909,0.3333333333333333,0.0423728813559322,0.07518796992481203,0.6317365269461078,Normalizer
1,LogisticRegression,BalancedKFold,0.6226190476190475,0.11589934522693142,0.19021795602208477,0.6558294209702661,0.6315137886983929,0.12602275462985346,0.2093314834744866,0.6635435354914196,0.4444444444444444,0.06779661016949153,0.1176470588235294,0.6407185628742516,Normalizer
2,SGDClassifier,StratifiedKFold,0.23904761904761904,0.3334920634920635,0.22679329870908815,0.5837128712871287,0.21890642792845932,0.3168798676012461,0.20977899895416607,0.5745289171184519,0.3688888888888889,0.7033898305084746,0.4839650145772595,0.47005988023952094,Normalizer
3,SGDClassifier,BalancedKFold,0.3633276125095347,0.23923870573870576,0.22046918274004454,0.5952660406885759,0.5018698037781194,0.2713254421703651,0.2688677138114362,0.62219993174727,0.4666666666666667,0.059322033898305086,0.10526315789473685,0.6437125748502994,Normalizer
4,RidgeClassifier,StratifiedKFold,0.5255261405261406,0.09833333333333333,0.16218422205418537,0.6447029702970297,0.6033303901834647,0.12421826323987537,0.20477688096082827,0.6596807932058737,0.45,0.07627118644067797,0.13043478260869565,0.6407185628742516,Normalizer
5,RidgeClassifier,BalancedKFold,0.6035714285714285,0.13971366245504174,0.22157303865468164,0.6557902973395932,0.6174727984175732,0.15329083336718824,0.24487038152392643,0.6658841166146645,0.42857142857142855,0.07627118644067797,0.12949640287769787,0.6377245508982036,Normalizer
6,RandomForestClassifier,StratifiedKFold,0.4793908379202497,0.1603968253968254,0.2363948554199194,0.6396831683168317,1.0,1.0,1.0,1.0,0.4666666666666667,0.11864406779661017,0.18918918918918917,0.6407185628742516,Normalizer
7,RandomForestClassifier,BalancedKFold,0.5565506715506715,0.15001981734740358,0.22224115745700185,0.6431924882629108,1.0,1.0,1.0,1.0,0.48484848484848486,0.13559322033898305,0.2119205298013245,0.6437125748502994,Normalizer
8,KNeighborsClassifier,StratifiedKFold,0.43650793650793646,0.11801587301587299,0.18347284021790985,0.6287425742574257,0.6605372926672475,0.19255938473520248,0.2975985318021844,0.6777539614766546,0.2608695652173913,0.05084745762711865,0.0851063829787234,0.6137724550898204,Normalizer
9,KNeighborsClassifier,BalancedKFold,0.32479770229770233,0.08793608434987746,0.1337256655068121,0.6165884194053208,0.7313665688248281,0.1729120187483561,0.27907356710130776,0.6832100721528861,0.2608695652173913,0.05084745762711865,0.0851063829787234,0.6137724550898204,Normalizer
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.6447128712871286,0.0,0.0,0.0,0.644710607332085,0.0,0.0,0.0,0.6467065868263473,Normalizer
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.6446009389671361,0.0,0.0,0.0,0.6446621489859594,0.0,0.0,0.0,0.6467065868263473,Normalizer
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.6447128712871286,0.0,0.0,0.0,0.644710607332085,0.0,0.0,0.0,0.6467065868263473,Normalizer
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.6446009389671361,0.0,0.0,0.0,0.6446621489859594,0.0,0.0,0.0,0.6467065868263473,Normalizer
0,LogisticRegression,StratifiedKFold,0.4806926406926407,0.10682539682539682,0.1715095027704463,0.6406534653465347,0.5796388060064628,0.12577492211838004,0.20618467368241822,0.6570177014453021,0.47368421052631576,0.07627118644067797,0.13138686131386862,0.6437125748502994,StandardScaler
1,LogisticRegression,BalancedKFold,0.5478787878787879,0.15093233458750702,0.22599826785310656,0.643075117370892,0.6127550037254029,0.17346109710839228,0.26983301419116823,0.6668221041341653,0.5185185185185185,0.11864406779661017,0.19310344827586207,0.6497005988023952,StandardScaler
2,SGDClassifier,StratifiedKFold,0.34511059031219615,0.3957142857142857,0.29460283039744345,0.5698217821782179,0.5061399595734347,0.422354945482866,0.3192302805282446,0.5756277208620133,0.0,0.0,0.0,0.6437125748502994,StandardScaler
3,SGDClassifier,BalancedKFold,0.2836790439607341,0.31851052651052647,0.24349262814480208,0.5785798122065728,0.4854461035971114,0.3383316090394437,0.2777686313794491,0.5964515893135726,0.4857142857142857,0.1440677966101695,0.22222222222222224,0.6437125748502994,StandardScaler
