,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9673243102550755,0.7733333333333332,0.01834673263244692,0.03568705197190193,0.9682399570574602,1.0,0.02702702702702703,0.052631578947368425,0.9682259488084731,None
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9634199134199134,0.9,0.16833333333333333,0.28285714285714286,0.9770641251424428,1.0,0.05405405405405406,0.10256410256410257,0.9691085613415711,None
2,SGDClassifier,StratifiedKFold,0.03333333333333333,0.00909090909090909,0.014285714285714287,0.9632066631962519,0.11262210012210012,0.02959183673469388,0.044139490890560386,0.9641837997172964,0.1506849315068493,0.2972972972972973,0.2,0.9223300970873787,None
3,SGDClassifier,BalancedKFold,0.1,0.1,0.1,0.9588744588744589,0.14318181818181816,0.14333333333333334,0.12000000000000002,0.9592147518906039,0.10204081632653061,0.2702702702702703,0.14814814814814814,0.8984995586937334,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.1,0.001020408163265306,0.00202020202020202,0.9679455828681688,0.0,0.0,0.0,0.9673433362753752,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9679653679653679,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,None
6,RandomForestClassifier,StratifiedKFold,0.2,0.01818181818181818,0.03333333333333334,0.9676184279021344,1.0,0.9347660276231705,0.9662311409375365,0.9979066474717451,0.3333333333333333,0.02702702702702703,0.05,0.9664607237422771,None
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9677489177489178,1.0,1.0,1.0,1.0,0.3333333333333333,0.02702702702702703,0.05,0.9664607237422771,None
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,None
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9664607237422771,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,None
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.967619295505813,0.2,0.002040816326530612,0.00404040404040404,0.9679455935652941,0.175,0.3783783783783784,0.23931623931623935,0.9214474845542807,None
