,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.9819216124034205,0.0,0.0,0.0,0.9821917808219178,None
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9482142857142858,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,None
2,SGDClassifier,StratifiedKFold,0.05,0.025,0.03333333333333333,0.9821771186795694,0.061764705882352944,0.014285714285714285,0.022326454033771106,0.9815152890101135,0.0,0.0,0.0,0.9821917808219178,None
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9601207243460765,0.0,0.0,0.0,0.9821917808219178,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,None
6,RandomForestClassifier,StratifiedKFold,0.1,0.05,0.06666666666666667,0.9817204976750032,0.996875,0.8746825396825397,0.9314997091363422,0.9977148337299203,0.0,0.0,0.0,0.9794520547945206,None
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9794520547945206,None
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,None
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9808219178082191,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,None
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,None
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.8625,0.004545454545454545,0.1,0.008695652173913045,0.8687323943661971,0.2,0.3076923076923077,0.24242424242424246,0.9657534246575342,None
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.9820231610263654,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.95,0.3828571428571429,0.29999999999999993,0.29333333333333333,0.9629979879275654,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.15,0.05,0.07333333333333333,0.9821771186795694,0.996875,0.8746825396825397,0.9314997091363422,0.9977148337299203,0.0,0.0,0.0,0.9794520547945206,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9794520547945206,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.9615492957746479,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9821771186795694,0.0,0.0,0.0,0.982175522631241,0.0,0.0,0.0,0.9821917808219178,MinMaxScaler
