,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.1,0.03333333333333333,0.05,0.9638278855975487,0.41666666666666663,0.04444444444444444,0.07907708902147167,0.9655993266205558,0.0,0.0,0.0,0.9628378378378378,None
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,None
2,SGDClassifier,StratifiedKFold,0.016666666666666666,0.03333333333333333,0.02222222222222222,0.9570990806945865,0.13173758865248225,0.12222222222222223,0.10544812053432744,0.9576852266350574,0.0,0.0,0.0,0.9662162162162162,None
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.9166666666666667,0.2,0.11666666666666665,0.13999999999999999,0.95,0.0,0.0,0.0,0.9628378378378378,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,None
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,None
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,None
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,None
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9628378378378378,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,None
12,LinearSVC,StratifiedKFold,0.0034883720930232558,0.1,0.006741573033707865,0.8751915219611849,0.0033962264150943396,0.1,0.006569343065693431,0.8730025598506964,0.0,0.0,0.0,0.9662162162162162,None
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.8333333333333334,0.2362857142857143,0.4333333333333333,0.2146103896103896,0.8574074074074074,0.5,0.1,0.16666666666666669,0.9662162162162162,None
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9638534218590399,0.07539682539682539,0.025925925925925925,0.03477124183006536,0.9639663184176845,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.85,0.005555555555555555,0.1,0.010526315789473684,0.8592592592592594,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.4,0.13333333333333333,0.2,0.9683605720122573,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,MinMaxScaler
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,Normalizer
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,Normalizer
2,SGDClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,Normalizer
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.85,0.005555555555555555,0.1,0.010526315789473684,0.8592592592592594,0.0,0.0,0.0,0.9662162162162162,Normalizer
