,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.15,0.01818181818181818,0.032051282051282055,0.967619295505813,0.4333333333333333,0.010183467326324467,0.019881964667054938,0.9679455828681688,0.5,0.02702702702702703,0.05128205128205129,0.9673433362753752,None
1,LogisticRegression,BalancedKFold,0.1,0.1,0.1,0.9725108225108225,0.9,0.16833333333333333,0.28285714285714286,0.9770641251424428,0.5,0.02702702702702703,0.05128205128205129,0.9673433362753752,None
2,SGDClassifier,StratifiedKFold,0.05333333333333333,0.02909090909090909,0.034285714285714294,0.9655552663543293,0.11706622879036672,0.03652855081426511,0.04762410600064674,0.9655254438611658,0.0,0.0,0.0,0.9673433362753752,None
3,SGDClassifier,BalancedKFold,0.15,0.2,0.16666666666666666,0.9770562770562771,0.5476190476190477,0.14833333333333334,0.21507936507936506,0.9714544701129182,0.0,0.0,0.0,0.9673433362753752,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.9,0.16833333333333333,0.28285714285714286,0.9770641251424428,0.0,0.0,0.0,0.9673433362753752,None
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,1.0,0.9989795918367348,0.9994871794871795,0.9999672881910369,0.0,0.0,0.0,0.9673433362753752,None
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9673433362753752,None
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,None
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9664607237422771,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,None
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.03333333333333333,0.001020408163265306,0.00198019801980198,0.9678801592502427,0.0,0.0,0.0,0.9673433362753752,None
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.9134199134199135,0.6038461538461538,0.23166666666666663,0.2212169312169312,0.9137988190199937,0.0,0.0,0.0,0.9664607237422771,None
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.1,0.00909090909090909,0.01666666666666667,0.967619295505813,0.06666666666666667,0.003050917336631622,0.005825608809617947,0.9671605636358074,1.0,0.02702702702702703,0.052631578947368425,0.9682259488084731,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,1.0,0.02702702702702703,0.052631578947368425,0.9682259488084731,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,1.0,0.9989795918367348,0.9994871794871795,0.9999672881910369,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9655781112091791,MinMaxScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,MinMaxScaler
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,Normalizer
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,Normalizer
2,SGDClassifier,StratifiedKFold,0.049040052962595164,0.1009090909090909,0.05791666666666666,0.9502628839146278,0.280486510053184,0.11206967635539064,0.09803098447368436,0.9528331015266296,0.5,0.02702702702702703,0.05128205128205129,0.9673433362753752,Normalizer
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.03333333333333333,0.016666666666666666,0.02222222222222222,0.9719698539314201,0.5,0.02702702702702703,0.05128205128205129,0.9673433362753752,Normalizer
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,Normalizer
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,Normalizer
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,1.0,0.9989795918367348,0.9994871794871795,0.9999672881910369,0.0,0.0,0.0,0.9673433362753752,Normalizer
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9673433362753752,Normalizer
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.9679134131528718,0.0,0.0,0.0,0.9679128710592056,0.0,0.0,0.0,0.9673433362753752,Normalizer
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9725108225108225,0.0,0.0,0.0,0.9724774681446181,0.0,0.0,0.0,0.9673433362753752,Normalizer
