,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
0,LogisticRegression,StratifiedKFold,0.1,0.025,0.04,0.95309900990099,0.19166666666666668,0.022756410256410255,0.04061515049381582,0.9530938769684336,0.0,0.0,0.0,0.9580838323353293,None
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9208333333333332,0.1,0.04,0.05714285714285715,0.9457120253164556,1.0,0.07142857142857142,0.13333333333333333,0.9610778443113772,None
2,SGDClassifier,StratifiedKFold,0.0,0.0,0.0,0.953118811881188,0.2219155844155844,0.04602564102564103,0.06594872689222184,0.9535357363461637,0.0,0.0,0.0,0.9580838323353293,None
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.9208333333333332,0.02857142857142857,0.08,0.04210526315789473,0.9343196202531644,0.0,0.0,0.0,0.9580838323353293,None
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,0.0,0.0,0.0,0.9560879633617242,0.0,0.0,0.0,0.9580838323353293,None
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9319444444444445,0.0,0.0,0.0,0.9431803797468353,0.0,0.0,0.0,0.9580838323353293,None
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9580838323353293,None
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9520958083832335,None
8,KNeighborsClassifier,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,0.0,0.0,0.0,0.9560879633617242,0.5,0.07142857142857142,0.125,0.9580838323353293,None
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,0.0,0.0,0.0,0.9431803797468353,1.0,0.07142857142857142,0.13333333333333333,0.9610778443113772,None
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,0.0,0.0,0.0,0.9560879633617242,0.0,0.0,0.0,0.9580838323353293,None
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,0.0,0.0,0.0,0.9431803797468353,0.0,0.0,0.0,0.9580838323353293,None
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.95509900990099,0.05,0.005064102564102564,0.00909560723514212,0.9555331474513414,0.0,0.0,0.0,0.9580838323353293,None
13,LinearSVC,BalancedKFold,0.039285714285714285,0.2,0.065,0.8208333333333334,0.16181458451102318,0.265,0.11275441628264209,0.8128006329113923,1.0,0.07142857142857142,0.13333333333333333,0.9610778443113772,None
0,LogisticRegression,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,0.0,0.0,0.0,0.9560879633617242,0.0,0.0,0.0,0.9580838323353293,MinMaxScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,0.0,0.0,0.0,0.9431803797468353,0.0,0.0,0.0,0.9580838323353293,MinMaxScaler
2,SGDClassifier,StratifiedKFold,0.0125,0.025,0.016666666666666666,0.94409900990099,0.01816949152542373,0.025,0.021010101010101014,0.9462210010557376,0.14285714285714285,0.07142857142857142,0.09523809523809523,0.9431137724550899,MinMaxScaler
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,0.0,0.0,0.0,0.9419145569620252,0.0,0.0,0.0,0.9580838323353293,MinMaxScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,0.0,0.0,0.0,0.9560879633617242,0.0,0.0,0.0,0.9580838323353293,MinMaxScaler
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,0.0,0.0,0.0,0.9431803797468353,0.0,0.0,0.0,0.9580838323353293,MinMaxScaler
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.95609900990099,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9580838323353293,MinMaxScaler
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9430555555555555,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9520958083832335,MinMaxScaler
