,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.3649410639786901,0.5583819698819699,0.4395240322546575,0.5629675251959687,0.3855286806903133,0.595419182921624,0.46796170469515025,0.5802466302619755
1,LogisticRegression,None,StratifiedKFold,0.35397564113037533,0.5355172413793103,0.42405129896681054,0.554568868980963,0.38022071906918337,0.584371759419288,0.4606386326499621,0.5756599156701458
2,LogisticRegression,None,BalancedKFold,0.3654621813463521,0.5455329500221141,0.4347699873125405,0.5630625365283459,0.3836114688275413,0.5920103203183367,0.46544392054330874,0.5756555114714507
3,LogisticRegression,MinMaxScaler,KFold,0.3645132844385455,0.5613603988603989,0.43911760234685976,0.5618924972004479,0.38910886464753874,0.5969136889032582,0.4710316783609974,0.5843612359162231
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.3472657215253999,0.5080459770114942,0.4098219344922768,0.5515005599104144,0.391006385637905,0.5987772208779812,0.4730561571486602,0.5863623418815236
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.361861567494632,0.5263600176912872,0.4255885906159504,0.5560198714202221,0.4028163958884722,0.576958676690851,0.4742828689042521,0.6006785118739578
6,LogisticRegression,Normalizer,KFold,0.36973466063203175,0.5470782967032968,0.43883092989247724,0.5724636058230683,0.3803085133333124,0.5567274719786605,0.45163256323100176,0.5810669800235019
7,LogisticRegression,Normalizer,StratifiedKFold,0.3531681668172352,0.48804597701149427,0.4052426780940638,0.5631354983202688,0.37722064286862433,0.5259721742136191,0.4389755396103986,0.5835417156286722
8,LogisticRegression,Normalizer,BalancedKFold,0.3681691556910701,0.5468769964126001,0.4383170887452451,0.5645528930450029,0.37946622149077525,0.5531820990352301,0.44980242849997704,0.5771674285549997
9,LogisticRegression,StandardScaler,KFold,0.35956799455330124,0.5481866096866097,0.4324596044334018,0.5576595744680851,0.3879326790116645,0.6003660101786688,0.4712607449187914,0.5823638625838115
10,LogisticRegression,StandardScaler,StratifiedKFold,0.34884851875205464,0.5149425287356321,0.4134312783594318,0.5525195968645017,0.3873868656384463,0.5911957022698467,0.4680336391740071,0.5834226861132232
11,LogisticRegression,StandardScaler,BalancedKFold,0.3519648339442628,0.56343800678166,0.43140733776290735,0.5408533021624781,0.38214779950089783,0.5786556029586312,0.4602179046100733,0.5762179431890058
12,LogisticRegression,RobustScaler,KFold,0.3598922403014187,0.548461334961335,0.43245145543926117,0.5586898096304592,0.3872814717811654,0.5965211112766047,0.46959928001778,0.5822459390336627
13,LogisticRegression,RobustScaler,StratifiedKFold,0.3493404771171728,0.5149425287356323,0.41344416968669073,0.5514781634938409,0.38743165368161747,0.5942332065906211,0.4690046257703361,0.5829519596322664
14,LogisticRegression,RobustScaler,BalancedKFold,0.34091390843040015,0.5180745982603566,0.4078808004748907,0.537375803623612,0.39332634097129804,0.5743561728210642,0.46672719010894603,0.59024926686217
15,SGDClassifier,None,KFold,0.2006448429789695,0.447809829059829,0.24828306319554588,0.5281634938409854,0.19136204859822686,0.4626210490652628,0.25420044219347415,0.5209769820971867
16,SGDClassifier,None,StratifiedKFold,0.18480546855818578,0.19505747126436784,0.14785212104075457,0.6273348264277716,0.26247433719627855,0.194853957829243,0.1489740378423506,0.6268333448538053
17,SGDClassifier,None,BalancedKFold,0.2169605572516405,0.2860484544695071,0.20613544350386456,0.6058737580362361,0.2999570233667493,0.2839133052109913,0.220262356145156,0.6061817175550572
18,SGDClassifier,MinMaxScaler,KFold,0.24382121424674613,0.147505291005291,0.12546433958198663,0.6361478163493841,0.42949988762352775,0.16913284721154784,0.15733061849338165,0.6432486348240822
19,SGDClassifier,MinMaxScaler,StratifiedKFold,0.3489130793336632,0.2793103448275862,0.17565218040953007,0.5948152295632699,0.3772233056575,0.29433834543150134,0.19974149441953676,0.6011695583051082
20,SGDClassifier,MinMaxScaler,BalancedKFold,0.21078961756496217,0.47593984962406016,0.2701998790683001,0.5248977206312099,0.24301794534346638,0.4829337335122201,0.2725286717992252,0.5233881749180611
21,SGDClassifier,Normalizer,KFold,0.2561226229116527,0.7766559829059829,0.38420976248025884,0.4089473684210526,0.24773210992907185,0.781294539508098,0.3761071527432533,0.3932562383355222
22,SGDClassifier,Normalizer,StratifiedKFold,0.262146787548475,0.4048275862068966,0.2547618272693313,0.544535274356103,0.3051292142691278,0.4241185620463187,0.2727578265477419,0.5552576207921477
