,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.5637301587301586,0.0744845031336461,0.12877794486975552,0.6489170687913814,0.5702745043920503,0.08305395271947494,0.14449893436942163,0.652694318004213
1,LogisticRegression,None,StratifiedKFold,0.5656168831168832,0.08448581560283688,0.14595553883452383,0.6527213556278758,0.5645398915452082,0.08274620399995601,0.14410160105295397,0.6518632702768867
2,LogisticRegression,None,BalancedKFold,0.5776984126984127,0.0912385872447792,0.15553387187350884,0.658208286674132,0.5915149746074959,0.09964233954672805,0.17032708272000857,0.662564828364417
3,LogisticRegression,MinMaxScaler,KFold,0.7028571428571428,0.03563155024132562,0.06654453325399766,0.6504432723600045,0.6869544875321512,0.04743573235764463,0.08836536948400904,0.6545236326820221
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.6213492063492063,0.06551418439716311,0.11594511738518398,0.6534451801144654,0.6438896521699613,0.07665391254631614,0.13673578309702672,0.6573521824944019
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.575,0.03777233824253948,0.07029662166643554,0.6550615901455767,0.6348830417458604,0.04916716699680733,0.09098466718905095,0.6590486531898712
6,LogisticRegression,Normalizer,KFold,0.5916666666666666,0.03280540427906474,0.059840286098394715,0.6422006508809337,0.5952046598388062,0.04764757748809546,0.08775638931437427,0.6513633415075734
7,LogisticRegression,Normalizer,StratifiedKFold,0.5933333333333333,0.04432624113475177,0.08129395451133203,0.648961957131635,0.6067057029035207,0.048758122505524956,0.0901851576214317,0.6512812533281328
8,LogisticRegression,Normalizer,BalancedKFold,0.6411904761904761,0.060769833923858686,0.10865016605501096,0.6571556550951848,0.5801263718577856,0.05677641394286257,0.10305926267659278,0.6576424027608853
9,LogisticRegression,StandardScaler,KFold,0.5037440337440338,0.12107004773804306,0.1934143036979133,0.6444001795533609,0.5550217788148295,0.13564410123851864,0.21771474571726962,0.6547733550206569
10,LogisticRegression,StandardScaler,StratifiedKFold,0.5380594405594405,0.13284574468085103,0.21218243312100799,0.6527045225002805,0.5423896347769667,0.1333784125518136,0.21402769527704474,0.6526119532007474
11,LogisticRegression,StandardScaler,BalancedKFold,0.4823015873015873,0.12079161679780874,0.19142914814000764,0.6476595744680852,0.5849841304476449,0.14205698286979573,0.22791521807813092,0.6660800426103215
12,LogisticRegression,RobustScaler,KFold,0.5037440337440338,0.12107004773804306,0.1934143036979133,0.6444001795533609,0.5558485767007095,0.13610496988033663,0.21835317974480822,0.6549397443717384
13,LogisticRegression,RobustScaler,StratifiedKFold,0.543513986013986,0.13284574468085103,0.21253310524257435,0.653450791156997,0.5456170494819415,0.13314367076777606,0.21395903901189187,0.6531107063179544
14,LogisticRegression,RobustScaler,BalancedKFold,0.5192857142857144,0.10231900935461309,0.1693475726356773,0.651926091825308,0.5842158390966706,0.1137422346976211,0.19012999710127157,0.6631497593560131
15,SGDClassifier,None,KFold,0.42219116588920214,0.4817554555192185,0.324588204280768,0.5411064975872517,0.48740084106177023,0.4827286413584636,0.3419906791513747,0.5484962717997022
16,SGDClassifier,None,StratifiedKFold,0.4207977386100777,0.2765514184397163,0.20354842382636792,0.5867803837953092,0.38557768923126157,0.27915745841167217,0.20244206923482025,0.5821762841924584
17,SGDClassifier,None,BalancedKFold,0.4172727272727272,0.1469096394947788,0.17805173389536133,0.6487681970884658,0.48363200749567536,0.1524757523057826,0.17967743347676893,0.6417089704061434
18,SGDClassifier,MinMaxScaler,KFold,0.45177711930116643,0.5397159758339508,0.38068320903504516,0.5314050050499383,0.4513897761594202,0.5432800457459216,0.3946997375896193,0.5422514152776683
19,SGDClassifier,MinMaxScaler,StratifiedKFold,0.46977878427610253,0.4205673758865248,0.33491325479334544,0.5586578386264168,0.47376349408719315,0.4300749854317161,0.35142895878162983,0.5674201213549598
20,SGDClassifier,MinMaxScaler,BalancedKFold,0.48407585614891124,0.2757205864829704,0.27214249016768555,0.6108398656215006,0.5090298370205113,0.2964321696890886,0.29697693831685473,0.6238779785355997
21,SGDClassifier,Normalizer,KFold,0.5190393388652,0.35367045852580403,0.2380274651750402,0.5390921333183706,0.4868028626467608,0.3649101633354902,0.261879429886896,0.5680046279199396
22,SGDClassifier,Normalizer,StratifiedKFold,0.585814536340852,0.17367021276595743,0.17600337137379718,0.6159185276624395,0.5346852968741033,0.1729260810766237,0.17525782680212743,0.61985856213598
23,SGDClassifier,Normalizer,BalancedKFold,0.47774733878077347,0.3160462296607808,0.23669028689550928,0.5809630459126539,0.5344397927267386,0.317682800921751,0.24387759807020898,0.5901463631596432
24,SGDClassifier,StandardScaler,KFold,0.46151959500741907,0.3411257756691193,0.2265379998577834,0.5547020536415667,0.4490849522799153,0.35120987979457674,0.24596337182378475,0.563451742247266
25,SGDClassifier,StandardScaler,StratifiedKFold,0.43521062099413876,0.6272606382978724,0.373006030739364,0.4746324767141735,0.45037643935989424,0.6262602940044639,0.37878544394847197,0.4834393494909427
26,SGDClassifier,StandardScaler,BalancedKFold,0.4023768115772711,0.3920748903469492,0.3118137333242348,0.5926875699888018,0.5240045903916658,0.41913463119815975,0.33638716835379673,0.5796036032078543
27,SGDClassifier,RobustScaler,KFold,0.5077149942645982,0.34977561327561324,0.24834389685137373,0.5651498148355965,0.5150223203478106,0.37848971342745424,0.27705106929465434,0.5770002337473011
28,SGDClassifier,RobustScaler,StratifiedKFold,0.3700131212071511,0.3696808510638298,0.26397019532096755,0.5608854225115026,0.3948565599214898,0.3761602401293004,0.27579153800787176,0.5645058180948073
29,SGDClassifier,RobustScaler,BalancedKFold,0.3788764451820102,0.4705789930789931,0.29041445508333463,0.5156326987681972,0.45918830545048744,0.47289590376740237,0.3089339741104734,0.537745688862288
30,RidgeClassifier,None,KFold,0.5608333333333334,0.06302115224305063,0.11202915577839359,0.6511558747615306,0.5753168632567587,0.06597469635038083,0.11817032451039707,0.6516127180661767
31,RidgeClassifier,None,StratifiedKFold,0.5880555555555556,0.0697695035460993,0.123713624518286,0.6534564021995286,0.5767474052862251,0.06634066695253486,0.11893002334537772,0.651530284106705
32,RidgeClassifier,None,BalancedKFold,0.6066666666666667,0.06544458928940353,0.11693739663019465,0.657144456886898,0.5756491631286433,0.07307138754857309,0.12956390648224989,0.6585790336352478
33,RidgeClassifier,MinMaxScaler,KFold,0.5223989898989899,0.11473652983475773,0.18605511110511125,0.6466445965660419,0.5661805932926465,0.1297569128558334,0.21081129803027507,0.6560205835937057
34,RidgeClassifier,MinMaxScaler,StratifiedKFold,0.5502308802308802,0.09725177304964538,0.16448430705253633,0.6579508472674223,0.533919526418271,0.10007971325219074,0.16840068003449565,0.6564371793754659
35,RidgeClassifier,MinMaxScaler,BalancedKFold,0.46611111111111103,0.0998543133605053,0.16314676807638004,0.6465845464725645,0.5811462077170946,0.1211026763632775,0.19977120545410845,0.6635015965143
36,RidgeClassifier,Normalizer,KFold,0.5513919413919414,0.06900751473512942,0.11769973025619702,0.6444057905958929,0.5527885397720994,0.07645144493196497,0.13327657003729237,0.6502822256615809
37,RidgeClassifier,Normalizer,StratifiedKFold,0.5379761904761905,0.07384751773049646,0.12878002254250867,0.6467063180338907,0.5520982060049965,0.07782047476113511,0.1361768060321163,0.6503656969611468
38,RidgeClassifier,Normalizer,BalancedKFold,0.5691414141414142,0.07358658408581008,0.12671958704547348,0.6529115341545352,0.5239009472239285,0.07457003001127017,0.13020281065220238,0.6547108840268951
39,RidgeClassifier,StandardScaler,KFold,0.584128787878788,0.11368039711664621,0.18802409571895784,0.6549040511727079,0.5950205834859601,0.11894827004316452,0.1979420916414794,0.6588481652219976
40,RidgeClassifier,StandardScaler,StratifiedKFold,0.5730586080586081,0.11812943262411346,0.19397252578147423,0.6571877454831108,0.5876121052280914,0.11884476256445778,0.1975735042332533,0.6578512813916402
41,RidgeClassifier,StandardScaler,BalancedKFold,0.4992640692640692,0.09697473287837065,0.16062178765038232,0.6508062709966406,0.5566342043740717,0.0989802926333189,0.1678149373150088,0.6588137747747995
42,RidgeClassifier,RobustScaler,KFold,0.5814898989898991,0.11368039711664621,0.18810003278231974,0.6549040511727079,0.5919222747681478,0.1170776659742212,0.19520103975573672,0.6582660099612311
43,RidgeClassifier,RobustScaler,StratifiedKFold,0.5544230769230769,0.11604609929078014,0.19073513626914224,0.6542082818987767,0.5854436235241146,0.11837637848951632,0.1968623694551822,0.6575186410014895
44,RidgeClassifier,RobustScaler,BalancedKFold,0.5027380952380952,0.10338113928477706,0.16972946102276157,0.652922732362822,0.5610929629646764,0.10066450675090163,0.17040349509377656,0.6593998039705571
45,RandomForestClassifier,None,KFold,0.5412639553429026,0.12251458958762149,0.1961606512169467,0.6496521153630346,1.0,1.0,1.0,1.0
46,RandomForestClassifier,None,StratifiedKFold,0.4815501165501166,0.12256205673758865,0.19272611517830962,0.6392211872965998,1.0,1.0,1.0,1.0
47,RandomForestClassifier,None,BalancedKFold,0.47989898989898994,0.11303400707618974,0.18042008850073593,0.6487458006718925,1.0,1.0,1.0,1.0
48,RandomForestClassifier,MinMaxScaler,KFold,0.5444024834814308,0.12529236736539925,0.1994037849860883,0.6496577264055661,1.0,1.0,1.0,1.0
49,RandomForestClassifier,MinMaxScaler,StratifiedKFold,0.48986758339699515,0.12890070921985813,0.2021652609928865,0.6414543822242172,1.0,1.0,1.0,1.0
50,RandomForestClassifier,MinMaxScaler,BalancedKFold,0.47333333333333333,0.11303400707618974,0.17961590679298717,0.6476819708846584,1.0,1.0,1.0,1.0
51,RandomForestClassifier,Normalizer,KFold,0.5080065359477125,0.14242217495031523,0.2174643748659025,0.6406912804399058,1.0,1.0,1.0,1.0
52,RandomForestClassifier,Normalizer,StratifiedKFold,0.49851892405839776,0.1582003546099291,0.23577883191851826,0.640708113567501,1.0,1.0,1.0,1.0
53,RandomForestClassifier,Normalizer,BalancedKFold,0.47750233426704014,0.1615886176896239,0.23433475582040963,0.6402911534154535,1.0,1.0,1.0,1.0
54,RandomForestClassifier,StandardScaler,KFold,0.5357161697951172,0.12242002693986738,0.19537555622589994,0.6489170687913814,1.0,1.0,1.0,1.0
55,RandomForestClassifier,StandardScaler,StratifiedKFold,0.4811229946524064,0.12677304964539007,0.19869275315516569,0.6399562338682527,1.0,1.0,1.0,1.0
56,RandomForestClassifier,StandardScaler,BalancedKFold,0.4611111111111111,0.1100037040458867,0.17462530518539937,0.6466293393057111,1.0,1.0,1.0,1.0
57,RandomForestClassifier,RobustScaler,KFold,0.5168467059256533,0.120553805273896,0.19151878536140762,0.6459151610369207,1.0,1.0,1.0,1.0
58,RandomForestClassifier,RobustScaler,StratifiedKFold,0.47982850482850486,0.12256205673758865,0.19264607502378642,0.6392211872965998,1.0,1.0,1.0,1.0
59,RandomForestClassifier,RobustScaler,BalancedKFold,0.4694444444444444,0.11040242812882133,0.17564944656496356,0.6455879059350503,1.0,1.0,1.0,1.0
60,KNeighborsClassifier,None,KFold,0.4346864730735699,0.2937363689606648,0.34732082915343604,0.6137582762877343,1.0,1.0,1.0,1.0
61,KNeighborsClassifier,None,StratifiedKFold,0.430626108567285,0.30593971631205674,0.35668270128432733,0.6085231736056559,0.6907662561187113,0.5025832591175469,0.5817867403817484,0.7436801783671714
62,KNeighborsClassifier,None,BalancedKFold,0.5318553668553669,0.1523065118188957,0.23375695752817674,0.6561366181410975,0.7503674643565704,0.22878656989634302,0.35035407535365093,0.7049924361188367
63,KNeighborsClassifier,MinMaxScaler,KFold,0.48333908867190606,0.10820122292406573,0.17240137694563845,0.638441252384693,0.69679740412629,0.1667509496614862,0.2687112422351021,0.6787258144157079
64,KNeighborsClassifier,MinMaxScaler,StratifiedKFold,0.4310997988939166,0.09277482269503547,0.15064112377594716,0.6317528896869038,0.7039826473681399,0.17182438895669094,0.27616644993518635,0.6805557514975733
65,KNeighborsClassifier,MinMaxScaler,BalancedKFold,0.4699633699633699,0.10886255599297394,0.17078640485797808,0.6423852183650616,0.6159592999202907,0.14189465907630955,0.23020714943395762,0.6706513174331674
66,KNeighborsClassifier,Normalizer,KFold,0.4185526523566584,0.23648830269871796,0.29866236709666666,0.6122657389743014,1.0,1.0,1.0,1.0
67,KNeighborsClassifier,Normalizer,StratifiedKFold,0.41248168498168497,0.08856382978723405,0.1433999196492605,0.6273033329592639,0.6716676575046929,0.16994920341722466,0.2712070245157841,0.6759806667468876
68,KNeighborsClassifier,Normalizer,BalancedKFold,0.4284065800906607,0.3121016741914574,0.35689198209412953,0.6202911534154534,1.0,1.0,1.0,1.0
69,KNeighborsClassifier,StandardScaler,KFold,0.44146553352048706,0.14850504169495243,0.22000484559579495,0.6309673437324654,0.667545126223263,0.2321246549651154,0.3440532628927736,0.6866268189758549
70,KNeighborsClassifier,StandardScaler,StratifiedKFold,0.4039812321328685,0.27238475177304966,0.32159230133246364,0.5973403658399731,1.0,1.0,1.0,1.0
