,inFeatures,outFeature,combinationStrategy,postProcessing
0,['RIDAGEYR'],AGE,firstNonNullCombine,const
1,['RIAGENDR'],GENDER,firstNonNullCombine,const
2,['RIDRETH1'],Race,firstNonNullCombine,const
3,['LBXTC'],Total_Chol,firstNonNullCombine,meanMissingReplacement
4,['LBDLDL'],LDL,firstNonNullCombine,meanMissingReplacement
5,['LBDHDD'],HDL,firstNonNullCombine,meanMissingReplacement
6,['LBXGLU'],FBG,firstNonNullCombine,meanMissingReplacement
7,['LBXTR'],TG,firstNonNullCombine,meanMissingReplacement
8,['DIQ010'],DOCTOR_TOLD_HAVE_DIABETES,firstNonNullCombine,standardYesNoProcessor
9,['DIQ160'],TOLD_HAVE_PREDIABETES,firstNonNullCombine,standardYesNoProcessor
10,['DIQ170'],TOLD_AT_RISK_OF_DIABETES,firstNonNullCombine,standardYesNoProcessor
11,['DIQ200A'],CONTROLLING_WEIGHT,firstNonNullCombine,standardYesNoProcessor
12,['DIQ050'],NOW_TAKING_INSULIN,firstNonNullCombine,standardYesNoProcessor
13,['BPQ020'],HIGH_BLOOD_PRESSURE,firstNonNullCombine,standardYesNoProcessor
14,['BPQ030'],HIGH_BLOOD_PRESSURE_TWO_OR_MORE,firstNonNullCombine,standardYesNoProcessor
15,['BPQ052'],TOLD_HAVE_PREHYPERTENSION,firstNonNullCombine,standardYesNoProcessor
16,['BPQ057'],TOLD_BORDERLINE_HYPERTENSION,firstNonNullCombine,standardYesNoProcessor
17,['BPQ050A'],TAKEN_DRUGS_FOR_HYPERTEN,firstNonNullCombine,standardYesNoProcessor
18,['BPQ080'],TOLD_HAVE_HIGH_CHOL,firstNonNullCombine,standardYesNoProcessor
19,['BPQ090A'],TOLD_EAT_LESS_FAT_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
20,['BPQ090B'],TOLD_REDUCE_WEIGHT_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
21,['BPQ090C'],TOLD_EXERCISE_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
22,['BPQ090D'],TOLD_PRESCRIPTION_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
23,['BPQ100A'],NOW_EATING_LESS_FAT_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
24,['BPQ100B'],NOW_CONTROLLING_WEIGHT_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
25,['BPQ100C'],NOW_INCREASING_EXERCISE_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
26,['BPQ100D'],NOW_TAKING_PRESCRIPTION_FOR_CHOL,firstNonNullCombine,standardYesNoProcessor
27,['CDQ001'],CHEST_PAIN,firstNonNullCombine,standardYesNoProcessor
28,['BMXBMI'],BMI,firstNonNullCombine,meanMissingReplacement
29,['BMXWAIST'],WC,firstNonNullCombine,meanMissingReplacement
30,['BMXHT'],HEIGHT,firstNonNullCombine,meanMissingReplacement
31,['BMXWT'],WEIGHT,firstNonNullCombine,meanMissingReplacement
32,['BMXARMC'],ARM_CIRCUMFERENCE,firstNonNullCombine,meanMissingReplacement
33,"['BPXSY1', 'BPXSY2', 'BPXSY3', 'BPXSY4']",SYSTOLIC,meanCombine,meanMissingReplacement
34,"['BPXDI1', 'BPXDI2', 'BPXDI3', 'BPXDI4']",DIASTOLIC,meanCombine,meanMissingReplacement
35,['SMQ020'],SMOKED_AT_LEAST_100_IN_LIFE,firstNonNullCombine,standardYesNoProcessor
36,['SMQ040'],CURRENTLY_SMOKES,firstNonNullCombine,standardYesNoProcessor
37,['DBQ700'],HOW_HEALTHY_IS_DIET,firstNonNullCombine,highestValueNullReplacer
38,['LBXHGB'],HEMOGOBLIN,firstNonNullCombine,meanMissingReplacement
39,['LBXGH'],GLYCOHEMOGLOBIN,firstNonNullCombine,meanMissingReplacement
40,['LBXSBU'],BLOOD_UREA_NITROGEN,firstNonNullCombine,meanMissingReplacement
41,['LBXSCR'],CREATINE,firstNonNullCombine,meanMissingReplacement
