,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.5021361263070189,0.09379864030390567,0.15724080864422496,0.6657836644591612,0.5420122182606315,0.09791292346600455,0.16566280447943485,0.6708609271523179
1,LogisticRegression,None,StratifiedKFold,0.5208426950915708,0.09112931334959916,0.15407225309643613,0.6664459161147903,0.5389847672110643,0.09569813930788848,0.16246239553086245,0.6704439538876625
2,LogisticRegression,MinMaxScaler,KFold,0.5050755172256187,0.08252449055491189,0.141251961176287,0.6660044150110376,0.5327347266761691,0.08624749443255235,0.14827288666714608,0.669364728967378
3,LogisticRegression,MinMaxScaler,StratifiedKFold,0.5260075608953588,0.09178285116765424,0.15536206800900182,0.6675496688741722,0.5324907465132449,0.0925418793087288,0.1575940843494738,0.6695854795192544
4,LogisticRegression,Normalizer,KFold,0.49935077584095816,0.0947526674120894,0.15857078656313078,0.6657836644591612,0.5449898059104361,0.10461042091422461,0.17537133874996474,0.6714741231297523
5,LogisticRegression,Normalizer,StratifiedKFold,0.5173462196302722,0.07725252701289648,0.13306428277352716,0.6655629139072847,0.5207115035846619,0.07991926335079717,0.13849613657465193,0.6679421142997302
6,LogisticRegression,StandardScaler,KFold,0.5165547477797199,0.09387414249556561,0.15820941344211603,0.6677704194260486,0.547742073126072,0.09511777577811129,0.1619113354552016,0.6713514839342654
7,LogisticRegression,StandardScaler,StratifiedKFold,0.5277950083542189,0.08781805507145349,0.14962654004624582,0.6675496688741722,0.5422710859172016,0.09026726912108665,0.15465772199309588,0.6704930095658572
8,LogisticRegression,RobustScaler,KFold,0.5211445773933041,0.08628224623577961,0.1473137233838548,0.6677704194260486,0.5523506827564431,0.09225646290452302,0.15792376589903978,0.6716458180034339
9,LogisticRegression,RobustScaler,StratifiedKFold,0.5300687543133196,0.08716016033461137,0.14874020715326394,0.6675496688741722,0.5465632342597794,0.09158799314374118,0.15678754320148577,0.6710080941869021
10,SGDClassifier,None,KFold,0.46992912277829524,0.2787193537932934,0.20675877790417752,0.6143487858719647,0.45809119050948466,0.2813145886868041,0.21440893536091443,0.6093941623742948
11,SGDClassifier,None,StratifiedKFold,0.5357277237131628,0.369584349947717,0.29425723773347834,0.5880794701986755,0.4315591823385363,0.37115954160889375,0.2983798737983574,0.5928869266617611
12,SGDClassifier,MinMaxScaler,KFold,0.4621997183517809,0.3742227628277045,0.2529313336411857,0.5646799116997794,0.46239538885584686,0.39610215842052876,0.27437743371900647,0.5758155506499877
13,SGDClassifier,MinMaxScaler,StratifiedKFold,0.5040205963338412,0.28004095503659815,0.21953938663991018,0.6086092715231788,0.4904820394026984,0.2862174545869815,0.22922425282512998,0.6105960264900662
14,SGDClassifier,Normalizer,KFold,0.4131246756945915,0.30165158315262713,0.16566974840242016,0.5613686534216334,0.410747671250021,0.3073463236351005,0.17956203492092215,0.5798871719401519
15,SGDClassifier,Normalizer,StratifiedKFold,0.3225655806182122,0.22187173231090976,0.14242780012223683,0.6037527593818984,0.4176705678495223,0.22376786112520644,0.14789169891296827,0.6065489330389993
16,SGDClassifier,StandardScaler,KFold,0.42957850629670896,0.49820536815855904,0.33488150972765374,0.5496688741721856,0.44792168484711936,0.5049200301557544,0.33641572246288387,0.5477557027225901
17,SGDClassifier,StandardScaler,StratifiedKFold,0.4857620503831514,0.35972028581387244,0.25261026940565795,0.5801324503311258,0.49118901961539746,0.37225860075867023,0.2609000109402215,0.5824625950453763
18,SGDClassifier,RobustScaler,KFold,0.4637221761750707,0.31629046858767634,0.2049785128112985,0.5938189845474613,0.48825806370497266,0.3159096151567834,0.19549525567252365,0.575962717684572
19,SGDClassifier,RobustScaler,StratifiedKFold,0.4574734403596633,0.38624085047054724,0.2684273982546639,0.5682119205298013,0.4598069690417151,0.3889134704369626,0.27176554210576526,0.5741476575913662
20,RidgeClassifier,None,KFold,0.5050293939806323,0.04774890173260633,0.08612285357408564,0.6635761589403973,0.5073437536169403,0.05118881543790116,0.09289509667498627,0.6663723325974981
21,RidgeClassifier,None,StratifiedKFold,0.5288102039086628,0.08122603694667133,0.1398711089330325,0.6671081677704195,0.5517716113826101,0.08821254617793736,0.1520336222010183,0.6713514839342655
22,RidgeClassifier,MinMaxScaler,KFold,0.5102342885872297,0.06607604090607071,0.11619716248159281,0.665783664459161,0.4949528255098638,0.06569534894019201,0.11572941035859693,0.6653421633554084
23,RidgeClassifier,MinMaxScaler,StratifiedKFold,0.535726854844502,0.08122168002788428,0.13964959856926917,0.6673289183222959,0.5397605313284922,0.08278151438855509,0.14346650361231394,0.6699288692666175
24,RidgeClassifier,Normalizer,KFold,0.5280054812274306,0.07184511242029704,0.12536432561656397,0.6675496688741721,0.5425680726038631,0.07523933852653468,0.13197198238557276,0.6697817022320333
25,RidgeClassifier,Normalizer,StratifiedKFold,0.54419566707802,0.07329644475426979,0.12796750024725925,0.6675496688741722,0.5433848707474352,0.07955215615549616,0.13872361760677862,0.6701005641402993
