,drop,replacement,scaling,selection,model,precision,recall,f1,accuracy,auc_roc,tn,fp,fn,tp,params,pipeline,samplers,kus
0,FunctionTransformer(),SimpleImputer(),StandardScaler(),FunctionTransformer(),KNeighborsClassifier(),0.5736434108527132,0.1436893203883495,0.2298136645962733,0.848132271892223,0.5618482952359778,2696,55,441,74,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', StandardScaler()), ('selection', FunctionTransformer()), ('model', KNeighborsClassifier())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer(), 'model': KNeighborsClassifier(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__copy': True, 'scaling__with_mean': True, 'scaling__with_std': True, 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__metric_params': None, 'model__n_jobs': None, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",noSampling,,
1,FunctionTransformer(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),KNeighborsClassifier(),0.5583333333333333,0.13009708737864079,0.2110236220472441,0.846601347213717,0.5554156829114215,2698,53,448,67,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', MinMaxScaler()), ('selection', FunctionTransformer()), ('model', KNeighborsClassifier())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer(), 'model': KNeighborsClassifier(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__clip': False, 'scaling__copy': True, 'scaling__feature_range': (0, 1), 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__metric_params': None, 'model__n_jobs': None, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",noSampling,,
2,FunctionTransformer(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),RandomForestClassifier(random_state=42),0.9916666666666667,0.9242718446601942,0.9567839195979899,0.98683404776485,0.961408913969501,2747,4,39,476,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', MinMaxScaler()), ('selection', FunctionTransformer()), ('model', RandomForestClassifier(random_state=42))], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer(), 'model': RandomForestClassifier(random_state=42), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__clip': False, 'scaling__copy': True, 'scaling__feature_range': (0, 1), 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': None, 'model__max_samples': None, 'model__min_impurity_decrease': 0.0, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__min_weight_fraction_leaf': 0.0, 'model__n_estimators': 100, 'model__n_jobs': None, 'model__oob_score': False, 'model__random_state': 42, 'model__verbose': 0, 'model__warm_start': False}",noSampling,,
3,FunctionTransformer(),SimpleImputer(),StandardScaler(),FunctionTransformer(),RandomForestClassifier(random_state=42),0.9916666666666667,0.9242718446601942,0.9567839195979899,0.98683404776485,0.961408913969501,2747,4,39,476,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', StandardScaler()), ('selection', FunctionTransformer()), ('model', RandomForestClassifier(random_state=42))], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer(), 'model': RandomForestClassifier(random_state=42), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__copy': True, 'scaling__with_mean': True, 'scaling__with_std': True, 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': None, 'model__max_samples': None, 'model__min_impurity_decrease': 0.0, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__min_weight_fraction_leaf': 0.0, 'model__n_estimators': 100, 'model__n_jobs': None, 'model__oob_score': False, 'model__random_state': 42, 'model__verbose': 0, 'model__warm_start': False}",noSampling,,
4,FunctionTransformer(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),LogisticRegression(),0.0,0.0,0.0,0.8423147581139008,0.5,2751,0,515,0,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', MinMaxScaler()), ('selection', FunctionTransformer()), ('model', LogisticRegression())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer(), 'model': LogisticRegression(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__clip': False, 'scaling__copy': True, 'scaling__feature_range': (0, 1), 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'model__C': 1.0, 'model__class_weight': None, 'model__dual': False, 'model__fit_intercept': True, 'model__intercept_scaling': 1, 'model__l1_ratio': None, 'model__max_iter': 100, 'model__multi_class': 'auto', 'model__n_jobs': None, 'model__penalty': 'l2', 'model__random_state': None, 'model__solver': 'lbfgs', 'model__tol': 0.0001, 'model__verbose': 0, 'model__warm_start': False}",noSampling,,
5,FunctionTransformer(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),LogisticRegression(),0.17036124794745483,0.8058252427184466,0.28126058963063366,0.3505817513778322,0.5355916471680201,730,2021,100,415,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', MinMaxScaler()), ('selection', FunctionTransformer()), ('samplers', SMOTEENN()), ('model', LogisticRegression())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer(), 'samplers': SMOTEENN(), 'model': LogisticRegression(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__clip': False, 'scaling__copy': True, 'scaling__feature_range': (0, 1), 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'samplers__enn': None, 'samplers__n_jobs': None, 'samplers__random_state': None, 'samplers__sampling_strategy': 'auto', 'samplers__smote': None, 'model__C': 1.0, 'model__class_weight': None, 'model__dual': False, 'model__fit_intercept': True, 'model__intercept_scaling': 1, 'model__l1_ratio': None, 'model__max_iter': 100, 'model__multi_class': 'auto', 'model__n_jobs': None, 'model__penalty': 'l2', 'model__random_state': None, 'model__solver': 'lbfgs', 'model__tol': 0.0001, 'model__verbose': 0, 'model__warm_start': False}",withSampling,SMOTEENN(),
6,FunctionTransformer(),SimpleImputer(),StandardScaler(),FunctionTransformer(),LogisticRegression(),0.180622009569378,0.5864077669902913,0.2761774119798811,0.5153092467850582,0.5442035199909653,1381,1370,213,302,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', StandardScaler()), ('selection', FunctionTransformer()), ('samplers', SMOTEENN()), ('model', LogisticRegression())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer(), 'samplers': SMOTEENN(), 'model': LogisticRegression(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__copy': True, 'scaling__with_mean': True, 'scaling__with_std': True, 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'samplers__enn': None, 'samplers__n_jobs': None, 'samplers__random_state': None, 'samplers__sampling_strategy': 'auto', 'samplers__smote': None, 'model__C': 1.0, 'model__class_weight': None, 'model__dual': False, 'model__fit_intercept': True, 'model__intercept_scaling': 1, 'model__l1_ratio': None, 'model__max_iter': 100, 'model__multi_class': 'auto', 'model__n_jobs': None, 'model__penalty': 'l2', 'model__random_state': None, 'model__solver': 'lbfgs', 'model__tol': 0.0001, 'model__verbose': 0, 'model__warm_start': False}",withSampling,SMOTEENN(),
7,FunctionTransformer(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),KNeighborsClassifier(),0.1869881710646042,0.7980582524271844,0.3029856247696277,0.42100428658909983,0.5742381411172637,964,1787,104,411,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', MinMaxScaler()), ('selection', FunctionTransformer()), ('samplers', ClusterCentroids()), ('model', KNeighborsClassifier())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer(), 'samplers': ClusterCentroids(), 'model': KNeighborsClassifier(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__clip': False, 'scaling__copy': True, 'scaling__feature_range': (0, 1), 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'samplers__estimator': None, 'samplers__n_jobs': 'deprecated', 'samplers__random_state': None, 'samplers__sampling_strategy': 'auto', 'samplers__voting': 'auto', 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__metric_params': None, 'model__n_jobs': None, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",withSampling,ClusterCentroids(),
8,FunctionTransformer(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),KNeighborsClassifier(),0.2737940026075619,0.8155339805825242,0.40995607613469986,0.6298224127372933,0.7052951618652352,1637,1114,95,420,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', MinMaxScaler()), ('selection', FunctionTransformer()), ('samplers', SMOTEENN()), ('model', KNeighborsClassifier())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer(), 'samplers': SMOTEENN(), 'model': KNeighborsClassifier(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__clip': False, 'scaling__copy': True, 'scaling__feature_range': (0, 1), 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'samplers__enn': None, 'samplers__n_jobs': None, 'samplers__random_state': None, 'samplers__sampling_strategy': 'auto', 'samplers__smote': None, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__metric_params': None, 'model__n_jobs': None, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",withSampling,SMOTEENN(),
9,FunctionTransformer(),SimpleImputer(),StandardScaler(),FunctionTransformer(),KNeighborsClassifier(),0.19222271321254972,0.8446601941747572,0.31317494600431967,0.41579914268218005,0.5900872762949395,923,1828,80,435,"{'memory': None, 'steps': [('drop', FunctionTransformer()), ('replacement', SimpleImputer()), ('scaling', StandardScaler()), ('selection', FunctionTransformer()), ('samplers', ClusterCentroids()), ('model', KNeighborsClassifier())], 'verbose': False, 'drop': FunctionTransformer(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer(), 'samplers': ClusterCentroids(), 'model': KNeighborsClassifier(), 'drop__accept_sparse': False, 'drop__check_inverse': True, 'drop__feature_names_out': None, 'drop__func': None, 'drop__inv_kw_args': None, 'drop__inverse_func': None, 'drop__kw_args': None, 'drop__validate': False, 'replacement__add_indicator': False, 'replacement__copy': True, 'replacement__fill_value': None, 'replacement__missing_values': nan, 'replacement__strategy': 'mean', 'replacement__verbose': 'deprecated', 'scaling__copy': True, 'scaling__with_mean': True, 'scaling__with_std': True, 'selection__accept_sparse': False, 'selection__check_inverse': True, 'selection__feature_names_out': None, 'selection__func': None, 'selection__inv_kw_args': None, 'selection__inverse_func': None, 'selection__kw_args': None, 'selection__validate': False, 'samplers__estimator': None, 'samplers__n_jobs': 'deprecated', 'samplers__random_state': None, 'samplers__sampling_strategy': 'auto', 'samplers__voting': 'auto', 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__metric_params': None, 'model__n_jobs': None, 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",withSampling,ClusterCentroids(),
