,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.9764795935642929,0.0,0.0,0.0,0.9764673901488576,Normal,StratifiedKFold
1,SGDClassifier,0.026272785565474455,0.08867818224292644,0.01984858850704109,0.9184087105236387,0.04920402452818955,0.09346622369878185,0.02779141549527417,0.9188352604930735,Normal,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,Normal,StratifiedKFold
3,RandomForestClassifier,1.0,0.9942360280881122,0.9971080250592154,0.999865283877926,0.0,0.0,0.0,0.9764674205217455,Normal,StratifiedKFold
4,KNeighborsClassifier,0.5031349206349207,0.007861648184029353,0.015465502750650043,0.9766326811574828,0.0,0.0,0.0,0.9761918473094177,Normal,StratifiedKFold
5,MLPClassifier,0.4068152235427278,0.007333965453271221,0.014038331270178136,0.9764551028941497,0.0125,0.002325581395348837,0.003921568627450981,0.9758060205138486,Normal,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,Normal,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9760222461625027,0.0,0.0,0.0,0.9752661064425772,Normal,BalancedKFold
1,SGDClassifier,0.0,0.0,0.0,0.9754983428598877,0.0,0.0,0.0,0.9752521008403361,Normal,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9764154309593571,0.0,0.0,0.0,0.9764425770308124,Normal,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9764425770308124,Normal,BalancedKFold
4,KNeighborsClassifier,1.0,1.0,1.0,1.0,0.2,0.075,0.10666666666666666,0.9752521008403363,Normal,BalancedKFold
5,MLPClassifier,0.8777777777777777,0.3001977984176126,0.4354494949494949,0.9824420344053852,0.0,0.0,0.0,0.9693417366946777,Normal,BalancedKFold
6,LinearSVC,0.0023591087811271295,0.1,0.0046094750320102434,0.8811336485216114,0.002352941176470588,0.1,0.004597701149425288,0.8811484593837535,Normal,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,MinMaxScaler,StratifiedKFold
1,SGDClassifier,0.0652236573276245,0.008126863723186434,0.012989023697802176,0.9745873890353807,0.04097222222222222,0.01168327796234773,0.017937213999028555,0.9749244474412361,MinMaxScaler,StratifiedKFold
