,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.3337256093951054,0.5155027560579437,0.4034016366334214,0.5455152904453006,0.346407504338133,0.5399126418284941,0.42187637792749977,0.5589625382863426
1,LogisticRegression,None,StratifiedKFold,0.3302690574680299,0.512568306010929,0.4010018864040486,0.5435277764229625,0.34650971514196016,0.535837869428418,0.42061319483058063,0.5598419310211503
2,LogisticRegression,None,BalancedKFold,0.31914145509606195,0.5884600330887579,0.4121629162060854,0.5100068870523418,0.3274115207743636,0.6143568184882663,0.4271015727709983,0.5175946058337789
3,LogisticRegression,MinMaxScaler,KFold,0.34903386603638514,0.48634016938288127,0.404027979594482,0.5732112373798957,0.34730650302622107,0.4845185239939599,0.40448713318401375,0.5747337928701315
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.3469320577024031,0.4778142076502732,0.4017434796605156,0.5761839730771106,0.3475412825333516,0.48535232037403253,0.40489153418177865,0.5746236309045545
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.3441983303208981,0.3007024804905763,0.31725582365672755,0.6242837465564739,0.3516337473992234,0.3044431823802324,0.32536132844472676,0.6323023652519286
6,LogisticRegression,Normalizer,KFold,0.3344154878450528,0.5254297457511521,0.4069108929847246,0.5435424084280349,0.34564917110145266,0.544963893687892,0.4228511070163473,0.556654272061089
7,LogisticRegression,Normalizer,StratifiedKFold,0.33678560038952676,0.5291256830601093,0.41030778865173484,0.5460200946202993,0.3487404211916819,0.54432019734562,0.42465595562233494,0.560390626415915
8,LogisticRegression,Normalizer,BalancedKFold,0.32227449304268213,0.4409439999929381,0.36543694239846236,0.5564531680440771,0.34677579785223817,0.4720656738263502,0.39816297857203525,0.5839251979530005
9,LogisticRegression,StandardScaler,KFold,0.33340183511203414,0.5136845742397619,0.402643749585985,0.5455152904453006,0.34645985341059593,0.5395476783248445,0.42179759004871187,0.5591273734511777
10,LogisticRegression,StandardScaler,StratifiedKFold,0.33620157204936935,0.5290983606557377,0.41055798771398894,0.5465102667902257,0.34526874437484373,0.5376896835266696,0.42026112920047626,0.5576434642872246
11,LogisticRegression,StandardScaler,BalancedKFold,0.30647729938906404,0.46661530201894647,0.3670309625108602,0.53150826446281,0.33796350291429633,0.5025439320405123,0.4037347089283311,0.5658704415646137
12,LogisticRegression,RobustScaler,KFold,0.33340183511203414,0.5136845742397619,0.402643749585985,0.5455152904453006,0.34645985341059593,0.5395476783248445,0.42179759004871187,0.5591273734511777
13,LogisticRegression,RobustScaler,StratifiedKFold,0.33231278120187735,0.6221038251366119,0.43269667296067205,0.5143564356435644,0.33556702269072336,0.6229968128410566,0.4361649809494052,0.5196731086395736
14,LogisticRegression,RobustScaler,BalancedKFold,0.3163639234188745,0.5600155682272948,0.40198051417234576,0.5141666666666667,0.32662422821011916,0.584828848619718,0.41898252003249664,0.5255195152379255
15,SGDClassifier,None,KFold,0.3163789524523109,0.29409090909090907,0.13869033631562208,0.5742598644100864,0.3414006381565229,0.28924938862021554,0.1434297285065486,0.5895063100725553
16,SGDClassifier,None,StratifiedKFold,0.25472601541849427,0.22169398907103824,0.17775397668092724,0.6282178217821783,0.2960700439914121,0.23498841342004578,0.18575712187873974,0.6284071069117798
17,SGDClassifier,None,BalancedKFold,0.2639207988980716,0.5626702130077974,0.296754237582169,0.48793388429752066,0.2771618258486235,0.5686245787763029,0.29940302096328303,0.4805201517427502
18,SGDClassifier,MinMaxScaler,KFold,0.19478623664566586,0.4043162546893468,0.22911564363088863,0.5445398234404721,0.32118481767647866,0.4198003508409209,0.23871183997068254,0.5505492391061385
19,SGDClassifier,MinMaxScaler,StratifiedKFold,0.10930809323593808,0.2442896174863388,0.1333940982112339,0.6077232600107301,0.13716806517757604,0.24722261863502615,0.1398036542399404,0.6102969268224903
20,SGDClassifier,MinMaxScaler,BalancedKFold,0.42791710572532493,0.15517200611707063,0.15931366847474915,0.6582920110192837,0.4108983214614187,0.1655454055573519,0.16722928474293947,0.6641842978503111
21,SGDClassifier,Normalizer,KFold,0.10286028602860287,0.20575757575757575,0.10257609013754757,0.618302199678096,0.20497342786786382,0.20581866844437915,0.10412615042937315,0.6217035383527962
