,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.5129128360746008,0.07817375900220272,0.13499132399001149,0.6671519086767554,0.5325519942570558,0.08211335907457826,0.14217135672648534,0.6689984874279586
1,LogisticRegression,None,StratifiedKFold,0.5376772966237532,0.09016457071883248,0.15336251761175382,0.6689384021923164,0.5397874769984969,0.09057785814049181,0.15499240336583134,0.6701483118962389
2,LogisticRegression,None,BalancedKFold,0.5630359020064903,0.10767422980290722,0.17780897769061405,0.6799169623016647,0.5763622277695569,0.10874070713332931,0.18277361318053997,0.6823363004011334
3,LogisticRegression,MinMaxScaler,KFold,0.5130808080808082,0.03554038636602848,0.06599971636218471,0.667446893927493,0.5680072404136856,0.03663993286358728,0.06878777725367655,0.6686372826351982
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.5981854256854258,0.037129327744139115,0.06975143850021182,0.6686416714667226,0.5707305540830966,0.0370367794642357,0.06951693070729784,0.6687358803234013
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.5377217553688143,0.08034040265378985,0.1380264630396519,0.6777026236793888,0.5725073239861375,0.0817171134763143,0.1427586147805878,0.6797326742709846
6,LogisticRegression,Normalizer,KFold,0.6026984126984127,0.037759217736392285,0.07089945147367435,0.6698137578328185,0.6110447796235786,0.039884310603272674,0.07483210610906584,0.6705093117042005
7,LogisticRegression,Normalizer,StratifiedKFold,0.6108333333333333,0.035367179009470576,0.06642032552167858,0.6686416714667226,0.6261014844185693,0.03713520447094869,0.07009215604795699,0.6706736771467842
8,LogisticRegression,Normalizer,BalancedKFold,0.6291666666666667,0.04098040222519862,0.07604091755928362,0.6786012241238158,0.6534328355183061,0.04416096261731584,0.08267146751439922,0.679732794948905
9,LogisticRegression,StandardScaler,KFold,0.4945557029177719,0.08928850506307437,0.15037788737373375,0.6656726187359271,0.5399349541222143,0.09628078781142194,0.1632724344469461,0.6704437273572712
10,LogisticRegression,StandardScaler,StratifiedKFold,0.5254267301326124,0.08751746623195156,0.1491583281673586,0.6680517009652476,0.5392926334477236,0.0893991728049485,0.15323801421723274,0.6700169597949289
11,LogisticRegression,StandardScaler,BalancedKFold,0.5393666953961072,0.10208733195985102,0.16927198538976634,0.6772601458032825,0.5834948105321377,0.10981018458071148,0.1845255684732247,0.6832695510298653
12,LogisticRegression,RobustScaler,KFold,0.5088421013852048,0.08052411191282728,0.13826783854944244,0.6671519086767556,0.5479504335396906,0.08409120628681968,0.14564205112726158,0.6706079093924034
13,LogisticRegression,RobustScaler,StratifiedKFold,0.5402648287235715,0.08663251047973916,0.1482232613108126,0.6686416714667225,0.5402051229772836,0.08880949207287508,0.1523869610635809,0.6701154172303749
14,LogisticRegression,RobustScaler,BalancedKFold,0.5630359020064903,0.10767422980290722,0.17780897769061405,0.6799169623016647,0.5778541695833275,0.10874070713332931,0.18284481115599696,0.6824836481418013
15,SGDClassifier,None,KFold,0.4137110412904031,0.32450934391902,0.24951375810808202,0.5755642247473425,0.399524545390657,0.3251971861060322,0.2590287164491757,0.5899388282205809
16,SGDClassifier,None,StratifiedKFold,0.462893604580126,0.2185840707964602,0.13515432663028698,0.5977369918486324,0.39001518949179115,0.21719056974459722,0.13234065900669856,0.5963107914786739
