,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.40214285714285714,0.04623090751727189,0.08075115620847328,0.6465061590145577,0.5078588352450917,0.06595402788908347,0.11635500545659647,0.657143291629225
1,LogisticRegression,None,StratifiedKFold,0.5033333333333333,0.03390151515151515,0.06142066637422675,0.6465845464725644,0.4774971463426471,0.047511571368460424,0.08613495633688537,0.6549081357572406
2,LogisticRegression,None,BalancedKFold,0.3847551425899954,0.5079185999186,0.4300561104945122,0.5399999999999998,0.43594751336028137,0.5741437257164999,0.49554251289591456,0.5936752136752137
3,LogisticRegression,MinMaxScaler,KFold,0.39660653046877026,0.5212726237011628,0.44755985915823737,0.5660358342665174,0.4070343829158799,0.5324051386035293,0.4609687128080123,0.5720142393032418
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.49333333333333335,0.027746212121212123,0.05120390826273179,0.6529339305711086,0.5630420706507663,0.03452124924026369,0.06463200912938086,0.6590235708854635
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.47984848484848486,0.06356939356939356,0.1012394470770444,0.6384615384615383,0.5374359566267165,0.06868877661927307,0.11929357910166674,0.6562393162393163
6,LogisticRegression,Normalizer,KFold,0.45,0.023777089783281736,0.044509121134768515,0.6550055991041434,0.5032494492839088,0.03512395457544733,0.06509585049397063,0.6569082740029032
7,LogisticRegression,Normalizer,StratifiedKFold,0.5141414141414141,0.0740530303030303,0.1242535972851945,0.6497536394176932,0.5657271252508985,0.0885303193230165,0.15209302962499527,0.6629027441764015
8,LogisticRegression,Normalizer,BalancedKFold,0.5606060606060606,0.0557960927960928,0.08476652976652975,0.6430769230769229,0.5823937170287429,0.05976620683835626,0.10414698985349316,0.6582905982905983
9,LogisticRegression,StandardScaler,KFold,0.4002380952380952,0.05115711121109061,0.08838726536400955,0.645464725643897,0.508075447390608,0.0779610983390798,0.13451180057124862,0.6570242621137761
10,LogisticRegression,StandardScaler,StratifiedKFold,0.485,0.05217803030303031,0.0912037183414515,0.6465845464725645,0.4595399455161556,0.05914605638412268,0.104379981736419,0.6527921476463676
11,LogisticRegression,StandardScaler,BalancedKFold,0.41194805194805195,0.055115181115181114,0.08907325305601169,0.6323076923076922,0.5353753261644001,0.07764177922677715,0.13357111234242908,0.6557264957264957
12,LogisticRegression,RobustScaler,KFold,0.4002380952380952,0.05115711121109061,0.08838726536400955,0.645464725643897,0.504965301188477,0.07726662040322255,0.13335469440474754,0.6567892444874542
13,LogisticRegression,RobustScaler,StratifiedKFold,0.48047619047619045,0.05823863636363637,0.09983279621734514,0.6476259798432251,0.5041648247979866,0.06631679835429427,0.11670794989795848,0.6566721504112809
14,LogisticRegression,RobustScaler,BalancedKFold,0.41194805194805195,0.055115181115181114,0.08907325305601169,0.6307692307692306,0.5377835751568026,0.08056733431977561,0.13781495831805055,0.6558974358974359
15,SGDClassifier,None,KFold,0.2990272139208309,0.45549330055909004,0.269195052088203,0.501926091825308,0.32765030265203976,0.4871799294102216,0.2958347715147732,0.5175301029930186
16,SGDClassifier,None,StratifiedKFold,0.3281154198766795,0.46875,0.29854553730340344,0.5248488241881298,0.4093512890997653,0.4665634204497639,0.3074985634044807,0.5348676297781157
17,SGDClassifier,None,BalancedKFold,0.39470607823549,0.33916646316646315,0.28409702071896925,0.5907692307692308,0.41491723827198007,0.32869395947918945,0.2556532419470518,0.5675213675213675
18,SGDClassifier,MinMaxScaler,KFold,0.3586090978590007,0.2894396302427155,0.24108641721691004,0.5894176931690929,0.46300018622512057,0.30275623443275307,0.26508234462273694,0.5916579802308701
19,SGDClassifier,MinMaxScaler,StratifiedKFold,0.3240805847917513,0.49640151515151515,0.3510321238247079,0.5279843225083987,0.4207128046440033,0.5106479966337837,0.3751080728436134,0.5408684592520909
20,SGDClassifier,MinMaxScaler,BalancedKFold,0.2923382441145599,0.4048433048433049,0.3064278220782286,0.5584615384615386,0.3373429536578614,0.41858660070074405,0.31402259637805907,0.5548717948717948
21,SGDClassifier,Normalizer,KFold,0.43742319508448546,0.2929092574137012,0.28286318989661513,0.5991489361702127,0.4525077487112628,0.314709108695301,0.29134131633435223,0.6042084744591139
22,SGDClassifier,Normalizer,StratifiedKFold,0.4041353671700816,0.4822916666666666,0.3071264765596161,0.5195856662933931,0.4609879056146231,0.4920321193136659,0.32267334169426426,0.52639206469897
23,SGDClassifier,Normalizer,BalancedKFold,0.36793959663524883,0.3591623931623932,0.2870854659213293,0.5630769230769231,0.4996801333063658,0.3789216920950334,0.3269191443928993,0.582905982905983
