,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.5029506556245688,0.09827984217353566,0.1635281512916445,0.6663713985662756,0.5475339737976026,0.10241682042294867,0.17240544996568888,0.6718481201483597
1,LogisticRegression,None,StratifiedKFold,0.5081507249556252,0.10737027503048369,0.17590681139113137,0.6663782475686041,0.5520907794834874,0.11707416112753895,0.1930539956907223,0.6732890762031485
2,LogisticRegression,None,BalancedKFold,0.49085934533302955,0.12659095300689135,0.20026233331491933,0.672179709553447,0.5709446102042947,0.15245221013815205,0.24040553000532944,0.6874486865871476
3,LogisticRegression,MinMaxScaler,KFold,0.5071675465057818,0.08536716008340246,0.14498563091118938,0.6663767255680867,0.5349174961364614,0.09480010415446868,0.16086522241917964,0.670008475769696
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.5222485504128507,0.10736350088063948,0.17717956972829035,0.6677571800374412,0.5489093809758819,0.11698258649885007,0.19271462277931972,0.6728597788440803
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.5391806722689076,0.10393385992055855,0.17346408641096717,0.6796194265891236,0.555761863358429,0.11289570304379706,0.18737908009022242,0.682631730740892
6,LogisticRegression,Normalizer,KFold,0.5176010860484545,0.07501963034623203,0.12987336050729714,0.6677541360364062,0.5372585735645633,0.0756282285675773,0.13238010740652137,0.6692112589357043
7,LogisticRegression,Normalizer,StratifiedKFold,0.5388781758317363,0.08257688660073162,0.14290607909397565,0.6691414395080895,0.5414012049625567,0.08697997489490401,0.149756442261622,0.6703456263956677
8,LogisticRegression,Normalizer,BalancedKFold,0.5375623885918004,0.11442670106299684,0.18784565160333155,0.6787878787878787,0.5559729930935096,0.12067005923133751,0.19807470400735958,0.683044637932559
9,LogisticRegression,StandardScaler,KFold,0.5190367807144123,0.10475648952934376,0.17336687234548678,0.6685813433176566,0.5548674616443738,0.10929868775514869,0.18242320244876606,0.6730437714843747
10,LogisticRegression,StandardScaler,StratifiedKFold,0.5253063630383291,0.10984961387345889,0.18057057543669328,0.669139917507572,0.5547997591517022,0.11588150057708024,0.19157727719376522,0.6735649711554968
11,LogisticRegression,StandardScaler,BalancedKFold,0.49382948922422604,0.11880526341618809,0.19082411603115249,0.6742458252559264,0.5634491929525469,0.13817958319128926,0.2216715961848025,0.685292407509547
12,LogisticRegression,RobustScaler,KFold,0.5149534368288226,0.10722387617358313,0.17626965641281162,0.66775185303563,0.562598321332539,0.11932110294814183,0.19671986659049706,0.6746685979689364
13,LogisticRegression,RobustScaler,StratifiedKFold,0.5286801866934594,0.10984961387345889,0.18086600140895537,0.6696916426951585,0.5522735867269885,0.11551444385472742,0.19091657214065594,0.6732277265214317
14,LogisticRegression,RobustScaler,BalancedKFold,0.489111202694794,0.1164351659476444,0.18705480708569247,0.6725946332006938,0.5667441195185251,0.13888836291824305,0.22283912884738513,0.6858429293801129
