,0
WTDRD1,0.054278064076099954
WTDR2D,0.05904564847501336
DR2DRSTZ,0.010456232075863778
DR2EXMER,0.013860716303828954
DRABF,
DRDINT,0.013991794634203754
DR2DBIH,0.0019026593493302853
DR2DAY,0.01565150523828395
DR2LANG,0.04040817436483638
DR2MNRSP,0.12323672726261213
DR2HELPD,0.07673189651430928
DR2TNUMF,0.018045065748692177
DR2TKCAL,0.05969690777240151
DR2TPROT,0.05136419014867035
DR2TCARB,0.059432157768347184
DR2TSUGR,0.046519254535065946
DR2TFIBE,0.03802292853149738
DR2TTFAT,0.03689079888489144
DR2TSFAT,0.03146557690177077
DR2TMFAT,0.03396783402082249
DR2TPFAT,0.03448888897430155
DR2TCHOL,0.012307462369831679
DR2TATOC,0.030270682577253853
DR2TATOA,0.005570626277035579
DR2TRET,0.007829840039366227
DR2TVARA,0.002700847439190468
DR2TACAR,0.011026718634313927
DR2TBCAR,0.015261615859545143
DR2TCRYP,0.005222833671567518
DR2TLYCO,0.01089004537512953
DR2TLZ,0.012118408541827424
DR2TVB1,0.03398094611377487
DR2TVB2,0.02655286943439481
DR2TNIAC,0.05055949997974845
DR2TVB6,0.04362524363884875
DR2TFOLA,0.039544371715717105
DR2TFA,0.02389472545353021
DR2TFF,0.03997107427147199
DR2TFDFE,0.03540103146348447
DR2TCHL,0.02070282754878853
DR2TVB12,0.001943442708664073
DR2TB12A,0.012493233638765618
DR2TVC,0.024195092010156894
DR2TVD,0.004857970499052325
DR2TVK,0.01182759183024924
DR2TCALC,0.05163363180806028
DR2TPHOS,0.05461218657703757
DR2TMAGN,0.0565545811536212
DR2TIRON,0.02220720142482345
DR2TZINC,0.02413346300597237
DR2TCOPP,0.02348740195178671
DR2TSODI,0.04228499213436732
DR2TPOTA,0.033230923831319724
DR2TSELE,0.041759870066688715
DR2TCAFF,0.006903980596468322
DR2TTHEO,0.00011073583563401022
DR2TALCO,0.029466330255205352
DR2TMOIS,0.06074513988528135
DR2TS040,0.027964742009144953
DR2TS060,0.022255236176293564
DR2TS080,0.023310719833957733
DR2TS100,0.026540810547624454
DR2TS120,0.012170562435397998
DR2TS140,0.03252137109439502
DR2TS160,0.031780300179079554
DR2TS180,0.023327886991339076
DR2TM161,0.026417938635501893
DR2TM181,0.03289243120376036
DR2TM201,0.012566304270094685
DR2TM221,0.0048662045045226535
DR2TP182,0.03500339966178617
DR2TP183,0.026521716265969466
DR2TP184,0.012026307364532987
DR2TP204,0.016807763385251463
DR2TP205,0.0022994329062570136
DR2TP225,0.008367205932050073
DR2TP226,0.0020593231776850234
DR2_300,0.019189929865152635
DR2_320Z,0.05384084699730572
DR2_330Z,0.0162676137551316
DR2BWATZ,0.052157257263410355
DR2TWS,0.021216920293572653
PEASCST1,0.0015502927227667236
PEASCTM1,0.030009473986434804
BPQ150A,0.014340363900748167
BPQ150B,0.002583686840723464
BPQ150C,0.007830527121803672
BPQ150D,0.003878618520280358
BPAARM,0.021354684833159315
BPACSZ,0.010122877499339197
BPXPLS,0.05036221950867275
BPXPULS,0.09805604103427308
BPXPTY,0.011419812038602243
BPXML1,0.11372470118505978
BPXSY1,0.12690737914925662
BPXDI1,0.07798435479253166
BPAEN1,0.0010082941970651074
BPXSY2,0.1147764028893964
BPXDI2,0.07280867395378321
