,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,NoneType,KFold,0.0,0.0,0.0,0.8142375974780155,0.0,0.0,0.0,0.8142563843101749
1,LogisticRegression,NoneType,StratifiedKFold,0.0,0.0,0.0,0.8142591670814667,0.0,0.0,0.0,0.8142566506004846
2,LogisticRegression,MinMaxScaler,KFold,0.0,0.0,0.0,0.8142375974780155,0.0,0.0,0.0,0.8142563843101749
3,LogisticRegression,MinMaxScaler,StratifiedKFold,0.0,0.0,0.0,0.8142591670814667,0.0,0.0,0.0,0.8142566506004846
4,LogisticRegression,Normalizer,KFold,0.0,0.0,0.0,0.8142375974780155,0.0,0.0,0.0,0.8142563843101749
5,LogisticRegression,Normalizer,StratifiedKFold,0.0,0.0,0.0,0.8142591670814667,0.0,0.0,0.0,0.8142566506004846
6,LogisticRegression,StandardScaler,KFold,0.0,0.0,0.0,0.8142375974780155,0.0,0.0,0.0,0.8142563843101749
7,LogisticRegression,StandardScaler,StratifiedKFold,0.0,0.0,0.0,0.8142591670814667,0.0,0.0,0.0,0.8142566506004846
8,LogisticRegression,RobustScaler,KFold,0.0,0.0,0.0,0.8142375974780155,0.0,0.0,0.0,0.8142563843101749
9,LogisticRegression,RobustScaler,StratifiedKFold,0.0,0.0,0.0,0.8142591670814667,0.0,0.0,0.0,0.8142566506004846
10,SGDClassifier,NoneType,KFold,0.10478072677645411,0.1903246753246753,0.10151174683899686,0.6894856479177036,0.150886712462643,0.215971622443696,0.1141645553893236,0.6992191139087525
11,SGDClassifier,NoneType,StratifiedKFold,0.131448809477221,0.4908212560386473,0.18177348000907415,0.5245578231292516,0.15122610172120318,0.4803002789151979,0.17251199233205108,0.5254676160257605
12,SGDClassifier,MinMaxScaler,KFold,0.09969144425850299,0.391439393939394,0.14834305309760554,0.5888153310104529,0.1049531336779919,0.3839543116059466,0.14823211605659598,0.5913786463849042
13,SGDClassifier,MinMaxScaler,StratifiedKFold,0.24613578673255293,0.27328502415458933,0.124654589611496,0.6524705491952878,0.11877201117774865,0.28492077621506146,0.12747190912852527,0.6511066205916151
14,SGDClassifier,Normalizer,KFold,0.10376618054924784,0.11563636363636365,0.10548077448744948,0.7454687240749959,0.1104460995719059,0.1235490231396209,0.10950259938280653,0.7464984872662022
15,SGDClassifier,Normalizer,StratifiedKFold,0.12211254318300388,0.2742995169082126,0.13778124743157188,0.6533980421436867,0.15809808730035008,0.2801786244139814,0.13962992629700893,0.6500076199996313
